elapsed_sec,best_cost,improvement_pct
0.1,8653.1593,
0.2,8709.138,
0.3,8685.9401,
0.4,8530.1728,
0.51,8496.4115,
0.61,8689.7339,
0.71,8912.2184,
0.81,8717.4943,
0.91,9077.4312,
1.02,8910.577,
1.12,8745.7662,
1.22,8869.4664,
1.32,8916.1591,
1.43,8760.9343,
1.53,8816.6444,
1.63,8980.0481,
1.73,9096.4225,
1.83,9241.2943,
1.93,9031.9021,
2.03,8514.228,
2.14,8404.4955,
2.24,8618.0355,
2.34,8326.1054,
2.44,8368.2657,
2.54,8359.569,
2.64,8457.8097,
2.74,8128.3607,
2.84,8460.9212,
2.95,8732.5954,
3.05,8426.3089,
3.15,8877.4606,
3.25,9037.5408,
3.35,8484.2806,
3.45,8314.3006,
3.55,8546.7465,
3.66,8895.0085,
3.76,8647.5347,
3.86,8578.2128,
3.96,8566.938,
4.06,8477.3942,
4.16,8580.2055,
4.27,8315.187,
4.37,8540.8387,
4.47,8068.2778,
4.57,8078.8954,
4.67,8015.3723,
4.77,8069.4388,
4.87,8357.4543,
4.97,8390.4488,
5.07,8295.836,
5.18,8229.5108,
5.28,8595.8485,
5.38,8594.4934,
5.48,8485.4411,
5.58,8239.4717,
5.68,8131.4321,
5.79,8000.3191,
5.89,7640.3256,
5.99,7490.0295,
6.09,7541.4228,
6.19,7795.5955,
6.29,7517.1738,
6.39,7528.2927,
6.49,7798.1465,
6.59,7697.8902,
6.7,7463.413,
6.8,7797.3383,
6.9,7525.2943,
7.0,7532.5756,
7.1,7581.2545,
7.2,7531.6101,
7.3,7547.0467,
7.41,7505.8551,
7.51,7520.0786,
7.61,7529.5779,
7.71,7534.1163,
7.81,7523.2606,
7.92,7503.4299,
8.02,7495.3294,
8.12,7520.3449,
8.22,7958.9773,
8.33,7992.598,
8.43,8109.7244,
8.53,8179.4493,
8.63,7966.8348,
8.73,7983.873,
8.83,7926.4332,
8.94,7543.783,
9.04,7553.4649,
9.14,7976.3265,
9.24,7878.611,
9.34,7855.32,
9.44,8253.9177,
9.54,7895.2578,
9.65,7881.9143,
9.75,7919.7977,
9.85,7537.8169,
9.95,7697.1797,
10.05,7521.4505,
10.15,7912.3791,
10.25,7740.6877,
10.35,7560.3197,
10.45,7813.3328,
10.55,7653.7428,
10.65,7831.2404,
10.75,7841.7743,
10.86,7833.9917,
10.96,8101.0712,
11.06,8085.6552,
11.16,7846.1632,
11.27,7899.4673,
11.37,7895.0612,
11.47,7966.4108,
11.57,7919.1376,
11.67,7904.1612,
11.77,8213.43,
11.87,8226.2644,
11.97,8149.6622,
12.08,7887.2829,
12.18,7794.5073,
12.29,7819.3969,
12.39,7630.2414,
12.49,7616.203,
12.59,7617.9765,
12.69,7624.9211,
12.79,7601.474,
12.89,7938.7752,
12.99,7966.9522,
13.09,8440.5149,
13.19,8384.6034,
13.29,8108.869,
13.4,8101.329,
13.5,7978.8544,
