elapsed_sec,best_cost,improvement_pct
0.1,8820.6773,
0.2,9198.325,
0.3,8508.47,
0.41,8623.5829,
0.51,8820.9014,
0.61,8318.0726,
0.71,8288.23,
0.81,7860.8042,
0.91,7874.6013,
1.01,7953.9764,
1.11,8158.1898,
1.21,8095.8258,
1.31,7856.9963,
1.41,8205.4128,
1.51,8132.3086,
1.61,8330.8793,
1.71,7912.0079,
1.81,7843.465,
1.91,7631.2049,
2.02,7937.3261,
2.12,7901.882,
2.22,7912.579,
2.32,7950.1797,
2.42,8343.8576,
2.52,8048.525,
2.62,7908.277,
2.72,7899.7315,
2.82,8159.5598,
2.93,7886.4308,
3.03,8023.8839,
3.13,7644.5096,
3.23,7642.9053,
3.33,8173.8261,
3.43,8409.9862,
3.53,8410.4851,
3.64,8247.367,
3.74,8372.9392,
3.84,8095.5207,
3.94,7916.3396,
4.04,7983.3558,
4.16,8153.9784,
4.26,8151.7264,
4.36,7912.0922,
4.46,7873.6221,
4.56,7700.5134,
4.66,7691.8158,
4.76,7910.4636,
4.86,7911.292,
4.96,8421.3743,
5.06,8360.8354,
5.16,8089.1739,
5.26,8109.0543,
5.37,8043.9117,
5.47,8018.4823,
5.57,7921.56,
5.67,7894.9672,
5.77,7866.451,
5.87,8487.1362,
5.97,8306.1042,
6.07,8228.2851,
6.17,7933.1615,
6.27,7706.6904,
6.37,7751.5738,
6.47,7655.198,
6.57,8103.4154,
6.67,7857.3079,
6.77,7932.5675,
6.88,7910.7757,
6.98,7648.6196,
7.08,7980.6388,
7.18,7646.7442,
7.28,7953.4525,
7.38,7913.9663,
7.49,7927.959,
7.59,7933.9127,
7.69,8064.7522,
7.79,8010.0461,
7.89,8181.6151,
7.99,7920.9538,
8.09,7768.7185,
8.19,7755.5058,
8.29,8226.4304,
8.39,8497.0456,
8.5,8180.8238,
8.6,8317.0796,
8.7,8240.4721,
8.8,8247.2908,
8.9,8250.1534,
9.0,7916.7841,
9.1,7872.1175,
9.2,7872.6069,
9.3,8231.1228,
9.4,7985.6994,
9.5,7969.0812,
9.61,7923.5274,
9.71,7965.2918,
9.83,8207.1117,
9.93,7920.4687,
10.03,7923.8498,
10.13,7917.8555,
10.23,7929.689,
10.33,7911.3278,
10.43,7907.7784,
10.53,8069.3546,
10.64,8044.9073,
10.74,8304.2924,
10.85,8235.2458,
10.95,8206.7284,
11.06,7924.3718,
11.16,7873.5094,
11.26,7891.1611,
11.36,7928.4019,
11.46,7903.6251,
11.56,7903.6251,
11.66,7858.3419,
11.77,7893.1155,
11.87,7920.699,
11.97,7928.5818,
12.07,7900.5083,
12.17,7897.3215,
12.27,7863.9209,
12.37,7895.9278,
12.47,7935.4829,
12.57,7888.3102,
12.68,7855.0753,
12.78,7828.8123,
12.88,7861.2089,
12.98,7632.8012,
13.08,7618.3222,
13.18,7936.6514,
13.28,7615.1711,
13.38,7902.0239,
13.48,7595.7238,
13.59,7842.8614,
13.69,7854.3876,
13.79,8095.9149,
13.89,8115.3017,
13.99,7834.8423,
14.09,8187.0841,
14.2,8573.4642,
14.31,8167.4934,
14.41,7827.6517,
14.52,7599.073,
14.62,7599.702,
14.72,7598.1607,
14.82,7624.6897,
14.92,7580.0008,
15.02,7610.296,
15.12,7667.0194,
15.23,7604.7759,
15.33,7871.3245,
15.43,7842.1946,
15.53,7930.4091,
15.63,7888.5621,
15.73,8059.0832,
15.84,7939.9438,
15.94,7965.4874,
16.04,7623.0143,
16.14,7576.5191,
16.24,7548.9167,
16.34,7589.8614,
16.44,7607.3206,
16.54,7629.959,
16.65,7563.7659,
16.75,7569.5437,
16.85,7640.298,
16.95,7896.5935,
17.05,7862.9182,
17.15,7586.341,
17.25,8223.74,
17.35,8235.9617,
17.46,8136.4446,
17.56,8003.1009,
17.66,7923.0539,
17.76,7935.1193,
17.86,7915.0765,
17.96,7921.5845,
18.06,7972.0304,
18.16,7983.3706,
18.26,8486.6398,
18.36,7885.253,
18.47,7873.2081,
18.57,7814.8608,
18.68,8092.4302,
18.78,8264.8207,
18.88,7983.0474,
18.98,7905.2273,
19.08,7987.1909,
19.19,7874.3974,
19.29,7986.9353,
19.39,8361.4778,
19.5,8418.8109,
19.6,8651.0232,
19.7,8354.0793,
19.8,8137.5518,
19.9,8415.3476,
20.0,8554.206,
20.1,8083.0718,
20.2,8286.754,
20.3,8058.9678,
20.4,8069.0021,
20.5,8058.8169,
20.6,8004.3123,
20.71,8007.3713,
20.81,8003.9085,
20.91,8002.107,
21.01,8013.0104,
21.11,8339.3497,
21.21,8415.2209,
21.31,8349.6851,
21.41,8363.4658,
21.51,8146.7234,
21.61,8088.5055,
21.71,8132.0837,
21.81,8132.53,
21.91,8055.3307,
22.01,8140.516,
22.11,8115.9718,
22.21,8165.9649,
22.31,8172.0892,
22.41,8081.1606,
22.52,7954.4042,
22.62,7959.9224,
22.72,7901.1526,
22.82,7951.8635,
22.92,7984.3807,
23.02,8004.4802,
23.12,7999.1217,
23.22,7962.4557,
23.32,7951.4676,
23.42,7943.4704,
23.52,7959.5241,
23.62,8208.3518,
23.73,8214.4957,
23.83,8216.9625,
23.93,8268.9861,
24.03,8217.1937,
24.13,8214.2998,
24.23,8188.991,
24.33,8132.8695,
24.44,7870.8833,
24.54,8083.7765,
24.64,8076.0238,
24.74,8078.6742,
24.84,8145.2649,
24.94,8095.6155,
25.04,7928.6217,
25.14,7936.5011,
25.24,7938.7257,
25.35,7918.457,
25.45,7930.7864,
25.55,7923.2058,
25.65,7946.211,
25.75,7899.4057,
25.85,7952.5482,
25.96,7935.4256,
26.06,7956.3993,
26.16,7956.7167,
26.26,7978.4613,
26.37,7993.5496,
26.47,7992.1918,
26.57,7697.938,
26.67,7705.4693,
26.77,7708.1624,
26.88,7672.195,
26.98,7614.0379,
27.08,7669.9513,
27.18,7597.6096,
27.28,7675.3834,
27.38,7980.785,
27.48,7830.9977,
27.59,7778.1998,
27.69,7780.0644,
27.79,7666.0339,
27.89,7658.2008,
27.99,7648.3258,
