elapsed_sec,best_cost,improvement_pct
0.1,7627.3855,
0.2,7669.0131,
0.3,7636.1257,
0.4,7601.4098,
0.5,7360.1933,
0.6,7360.1933,
0.7,7365.1267,
0.8,7360.1933,
0.9,7360.1933,
1.0,7331.192,
1.1,7331.192,
1.21,7098.4379,
1.31,7098.4379,
1.41,7098.4379,
1.51,7098.4379,
1.61,7098.4379,
1.71,7098.4379,
1.81,7098.4379,
1.91,7098.4379,
2.01,7098.4379,
2.11,7098.4379,
2.24,7698.6918,
2.34,7350.2386,
2.44,7316.6217,
2.54,7305.1216,
2.64,7296.1114,
2.74,7294.8912,
2.84,7292.084,
2.94,7292.7919,
3.05,7292.7919,
3.15,7292.7919,
3.25,7292.7919,
3.35,7292.7919,
3.45,7292.7919,
3.55,7292.7919,
3.65,7292.7919,
3.75,7292.7919,
3.85,7292.7919,
3.95,7292.7919,
4.1,7091.9276,
4.2,7067.0728,
4.3,7090.5283,
4.4,7092.5232,
4.5,7019.6768,
4.6,7032.2651,
4.7,7030.4172,
4.8,6755.9403,
4.9,6755.9403,
5.0,6755.9403,
5.1,6755.9403,
5.2,6758.2166,
5.3,6755.8307,
5.42,6755.8307,
5.52,6755.8307,
5.62,6755.8307,
5.72,6755.8307,
5.82,6755.8307,
5.92,6755.8307,
6.02,6755.8307,
6.12,6755.8307,
6.22,6755.8307,
6.32,6755.8307,
6.43,6755.8307,
6.53,6755.8307,
6.63,6755.8307,
6.73,6755.8307,
6.86,8009.0103,
6.96,7488.0758,
7.07,7150.5175,
7.17,6744.3809,
7.27,6750.639,
7.37,6760.4088,
7.47,6742.831,
7.58,6748.8707,
7.68,6746.9952,
7.78,6738.1731,
7.88,6742.3515,
7.98,6740.5547,
8.09,6742.2462,
8.19,6742.2462,
8.29,6739.9699,
8.39,6739.9699,
8.49,6739.9699,
8.59,6739.9699,
8.71,6738.1731,
8.81,6738.1731,
8.91,6738.1731,
9.01,6738.1731,
9.12,6738.1731,
9.22,6738.1731,
9.32,6738.1731,
9.42,6738.1731,
9.52,6738.1731,
9.62,6738.1731,
9.72,6738.1731,
9.82,6738.1731,
10.03,7130.3909,
10.13,6848.4699,
10.23,6647.8006,
10.33,6665.2358,
10.43,6611.0411,
10.53,6668.8116,
10.63,6670.7913,
10.73,6619.6264,
10.83,6619.6264,
10.94,6621.6061,
11.04,6621.6061,
11.14,6619.6264,
11.24,6619.6264,
11.34,6619.6264,
11.44,6619.6264,
11.54,6619.6264,
11.64,6619.6264,
11.74,6619.6264,
11.84,6619.6264,
11.94,6619.6264,
12.04,6619.6264,
12.14,6619.6264,
12.24,6619.6264,
12.34,6619.6264,
12.44,6619.6264,
12.55,6619.6264,
12.65,6619.6264,
12.76,7489.1836,
12.86,7469.8538,
12.96,7401.6176,
13.18,7401.6176,
13.28,7402.6152,
13.38,7402.6152,
13.49,7390.9137,
13.59,7388.934,
13.69,7388.934,
13.79,7389.9316,
13.89,7388.934,
13.99,7389.2615,
14.09,7389.2615,
14.19,7389.2615,
14.29,7380.892,
14.39,7380.892,
14.49,7380.892,
14.6,7380.892,
14.7,7380.892,
14.8,7380.892,
14.9,7380.892,
15.0,7380.892,
15.1,7380.892,
15.2,7380.892,
15.3,7380.892,
15.43,7086.9123,
15.53,7099.5998,
15.63,7077.1895,
15.73,7087.8531,
15.83,7060.8181,
15.93,7038.4369,
16.03,7044.2616,
16.13,6992.4832,
16.23,6990.8735,
16.34,6976.3504,
16.44,6972.0585,
16.54,6969.2282,
16.64,6969.1462,
16.74,6969.1462,
16.84,6958.1142,
16.94,6954.1162,
17.05,6923.111,
17.15,6923.111,
17.25,6923.111,
17.35,6923.111,
17.45,6923.111,
17.55,6923.111,
17.65,6923.111,
17.75,6923.111,
17.85,6922.302,
17.99,7066.4847,
18.09,7174.4469,
18.19,7144.3305,
18.29,7085.9852,
18.39,7087.9341,
18.49,6891.6977,
18.59,6653.9475,
18.69,6644.697,
18.8,6636.7176,
18.9,6634.7752,
19.0,6638.2122,
19.1,6632.3936,
19.2,6632.3936,
19.3,6632.3936,
19.41,6632.3936,
19.51,6632.3936,
19.61,6632.3936,
19.71,6632.3936,
19.81,6632.3936,
19.91,6632.3936,
20.01,6632.3936,
20.11,6632.3936,
20.21,6632.3936,
20.31,6632.3936,
20.41,6632.3936,
20.62,7924.3107,
20.72,7431.0595,
20.83,7373.4045,
20.93,7350.8553,
21.03,7356.2652,
21.13,7350.8473,
21.23,7336.2163,
21.33,7338.5686,
21.43,7325.6487,
21.53,7312.9186,
21.64,7313.9802,
21.74,7300.7363,
21.84,7300.7363,
21.94,7300.7363,
22.04,7300.7363,
22.14,7300.7363,
22.24,7292.193,
22.34,7289.7101,
22.45,7289.7101,
22.55,7289.7101,
22.65,7289.7101,
22.75,7289.7101,
22.85,7289.7101,
23.01,7341.306,
23.11,7367.4583,
23.22,6607.4545,
23.32,6599.9947,
23.42,6580.4362,
23.52,6581.2078,
23.62,6597.9659,
23.72,6599.5485,
23.83,6575.5345,
23.93,6576.3435,
24.03,6573.2028,
24.13,6573.2028,
24.24,6573.2028,
24.34,6574.0118,
24.44,6573.2028,
24.54,6573.2028,
24.65,6541.5096,
24.75,6523.9625,
24.85,6522.137,
24.95,6522.137,
25.05,6520.6565,
25.15,6520.6565,
25.25,6520.6565,
25.35,6520.6565,
25.45,6520.6565,
25.55,6520.6565,
25.66,6491.7397,
25.76,6491.7397,
25.86,6491.7397,
25.96,6491.7397,
26.06,6491.7397,
26.16,6491.7397,
26.27,6491.7397,
26.4,7159.044,
26.5,7193.4619,
26.6,7200.7781,
26.7,7214.174,
26.8,7203.7883,
26.91,7213.1611,
27.01,7131.5141,
27.11,7110.8272,
27.21,7048.4151,
27.32,7034.2956,
27.42,7037.5394,
27.52,7036.4785,
27.62,7036.4785,
27.72,7036.1638,
27.82,7036.1638,
27.92,7036.1638,
28.02,7036.4785,
28.12,7036.4785,
28.23,7036.4785,
28.33,7036.4785,
28.43,7036.4785,
28.53,7036.4785,
28.63,7036.1638,
28.73,7036.1638,
28.84,7036.1638,
28.94,7036.1638,
29.04,7036.1638,
29.14,7036.1638,
29.24,7036.1638,
29.34,7036.1638,
29.44,7036.1638,
29.59,6541.5543,
29.69,6525.6987,
29.79,6460.1321,
29.89,6335.3,
29.99,6330.8334,
30.09,6347.3445,
30.19,6347.6665,
30.29,6340.058,
30.39,6340.339,
30.49,6332.1832,
30.6,6329.9506,
30.7,6328.5421,
30.8,6328.5421,
30.9,6329.1227,
31.0,6328.6636,
31.1,6328.6636,
31.2,6329.0012,
31.3,6328.6636,
31.4,6328.5421,
31.5,6328.5421,
31.6,6328.5421,
31.7,6328.6636,
31.81,6328.6636,
31.91,6328.5421,
32.01,6328.5421,
32.11,6328.5421,
32.21,6328.5421,
32.32,6328.5421,
32.42,6328.5421,
32.52,6328.5421,
32.62,6328.5421,
32.76,7110.4855,
32.86,7126.4606,
32.96,7127.3313,
33.06,6897.704,
33.16,6836.6251,
33.26,6829.1332,
33.36,6826.7748,
33.47,6783.2728,
33.57,6731.1466,
33.67,6731.1466,
33.77,6731.1466,
33.87,6731.1466,
33.97,6731.1466,
34.07,6731.1466,
34.18,6731.1466,
34.28,6731.1466,
34.38,6731.1466,
34.48,6731.1466,
34.58,6731.1466,
34.68,6731.1466,
34.78,6690.0864,
34.88,6690.0864,
34.98,6690.0864,
35.09,6690.0864,
35.19,6690.0864,
35.29,6690.0864,
35.43,8488.9519,
35.53,7743.7701,
35.64,7257.2768,
35.74,7252.0586,
35.84,7229.1211,
35.94,7206.0667,
36.04,7180.6571,
36.15,7120.4036,
36.25,7109.4748,
36.35,7078.8908,
36.45,7082.5695,
36.55,7082.5695,
36.65,6879.4835,
36.75,6879.4835,
36.85,6879.4835,
36.95,6879.4835,
37.05,6831.9796,
37.15,6831.9796,
37.25,6821.654,
37.36,6816.5938,
37.46,6816.0764,
37.56,6816.0764,
37.66,6816.0764,
37.76,6816.0764,
37.86,6816.0764,
37.96,6816.0764,
38.06,6816.0764,
38.17,6816.0764,
38.27,6816.0764,
38.47,8152.2575,
38.58,7351.3599,
38.68,7353.9774,
38.78,7128.7513,
38.88,7128.8913,
38.98,6872.0475,
39.08,6850.2536,
39.18,6850.2536,
39.28,6850.2536,
39.38,6850.2536,
39.49,6850.2536,
39.59,6850.2536,
39.69,6850.2536,
39.8,6850.2536,
39.9,6850.2536,
40.0,6850.2536,
40.1,6837.4436,
40.2,6837.4436,
40.3,6837.4436,
40.4,6837.4436,
40.5,6837.4436,
40.6,6837.4436,
40.7,6837.4436,
40.8,6808.4423,
40.95,7834.2289,
41.05,7496.017,
41.15,7516.186,
41.25,7491.4166,
41.35,7472.0474,
41.45,7047.3596,
41.56,6785.3786,
41.66,6786.315,
41.76,6784.6062,
41.86,6778.2814,
41.96,6778.2814,
42.06,6778.2814,
42.16,6778.2814,
42.26,6775.5187,
42.36,6775.5187,
42.46,6775.5187,
42.56,6775.5187,
42.66,6775.5187,
42.76,6769.4282,
42.86,6767.1394,
42.96,6767.1394,
43.07,6764.464,
43.17,6764.464,
43.27,6764.464,
43.37,6764.464,
43.47,6764.464,
43.57,6553.9398,
43.69,7584.292,
43.79,7403.6382,
43.89,6987.7018,
43.99,6973.733,
44.09,6968.092,
44.19,6976.411,
44.3,6962.772,
44.4,6962.8252,
44.5,6961.4167,
44.6,6956.3303,
44.7,6957.559,
44.8,6957.0999,
44.91,6747.7972,
45.01,6745.4902,
45.11,6717.1683,
45.21,6716.0312,
45.31,6716.0312,
45.41,6716.0312,
45.52,6716.0312,
45.62,6716.0312,
45.72,6716.0312,
45.82,6716.0312,
45.93,6716.0312,
46.03,6716.0312,
46.13,6716.0312,
46.23,6716.0312,
46.33,6716.0312,
46.43,6716.0312,
46.62,7417.8789,
46.72,7244.8172,
46.83,7285.3602,
46.93,7280.0896,
47.03,7233.5526,
47.13,7155.0184,
47.23,7160.3137,
47.33,7139.2311,
47.43,7129.2431,
47.57,6908.5673,
47.68,6908.5673,
47.78,6848.3852,
47.88,6848.3852,
47.98,6848.3852,
48.08,6848.3852,
48.18,6848.3852,
48.28,6848.3852,
48.38,6848.3852,
48.48,6848.3852,
48.59,6848.3852,
48.69,6848.3852,
48.79,6848.3852,
48.89,6848.3852,
48.99,6848.3852,
49.09,6848.3852,
49.21,7373.532,
49.31,7389.1376,
49.52,7438.5451,
49.63,7420.6787,
49.73,7396.3469,
49.83,7328.0848,
49.93,7328.0848,
50.03,7332.2127,
50.14,7320.589,
50.24,7263.1365,
50.34,7262.2368,
50.45,7262.2368,
50.55,7029.0867,
50.65,7029.0867,
50.75,7028.9652,
50.85,7028.9652,
50.95,7028.9652,
51.05,7028.9652,
51.15,7028.9652,
51.25,7024.743,
51.35,7019.1773,
51.45,7019.1773,
51.55,7019.1773,
51.65,7019.1773,
51.76,7019.1773,
51.86,7019.1773,
51.96,7019.1773,
52.06,7019.1773,
52.19,7854.581,
52.29,7658.9037,
52.39,7666.9911,
52.49,7616.4306,
52.59,7518.8929,
52.69,7520.0427,
52.79,7124.8905,
52.89,7110.4361,
53.0,7105.5541,
53.1,7105.5541,
53.2,7105.4324,
53.3,7096.7837,
53.4,7096.7837,
53.5,7096.7837,
53.6,7096.7837,
53.7,7096.7837,
53.8,7095.2072,
53.9,7095.2072,
54.01,7095.2072,
54.11,7095.2072,
54.21,7094.3865,
54.31,7094.3865,
54.41,7094.3865,
54.51,7094.3865,
54.61,7094.3865,
54.74,7574.2939,
54.84,7217.1365,
54.95,7187.0906,
55.05,7064.7158,
55.15,6762.226,
55.25,6760.2463,
55.35,6752.5768,
55.45,6752.5768,
55.55,6750.5971,
55.65,6742.3817,
55.75,6542.3642,
55.85,6542.3642,
55.95,6542.3642,
56.05,6518.504,
56.15,6518.504,
56.25,6518.504,
56.35,6518.504,
56.46,6518.504,
56.56,6518.504,
56.66,6518.504,
56.76,6518.504,
56.86,6518.504,
56.96,6518.504,
57.07,6518.504,
57.17,6518.504,
57.38,7584.211,
57.48,7622.4134,
57.59,7064.1447,
57.69,6980.4004,
57.79,6986.606,
57.89,6977.6876,
57.99,6966.0423,
58.09,6902.3364,
58.19,6902.3364,
58.29,6902.3364,
58.39,6902.3364,
58.5,6889.7258,
58.6,6889.7258,
58.7,6889.7258,
58.8,6889.7258,
58.9,6889.7258,
59.0,6889.7258,
59.1,6889.7258,
59.2,6889.7258,
59.3,6889.7258,
59.4,6889.7258,
59.5,6889.7258,
59.6,6889.7258,
59.73,7562.0725,
59.83,7527.9611,
59.93,7478.5288,
60.03,7542.801,
60.13,7538.2352,
60.23,7464.3663,
60.33,7012.0116,
60.43,6978.5838,
60.54,6940.4843,
60.77,6328.5421,
