elapsed_sec,best_cost,improvement_pct
0.11,6901.3275,
0.21,6876.2311,
0.32,7151.1688,
0.42,6813.2365,
0.52,7255.1005,
0.62,7309.0826,
0.72,7287.4209,
0.82,7189.9925,
0.92,7109.3554,
1.02,7285.7806,
1.12,7193.5764,
1.22,7167.4797,
1.32,7320.4021,
1.42,7261.5644,
1.52,7424.5321,
1.62,7178.813,
1.72,7241.8555,
1.82,7113.3544,
1.93,7099.8769,
2.03,7226.7079,
2.13,7376.4652,
2.23,7111.8467,
2.33,6780.6517,
2.43,6835.711,
2.53,6724.1288,
2.63,6671.9018,
2.73,6768.1852,
2.83,6681.3491,
2.93,6656.2001,
3.03,6580.196,
3.13,6599.6657,
3.23,6825.033,
3.33,6578.0446,
3.43,6574.9944,
3.54,6576.2297,
3.64,6495.3276,
3.75,6504.3555,
3.85,6542.5682,
3.95,6559.9129,
4.05,6563.2426,
4.15,6589.8456,
4.25,6586.0196,
4.35,6572.132,
4.45,6560.1654,
4.55,6604.2624,
4.65,6607.3262,
4.75,6570.241,
4.86,6573.2518,
4.96,6569.5672,
5.06,6374.7451,
5.16,6388.4522,
5.26,6398.3014,
5.36,6389.8043,
5.46,6396.059,
5.56,6400.8639,
5.66,6402.876,
5.77,6396.9457,
5.87,6386.5743,
5.97,6384.1163,
6.07,6383.0446,
6.17,6412.9118,
6.27,6399.1396,
7.64,6354.5666,
