elapsed_sec,best_cost,improvement_pct
0.1,7193.3215,
0.2,7193.3215,
0.3,7193.3215,
0.4,7193.3215,
0.5,7193.3215,
0.6,7193.3215,
0.7,7193.3215,
0.8,7193.3215,
0.9,7193.3215,
1.0,7193.3215,
1.1,7193.3215,
1.2,7193.3215,
1.31,7193.3215,
1.41,7193.3215,
1.51,7193.3215,
1.61,7193.3215,
1.71,7193.3215,
1.81,7193.3215,
1.91,7193.3215,
2.01,7193.3215,
2.11,7193.3215,
2.21,7193.3215,
2.31,7193.3215,
2.41,7193.3215,
2.51,7193.3215,
2.61,7193.3215,
2.71,7193.3215,
2.81,7193.3215,
2.91,7193.3215,
3.01,7193.3215,
3.11,7193.3215,
3.21,7193.3215,
3.31,7193.3215,
3.41,7193.3215,
3.51,7193.3215,
3.61,7193.3215,
3.71,7193.3215,
3.82,7193.3215,
3.92,7193.3215,
4.02,7193.3215,
4.12,7193.3215,
4.22,7193.3215,
4.32,7193.3215,
4.42,7193.3215,
4.52,7193.3215,
4.62,7193.3215,
4.72,7193.3215,
4.82,7193.3215,
4.92,7193.3215,
5.02,7193.3215,
5.12,7193.3215,
5.23,7193.3215,
5.33,7193.3215,
5.43,7193.3215,
5.53,7193.3215,
5.63,7193.3215,
5.73,7193.3215,
5.83,7193.3215,
5.93,7193.3215,
6.03,7193.3215,
6.13,7193.3215,
6.23,7193.3215,
6.33,7193.3215,
6.43,7193.3215,
6.53,7193.3215,
6.63,7193.3215,
6.73,7193.3215,
6.83,7193.3215,
6.93,7193.3215,
7.03,7193.3215,
7.13,7193.3215,
7.23,7193.3215,
7.33,7193.3215,
7.43,7193.3215,
7.54,7193.3215,
7.64,7193.3215,
7.74,7193.3215,
7.84,7193.3215,
7.94,7193.3215,
8.04,7193.3215,
8.14,7193.3215,
8.24,7193.3215,
8.34,7193.3215,
8.44,7193.3215,
8.54,7193.3215,
8.64,7193.3215,
8.74,7193.3215,
8.84,7193.3215,
8.95,7193.3215,
9.05,7193.3215,
9.15,7193.3215,
9.25,7193.3215,
9.35,7193.3215,
9.45,7193.3215,
9.55,7193.3215,
9.65,7193.3215,
9.75,7193.3215,
9.85,7193.3215,
9.95,7193.3215,
10.05,7193.3215,
10.15,7193.3215,
10.25,7193.3215,
10.35,7193.3215,
10.45,7193.3215,
10.55,7193.3215,
10.65,7193.3215,
10.76,7193.3215,
10.86,7193.3215,
10.96,7193.3215,
11.06,7193.3215,
11.16,7193.3215,
11.26,7193.3215,
11.36,7193.3215,
11.46,7193.3215,
11.56,7193.3215,
11.66,7193.3215,
11.76,7193.3215,
11.86,7193.3215,
11.96,7193.3215,
12.06,7193.3215,
12.16,7193.3215,
12.26,7193.3215,
12.36,7193.3215,
12.46,7193.3215,
12.56,7193.3215,
12.66,7193.3215,
12.76,7193.3215,
12.86,7193.3215,
12.96,7193.3215,
13.06,7193.3215,
13.16,7193.3215,
13.26,7193.3215,
13.36,7193.3215,
13.46,7193.3215,
13.57,7193.3215,
13.67,7193.3215,
13.77,7193.3215,
13.87,7193.3215,
13.97,7193.3215,
14.07,7193.3215,
14.17,7193.3215,
14.27,7193.3215,
14.37,7193.3215,
14.47,7193.3215,
14.57,7193.3215,
14.67,7193.3215,
14.77,7193.3215,
14.87,7193.3215,
14.97,7193.3215,
15.07,7193.3215,
15.17,7193.3215,
15.27,7193.3215,
15.37,7193.3215,
15.48,7193.3215,
15.58,7193.3215,
15.68,7193.3215,
15.78,7193.3215,
15.88,7193.3215,
15.98,7193.3215,
16.08,7193.3215,
16.18,7193.3215,
16.28,7193.3215,
16.38,7193.3215,
16.48,7193.3215,
16.58,7193.3215,
16.68,7193.3215,
16.78,7193.3215,
16.88,7193.3215,
16.98,7193.3215,
17.08,7193.3215,
17.18,7193.3215,
17.28,7193.3215,
17.38,7193.3215,
17.48,7193.3215,
17.58,7193.3215,
17.68,7193.3215,
17.78,7193.3215,
17.88,7193.3215,
17.99,7193.3215,
18.09,7193.3215,
18.19,7193.3215,
18.29,7193.3215,
18.39,7193.3215,
18.49,7193.3215,
18.59,7193.3215,
18.69,7193.3215,
18.79,7193.3215,
18.89,7193.3215,
18.99,7193.3215,
19.18,7193.3215,
19.28,7193.3215,
19.38,7193.3215,
19.48,7193.3215,
19.58,7193.3215,
19.68,7193.3215,
19.78,7193.3215,
19.88,7193.3215,
19.98,7193.3215,
20.08,7193.3215,
20.19,7193.3215,
20.29,7193.3215,
20.39,7193.3215,
20.49,7193.3215,
20.59,7193.3215,
20.69,7193.3215,
20.79,7193.3215,
20.89,7193.3215,
20.99,7193.3215,
21.09,7193.3215,
21.19,7193.3215,
21.29,7193.3215,
21.39,7193.3215,
21.5,7193.3215,
21.6,7193.3215,
21.7,7193.3215,
21.8,7193.3215,
21.9,7193.3215,
22.0,7193.3215,
22.1,7193.3215,
22.2,7193.3215,
22.3,7193.3215,
22.4,7193.3215,
22.5,7193.3215,
22.6,7193.3215,
22.7,7193.3215,
22.8,7193.3215,
22.91,7193.3215,
23.01,7193.3215,
23.11,7193.3215,
23.21,7193.3215,
23.31,7193.3215,
23.41,7193.3215,
23.51,7193.3215,
23.61,7193.3215,
23.71,7193.3215,
23.81,7193.3215,
23.91,7193.3215,
24.01,7193.3215,
24.11,7193.3215,
24.21,7193.3215,
24.31,7193.3215,
24.41,7193.3215,
24.51,7193.3215,
24.61,7193.3215,
24.71,7193.3215,
24.81,7193.3215,
24.91,7193.3215,
25.01,7193.3215,
25.11,7193.3215,
25.22,7193.3215,
25.32,7193.3215,
25.42,7193.3215,
25.52,7193.3215,
25.62,7193.3215,
25.72,7193.3215,
25.82,7193.3215,
25.92,7193.3215,
26.02,7193.3215,
26.12,7193.3215,
26.22,7193.3215,
26.32,7193.3215,
26.42,7193.3215,
26.52,7193.3215,
26.62,7193.3215,
26.72,7193.3215,
26.82,7193.3215,
26.92,7193.3215,
27.02,7193.3215,
27.13,7193.3215,
27.23,7193.3215,
27.33,7193.3215,
27.43,7193.3215,
27.53,7193.3215,
27.63,7193.3215,
27.73,7193.3215,
27.83,7193.3215,
27.93,7193.3215,
28.03,7193.3215,
28.13,7193.3215,
28.23,7193.3215,
28.33,7193.3215,
28.43,7193.3215,
28.53,7193.3215,
28.63,7193.3215,
28.73,7193.3215,
28.84,7193.3215,
28.94,7193.3215,
29.04,7193.3215,
29.14,7193.3215,
29.24,7193.3215,
29.34,7193.3215,
29.44,7193.3215,
29.54,7193.3215,
29.64,7193.3215,
29.74,7193.3215,
29.84,7193.3215,
29.94,7193.3215,
30.04,7193.3215,
30.14,7193.3215,
30.24,7193.3215,
30.34,7193.3215,
30.44,7193.3215,
30.54,7193.3215,
30.64,7193.3215,
30.75,7193.3215,
30.85,7193.3215,
30.95,7193.3215,
31.05,7193.3215,
31.15,7193.3215,
31.25,7193.3215,
31.35,7193.3215,
31.45,7193.3215,
31.55,7193.3215,
31.65,7193.3215,
31.75,7193.3215,
31.85,7193.3215,
31.95,7193.3215,
32.06,7193.3215,
32.16,7193.3215,
32.26,7193.3215,
32.36,7193.3215,
32.46,7193.3215,
32.56,7193.3215,
32.66,7193.3215,
32.76,7193.3215,
32.86,7193.3215,
32.96,7193.3215,
33.06,7193.3215,
33.16,7193.3215,
33.26,7193.3215,
33.36,7193.3215,
33.46,7193.3215,
33.56,7193.3215,
33.66,7193.3215,
33.76,7193.3215,
33.86,7193.3215,
33.96,7193.3215,
34.06,7193.3215,
34.16,7193.3215,
34.26,7193.3215,
34.36,7193.3215,
34.46,7193.3215,
34.57,7193.3215,
34.67,7193.3215,
34.77,7193.3215,
34.87,7193.3215,
34.97,7193.3215,
35.07,7193.3215,
35.17,7193.3215,
35.27,7193.3215,
35.37,7193.3215,
35.47,7193.3215,
35.57,7193.3215,
35.67,7193.3215,
35.78,7193.3215,
35.88,7193.3215,
35.98,7193.3215,
36.08,7193.3215,
36.18,7193.3215,
36.28,7193.3215,
36.38,7193.3215,
36.48,7193.3215,
36.58,7193.3215,
36.68,7193.3215,
36.78,7193.3215,
36.88,7193.3215,
36.98,7193.3215,
37.08,7193.3215,
37.19,7193.3215,
37.29,7193.3215,
37.39,7193.3215,
37.49,7193.3215,
37.59,7193.3215,
37.69,7193.3215,
37.79,7193.3215,
37.9,7193.3215,
38.0,7193.3215,
38.1,7193.3215,
38.2,7193.3215,
38.3,7193.3215,
38.4,7193.3215,
38.5,7193.3215,
38.6,7193.3215,
38.7,7193.3215,
38.8,7193.3215,
38.9,7193.3215,
39.0,7193.3215,
