elapsed_sec,best_cost,improvement_pct
0.1,7458.5237,
0.2,7388.4445,
0.3,6777.0478,
0.4,7273.2202,
0.5,6741.0748,
0.6,7105.3666,
0.7,7032.6304,
0.8,7242.451,
0.9,7070.4264,
1.01,7109.5994,
1.11,6820.265,
1.21,6732.4052,
1.31,6933.9254,
1.41,6937.2006,
1.52,7344.2825,
1.62,7310.9403,
1.72,7324.5304,
1.82,7341.0001,
1.92,7211.0415,
2.03,7412.0403,
2.13,7455.7801,
2.23,7325.9974,
2.33,6799.491,
2.43,7361.7283,
2.53,7073.2492,
2.64,6751.6336,
2.74,6981.2531,
2.84,6762.5616,
2.94,6805.5693,
3.04,7133.9449,
3.14,6915.6552,
3.24,6642.1099,
3.34,6633.6227,
3.44,6848.4616,
3.54,6664.79,
3.65,6896.6432,
3.75,6290.3399,
3.85,6589.9669,
3.95,6505.6515,
4.05,6617.8908,
4.15,6907.3649,
4.25,6590.6721,
4.35,6707.4366,
4.45,6890.5404,
4.55,6928.5622,
4.65,6947.0934,
4.75,6962.5123,
4.85,6555.5184,
4.95,6935.6625,
5.05,6772.5584,
5.15,7035.7774,
5.25,7290.5039,
5.35,6735.9428,
5.46,7010.4658,
5.56,7420.7238,
5.66,7219.4136,
5.76,6927.0336,
5.86,6873.7771,
5.96,7010.5834,
6.06,6977.1541,
6.16,6477.0069,
6.26,6497.4583,
6.36,6175.4462,
6.46,6191.6375,
6.56,6468.2546,
6.66,6680.7161,
6.76,6523.419,
6.86,6431.7619,
6.96,6149.3184,
7.06,6381.4608,
7.16,6139.2347,
7.26,6135.6199,
7.36,6525.3951,
7.46,6379.3675,
7.56,6137.1563,
7.66,6670.5999,
7.76,6394.0191,
7.86,6525.177,
7.96,6169.0415,
8.06,6325.6455,
8.16,6228.2553,
8.26,6184.3888,
8.36,6417.0292,
8.47,6414.2114,
8.57,6492.0043,
8.67,6520.1258,
8.77,6496.7122,
8.87,6506.8947,
8.97,6504.7482,
9.07,6491.5952,
9.17,6793.2184,
9.27,6545.0895,
9.37,6550.9588,
9.47,6539.3138,
9.57,6847.433,
9.67,6154.6717,
9.78,6153.6718,
9.88,6312.8216,
9.98,6527.567,
10.08,6445.0129,
10.18,6791.1506,
10.28,6503.1187,
10.38,6423.7039,
10.48,6484.1043,
10.58,6426.2275,
10.68,6622.8665,
10.78,6430.9981,
10.88,6170.2455,
10.98,6482.2085,
11.08,6416.004,
11.19,6506.9165,
11.29,6578.2313,
11.39,6223.4315,
11.49,6162.7584,
11.59,6168.7646,
11.69,6412.0066,
11.79,6159.9382,
11.89,6488.5759,
11.99,6163.6221,
12.09,6151.1134,
12.19,6163.2533,
12.29,6176.1767,
12.39,6399.7487,
12.49,6147.2676,
12.59,6571.1351,
12.7,6161.4316,
12.8,6498.7765,
12.9,6469.5298,
13.0,6468.1268,
13.1,6176.5006,
13.2,6154.1243,
13.3,6403.3672,
13.4,6446.1535,
13.5,6112.3006,
13.6,6140.8595,
13.7,6144.3844,
13.8,6174.1174,
13.9,6158.8855,
14.0,6158.2243,
14.1,6175.6024,
14.2,6112.7143,
14.3,6158.7361,
14.4,6163.0903,
14.5,6179.0081,
14.6,6177.1645,
14.7,6485.7782,
14.81,6159.6052,
14.91,6585.3058,
15.01,6236.8881,
15.11,6225.5486,
15.21,6223.6167,
15.31,6217.6212,
15.41,6367.6753,
15.51,6100.7085,
15.61,6482.8776,
15.71,6396.3668,
15.81,6451.4552,
15.91,6449.8454,
16.01,6437.5181,
16.11,6481.2791,
16.21,6500.3279,
16.31,6489.837,
16.41,6152.4018,
16.52,6152.7241,
16.62,6524.9705,
16.72,6272.3952,
16.82,6174.041,
16.92,6506.6366,
17.02,6573.3506,
17.12,6486.7514,
17.22,6207.9441,
17.32,6442.1571,
17.42,6388.7469,
17.52,6208.8974,
17.62,6259.6798,
17.72,6128.2649,
17.82,6113.1836,
17.92,6138.8398,
18.02,6141.2465,
18.12,6151.5794,
18.22,6179.7449,
18.32,6133.0159,
18.43,6130.504,
18.53,6135.9454,
18.63,6125.2786,
18.73,6138.5774,
18.83,6125.9345,
18.93,6374.4224,
19.03,6172.8785,
19.13,6128.8096,
19.23,6106.7614,
19.33,6147.9934,
19.43,6171.4317,
19.53,6176.0412,
19.63,6169.7674,
19.73,6490.6029,
19.83,6417.8224,
19.93,6483.0912,
20.03,6162.7868,
20.13,6154.2274,
20.23,6447.4092,
20.33,6133.0114,
20.43,6131.3644,
20.53,6162.7983,
20.63,6138.2128,
20.73,6173.8136,
20.83,6166.1248,
20.94,6141.4047,
21.04,6400.8553,
21.14,6148.6322,
21.24,6187.2863,
21.34,6171.9597,
21.44,6208.9557,
21.54,6181.718,
21.64,6147.6089,
21.74,6172.5768,
21.84,6444.7865,
21.94,6453.1058,
22.04,6160.2816,
22.14,6425.4009,
22.24,6170.3591,
22.34,6141.1356,
22.44,6126.2566,
