elapsed_sec,best_cost,improvement_pct
0.11,7621.1894,
0.21,7620.5044,
0.32,7516.0928,
0.44,7516.469,
0.55,7514.7488,
0.65,7512.033,
0.76,7513.2301,
0.86,7514.0083,
0.96,7515.8735,
1.07,7510.7553,
1.18,7512.5886,
1.29,7511.6665,
1.39,7507.8628,
1.5,7510.5444,
1.6,7511.5877,
1.7,7507.8628,
1.8,7510.2923,
1.91,7509.8381,
2.03,7509.7118,
2.14,7509.7118,
2.26,7511.086,
2.37,7513.7857,
2.48,7509.7118,
2.58,7510.2923,
2.69,7511.8104,
2.79,7510.6707,
2.89,7507.8628,
3.0,7508.8584,
3.11,7507.8628,
3.21,7512.0904,
3.32,7511.1315,
3.42,7515.2054,
3.53,7510.96,
3.65,7509.8381,
3.76,7513.0796,
3.87,7507.8628,
3.97,7507.8628,
4.08,7511.5877,
4.18,7511.1043,
4.29,7507.8628,
4.39,7507.8628,
4.5,7395.1511,
4.61,7395.0248,
4.71,7397.7069,
4.82,7398.5461,
4.92,7397.0001,
5.03,7398.2483,
5.13,7396.0683,
5.24,7395.1511,
5.34,7396.273,
5.44,7398.0436,
5.55,7397.1264,
5.66,7400.8513,
5.77,7398.4198,
5.87,7402.8385,
5.97,7405.3852,
6.08,7408.8216,
6.2,7408.61,
6.3,7432.251,
6.4,7425.378,
6.51,7424.4997,
6.62,7423.3778,
6.72,7437.6558,
6.83,7430.1229,
6.94,7443.7109,
7.04,7426.2897,
7.15,7411.6362,
7.25,7424.741,
7.35,7423.9446,
7.45,7429.0318,
7.55,7445.1706,
7.66,7449.0176,
7.77,7441.663,
7.88,7416.2204,
7.99,7422.3528,
8.1,7418.7762,
8.2,7420.2625,
8.3,7416.8835,
8.41,7409.7216,
8.51,7407.7463,
8.62,7407.7463,
8.73,7406.3266,
8.84,7409.9259,
8.94,7414.7504,
9.05,7420.1831,
9.15,7413.2353,
9.25,7416.9212,
9.35,7415.6583,
9.46,7416.6265,
9.58,7417.3011,
9.69,7406.3266,
9.8,7409.9259,
9.91,7415.157,
10.01,7421.8899,
10.11,7415.454,
10.22,7406.3266,
10.33,7416.6265,
10.44,7406.3266,
10.55,7408.8824,
10.66,7417.7925,
10.76,7429.8941,
10.86,7199.1099,
10.97,7185.9486,
11.08,7203.1244,
11.18,7203.1244,
11.28,7201.3583,
11.38,7216.8358,
11.49,7214.3004,
11.59,7192.8569,
11.7,7199.9781,
11.81,7186.9116,
11.91,7181.2631,
12.02,7190.6498,
12.12,6867.2907,
12.22,6875.1884,
12.32,6883.3508,
12.43,6885.1255,
12.53,6855.1555,
12.64,6852.0921,
12.74,6890.6887,
12.85,6853.8538,
12.95,6858.1957,
13.05,6858.1957,
13.16,6871.7986,
13.26,6875.3965,
13.36,6894.0001,
