elapsed_sec,best_cost,improvement_pct
0.14,7550.4349,
0.24,7668.0635,
0.34,7271.8835,
0.44,7601.7539,
0.54,7701.4895,
0.64,7399.0461,
0.74,7112.4231,
0.84,7052.6265,
0.94,7203.5007,
1.04,6964.576,
1.14,6719.3522,
1.24,6645.0469,
1.34,6661.9663,
1.44,6633.2802,
1.54,6633.2939,
1.65,6648.8487,
1.75,6654.4288,
1.85,6650.7896,
1.95,6661.3122,
2.05,6575.7086,
2.15,6596.9898,
2.25,6930.1365,
2.35,6726.3719,
2.45,6708.902,
2.55,6157.4739,
2.66,6157.4739,
2.76,6157.6329,
2.86,6154.2492,
2.96,6157.7464,
3.06,6101.2493,
3.16,6087.8262,
3.26,6087.9458,
3.31,6081.8629,
