elapsed_sec,best_cost,improvement_pct
0.12,7769.3868,
0.22,7837.5819,
0.32,7751.3289,
0.42,8186.7777,
0.52,7519.729,
0.62,7390.0051,
0.72,7365.8344,
0.82,7021.9356,
0.92,7045.3835,
1.02,7026.6431,
1.12,7035.3487,
1.22,6951.0672,
1.32,6919.5274,
1.42,7011.0534,
1.53,6990.6583,
1.63,7079.8346,
1.73,6973.6327,
1.83,6718.4654,
1.94,6714.4521,
2.05,6719.5408,
2.15,6697.7316,
2.25,6694.3339,
2.35,6700.4474,
2.45,6698.7109,
2.55,7078.2026,
2.65,6700.9392,
2.75,6700.9392,
2.85,6700.9392,
2.95,6715.4751,
3.05,6731.9111,
3.15,6641.4532,
3.26,6643.1681,
3.36,6652.3813,
3.46,6643.6828,
3.59,6627.4877,
3.69,6770.5722,
3.79,6836.3714,
3.89,6875.0362,
4.0,6628.7533,
4.1,7258.1649,
4.2,7315.2301,
4.3,6950.6855,
4.4,6542.011,
4.5,6637.7647,
4.6,6663.6141,
4.7,6936.2792,
4.8,6896.2229,
4.9,6912.4985,
5.01,6827.4024,
5.11,6524.0098,
5.21,6529.0542,
5.31,6543.7671,
5.41,6504.5391,
5.51,6532.3234,
5.61,6606.7387,
5.71,6547.5261,
5.81,6543.1206,
5.91,6563.1517,
6.01,6539.4146,
6.11,6643.7081,
6.22,6640.8099,
6.32,6667.619,
6.42,6638.6551,
6.52,6631.8305,
6.62,6650.8023,
6.99,6494.3388,
