elapsed_sec,best_cost,improvement_pct
31.53,9929.2512,
31.64,9968.15,
31.74,9936.4075,
31.84,9936.4075,
31.94,10011.7821,
32.05,10033.4426,
32.15,10162.6843,
32.25,10080.1029,
32.35,10091.9865,
32.46,10112.7194,
32.56,10073.5038,
32.66,10123.5422,
32.77,10144.3516,
32.87,10122.8795,
32.97,10195.3171,
33.08,10181.2428,
33.18,10191.9191,
33.28,10123.3064,
33.39,10112.6323,
33.49,10090.373,
33.59,10151.7861,
33.69,10139.1181,
33.8,10070.2444,
33.9,10064.1925,
34.0,10060.4822,
34.1,10072.985,
34.2,10100.7401,
34.31,10077.4619,
34.41,10066.868,
34.51,10047.7774,
34.61,10058.1502,
34.71,10102.0826,
34.81,10129.2441,
34.91,10272.7572,
35.01,10206.2595,
35.12,10206.2595,
35.22,10245.3908,
35.32,10371.2656,
35.43,10354.3367,
35.53,10404.0518,
35.63,10406.0949,
35.73,10538.231,
35.84,10603.6756,
35.96,10291.765,
36.06,10281.5733,
36.16,10498.6177,
36.34,10515.7795,
36.44,10298.7029,
36.54,10285.5491,
36.65,10276.8153,
36.75,10310.532,
36.85,10483.2061,
36.95,10153.729,
37.05,10140.939,
37.15,10266.1872,
37.26,10243.9793,
37.36,10254.9399,
37.46,10224.6815,
37.56,10240.8008,
37.66,10226.7582,
37.77,10241.1717,
37.88,10231.5322,
37.98,10196.5412,
38.08,10215.7018,
38.19,10222.0234,
38.29,10248.5242,
38.39,10223.954,
38.5,10232.7177,
38.6,10278.1512,
38.7,10305.0875,
38.8,10274.078,
38.91,10299.8082,
39.01,10288.4209,
39.11,9870.899,
39.22,9850.1854,
39.32,9855.2101,
39.42,9800.403,
39.53,9810.5311,
39.63,9842.0766,
39.73,9851.61,
39.83,9827.1916,
39.93,9822.3961,
40.03,9841.3241,
40.13,9874.4562,
40.24,9706.2741,
40.34,9725.0487,
40.44,9672.2201,
40.55,9662.0201,
40.65,9662.0553,
40.75,9505.7625,
40.86,9512.6836,
40.96,9600.3149,
41.06,9656.5733,
41.16,9664.1134,
41.27,9650.4475,
41.37,9638.796,
41.48,9541.5808,
41.58,9655.5859,
41.68,9901.8079,
41.78,9920.7343,
41.88,9861.2596,
41.98,9830.2733,
42.09,9828.5162,
42.19,9874.9519,
42.29,9777.4118,
42.39,9777.4118,
42.49,9855.3255,
42.6,9902.8814,
42.7,9932.5771,
42.81,10028.7257,
42.91,10014.5883,
43.01,10040.0507,
43.11,10007.3861,
43.22,10064.2291,
43.32,10048.9599,
43.42,10049.0884,
43.53,10031.7339,
43.64,10059.2636,
43.74,10056.9536,
43.85,10057.5042,
43.95,9945.0423,
44.08,9961.2368,
44.32,9971.1362,
44.42,9949.8059,
44.52,9958.0504,
44.62,9940.3496,
44.73,9946.6727,
44.83,9952.8,
44.93,9937.5051,
45.03,10177.2786,
45.14,10163.5673,
45.24,10103.6341,
45.34,10124.5753,
45.44,10128.4145,
45.54,9919.7103,
45.66,9917.1416,
45.76,9917.7715,
45.86,9920.8832,
45.96,9930.4113,
46.06,9927.0294,
46.16,9847.1912,
46.27,9868.6995,
46.38,9868.6995,
46.49,9847.8654,
46.59,9824.6366,
46.69,9840.4933,
46.8,9832.9104,
46.9,9837.9055,
47.01,9837.9055,
47.12,9893.6185,
47.22,9893.6185,
47.32,9877.3594,
47.43,9878.5477,
47.53,9967.1925,
47.63,9955.8674,
47.73,9921.8134,
47.84,9930.5277,
47.94,9942.4012,
48.05,9937.429,
48.15,9941.4147,
48.26,9958.6153,
48.36,9951.1501,
48.46,9930.3156,
48.56,9692.8756,
48.66,9681.2691,
48.76,9763.9751,
48.86,9756.1493,
48.96,9747.6729,
49.06,9760.7069,
49.17,9740.8991,
49.27,9773.4291,
49.37,9712.7694,
49.47,9706.7753,
49.57,9706.8047,
49.68,9726.671,
49.79,9719.3707,
49.89,9736.5994,
50.0,9727.2766,
50.1,9690.3297,
50.2,9700.5442,
50.3,9700.5442,
50.4,9684.273,
50.5,9621.0868,
50.61,9635.5128,
50.71,9625.9974,
50.82,9631.4258,
50.92,9625.1695,
51.02,9618.3099,
51.12,9609.6849,
51.23,9610.1487,
51.34,9599.5372,
51.45,9602.2315,
51.56,9602.2315,
51.66,9556.7939,
