elapsed_sec,best_cost,improvement_pct
0.1,10650.4283,
0.2,10704.6765,
0.31,10715.3165,
0.42,10719.681,
0.52,10732.8506,
0.64,10724.7384,
0.74,10534.0689,
0.85,10527.4744,
0.95,10581.5947,
1.06,10501.7143,
1.16,10502.9221,
1.26,10524.6856,
1.37,10523.0794,
1.47,10527.3973,
1.57,10516.6262,
1.67,10487.8871,
1.78,10494.5491,
1.89,10493.5225,
2.01,10472.5676,
2.11,10477.6709,
2.21,10472.3464,
2.32,10462.5272,
2.42,10462.5272,
2.52,10455.0926,
2.62,10455.0389,
2.73,10452.5915,
2.83,10452.1211,
2.93,10451.6767,
3.04,10424.4296,
3.14,10421.9547,
3.24,10421.9547,
3.34,10249.6976,
3.45,10249.6976,
3.55,10249.6976,
3.65,10249.6976,
3.75,10249.6976,
3.86,10249.6976,
3.96,10249.6976,
4.06,10249.6976,
4.16,10249.6976,
4.27,10249.6976,
4.37,10249.6976,
4.47,10249.6976,
4.57,10249.6976,
4.67,10249.6976,
4.77,10249.6976,
4.88,10249.6976,
4.98,10248.2237,
5.08,10248.2237,
5.18,10248.2237,
5.28,10248.2237,
5.4,10248.2237,
5.5,10248.2237,
5.6,10248.2237,
5.7,10248.2237,
5.81,10248.2237,
5.91,10248.2237,
6.01,10248.2237,
6.11,10248.2237,
6.26,10594.7661,
6.42,10599.9439,
6.52,10705.6744,
6.62,10715.3746,
6.73,10705.6995,
6.83,10689.3684,
6.94,10707.5815,
7.04,10735.9734,
7.15,10713.2966,
7.25,10498.8352,
7.35,10482.6004,
7.46,10504.0193,
7.56,10497.653,
7.66,10505.6512,
7.77,10484.2157,
7.87,10472.7641,
7.97,10459.7565,
8.07,10440.0083,
8.17,10436.1692,
8.28,10431.5695,
8.38,10431.9637,
8.48,10425.5475,
8.58,10416.4825,
8.69,10408.424,
8.79,10405.3178,
8.89,10396.72,
8.99,10392.1232,
9.09,10392.1232,
9.19,10390.9315,
9.31,10390.5996,
9.41,10390.5996,
9.51,10388.0473,
9.61,10385.809,
9.71,10385.809,
9.82,10387.226,
9.92,10388.0473,
10.02,10387.7565,
10.12,10387.7565,
10.23,10385.5182,
10.33,10385.5182,
10.43,10353.156,
10.53,10353.156,
10.63,10353.156,
10.75,10353.156,
10.85,10353.156,
10.95,10353.156,
11.06,10353.156,
11.16,10353.156,
11.26,10353.156,
11.37,10353.156,
11.47,10353.156,
11.57,10353.156,
11.68,10353.156,
11.79,10353.156,
11.89,10353.156,
11.99,10353.156,
12.09,10353.156,
12.19,10353.156,
12.3,10353.156,
12.41,10353.156,
12.51,10353.156,
12.61,10353.156,
12.71,10353.156,
12.82,10353.156,
12.92,10353.156,
13.22,11603.0418,
13.32,11221.0744,
13.42,11241.8886,
13.53,11268.2708,
13.64,11257.8706,
13.74,11269.5542,
13.85,11223.3162,
13.96,11196.7274,
