elapsed_sec,best_cost,improvement_pct
0.11,10407.8372,
0.21,10613.0377,
0.31,10419.6419,
0.41,10403.5522,
0.51,10551.2754,
0.61,10429.1212,
0.72,10406.2599,
0.82,10411.7977,
0.92,10404.925,
1.03,10358.5439,
1.14,10360.0936,
1.24,10351.7368,
1.34,10344.7149,
1.44,10326.4083,
1.54,10326.5331,
1.64,10328.1502,
1.74,10324.5105,
1.84,10272.8699,
1.95,10272.4495,
2.05,10277.4496,
2.16,10266.4754,
2.26,10268.8577,
2.37,10263.2122,
2.47,10263.2122,
2.58,9941.4591,
2.69,9941.4591,
2.79,9941.4591,
2.89,9941.4591,
2.99,9941.4591,
3.09,9941.4591,
3.19,9941.4591,
3.3,9941.4591,
3.4,9941.4591,
3.5,9941.4591,
3.6,9941.4591,
3.71,9941.4591,
3.93,9941.4591,
4.04,9941.4591,
4.14,9941.4591,
4.24,9941.4591,
4.34,9938.409,
4.44,9938.409,
4.54,9938.409,
4.65,9938.409,
4.75,9938.409,
4.86,9938.409,
4.96,9927.0286,
5.06,9927.0286,
5.16,9926.6418,
5.27,9926.6418,
5.38,9926.6418,
5.48,9926.6418,
5.58,9926.6418,
5.7,9926.6418,
5.8,9926.6418,
5.9,9926.6418,
6.01,9926.6418,
6.11,9926.1219,
6.21,9926.1219,
6.31,9926.1219,
6.41,9926.1219,
6.52,9926.1219,
6.68,11730.7921,
6.79,11437.5833,
6.89,11709.5819,
6.99,11706.6538,
7.09,11744.6284,
7.2,11718.9666,
7.3,11770.9947,
7.41,11799.8265,
7.51,11771.8653,
7.61,11771.0608,
7.71,11725.9705,
7.81,11733.5307,
7.91,11574.8305,
8.02,11565.4774,
8.13,11229.5685,
8.23,11241.5501,
8.33,11244.2705,
8.43,11265.4475,
8.56,11247.2666,
8.68,11107.6191,
8.78,10940.3547,
8.88,10905.7725,
8.99,10898.5232,
9.09,10898.92,
9.19,10898.8444,
9.3,10898.8444,
9.4,10898.8444,
9.51,10860.553,
9.61,10860.553,
9.71,10858.7716,
9.81,10860.1737,
9.92,10847.9718,
10.02,10847.9718,
10.12,10847.9718,
