elapsed_sec,best_cost,improvement_pct
0.11,10336.6197,
0.21,10330.151,
0.37,10331.5714,
0.48,10331.5714,
0.6,10321.4494,
0.71,10329.7135,
0.83,10044.1682,
0.94,10045.6568,
1.05,10046.9876,
1.16,10049.7187,
1.27,10035.3719,
1.38,10034.0673,
1.5,10060.3499,
1.61,10070.6348,
1.72,10060.3499,
1.83,10076.0589,
1.94,10070.6348,
2.05,10061.7827,
2.16,10063.0873,
2.28,10036.8047,
2.39,10078.9422,
2.5,10036.8047,
2.61,10052.5137,
2.73,10036.8047,
2.84,10038.103,
2.95,10046.9876,
3.05,10045.6568,
3.17,10054.4531,
3.28,10057.7527,
3.4,10044.1682,
3.5,10076.4038,
3.61,10044.1682,
3.72,10054.4531,
3.84,10044.1682,
3.94,10098.5452,
4.06,10071.9394,
4.17,10063.0873,
4.28,10082.9598,
4.39,10063.0873,
4.51,10097.8567,
4.62,10063.0873,
4.72,10036.8047,
4.83,10035.5001,
4.94,10088.1095,
5.05,10096.9616,
5.16,10098.2924,
5.27,10086.6767,
5.38,10116.8341,
5.49,10086.6767,
5.6,10118.443,
5.71,10091.1728,
5.82,10123.4084,
5.93,10091.1728,
6.05,10117.4554,
6.16,10152.2248,
6.28,10117.4554,
6.39,10149.2217,
6.5,10117.4554,
6.61,10127.765,
6.72,10112.056,
6.83,10085.7734,
6.94,10118.009,
7.05,10085.7734,
7.16,10117.5397,
7.27,10085.7734,
7.38,10025.9685,
7.49,9840.1956,
7.6,9934.6651,
7.72,9840.1956,
7.83,9874.965,
7.94,9840.1956,
8.06,9866.4782,
8.17,9928.2628,
8.29,9938.896,
8.39,9923.187,
8.51,10075.1533,
8.62,9923.187,
8.74,9930.3486,
8.85,9904.066,
8.97,10073.8296,
9.08,9894.398,
9.2,9899.627,
9.32,9956.6422,
9.43,10017.2384,
9.55,10004.5488,
9.67,10156.5151,
9.79,10004.5488,
9.91,10176.9031,
10.03,10024.8634,
10.15,10077.5745,
10.27,10035.437,
10.39,10066.8197,
10.51,10128.4583,
10.62,10033.9888,
10.74,10024.3235,
10.86,10023.7542,
10.98,10027.9628,
11.1,10186.4759,
11.21,9970.8946,
11.33,9944.612,
11.45,10096.5783,
11.57,9944.612,
11.69,9945.1813,
11.81,9973.5264,
11.92,9995.7463,
12.04,10122.7282,
12.16,9959.1881,
12.28,10111.1544,
12.4,9959.1881,
12.51,10045.8754,
12.63,10061.5844,
12.75,10049.7403,
12.87,10051.2579,
12.98,10086.0273,
13.1,10051.2579,
13.22,10206.2696,
13.34,10013.8996,
13.45,10026.2985,
13.57,10031.9403,
13.69,10022.275,
13.81,10032.9615,
13.93,10024.8179,
14.04,10063.3438,
14.16,10215.3101,
14.28,10063.3438,
14.4,10003.9785,
14.51,10008.9471,
14.63,10014.9204,
14.75,10009.2751,
14.87,10047.2027,
14.98,10008.6768,
15.09,10163.6885,
15.2,9824.8381,
15.31,9784.673,
15.42,9781.9419,
15.53,9781.9419,
15.65,9807.4597,
15.76,9809.0576,
15.87,9776.822,
15.98,9838.5256,
16.09,9776.822,
16.2,9781.7906,
16.31,9801.6631,
16.41,9795.4293,
16.53,9820.8384,
16.63,9800.9659,
16.74,9843.1034,
16.85,9888.9521,
16.96,9827.2485,
17.07,9822.2799,
17.18,9822.2799,
17.29,9834.8709,
17.4,9835.3402,
17.51,9803.1046,
17.62,9864.8082,
17.73,9779.5531,
17.84,9776.822,
17.94,9810.0087,
18.05,9813.2258,
18.16,9784.5922,
18.27,9819.3616,
18.38,9784.5922,
18.49,9837.8639,
18.6,9853.5729,
18.71,9859.6939,
18.82,9837.8639,
18.93,9874.0333,
19.04,9874.0333,
19.15,9908.8027,
19.26,9909.6515,
19.37,9867.514,
19.48,9887.3865,
19.59,9899.2803,
19.7,9829.3362,
19.81,9858.6113,
19.92,9838.7388,
20.02,9880.8763,
20.13,9838.7388,
20.24,9858.6113,
20.36,9859.5979,
20.46,9850.3464,
20.58,9859.961,
20.69,9840.0885,
20.8,9882.226,
20.9,9840.0885,
21.01,9859.961,
21.12,9873.5455,
21.23,9840.0885,
21.34,9846.0632,
21.45,9846.0632,
21.56,9880.8326,
21.67,9846.0632,
21.78,9865.9357,
21.89,9879.5202,
22.0,9846.0632,
22.11,9826.7307,
22.21,9871.4112,
22.33,9851.5387,
22.44,9854.2698,
22.55,9851.5387,
22.66,9871.4112,
22.77,9883.305,
22.89,9852.7573,
22.99,9839.0226,
23.11,9839.4919,
23.22,9807.2563,
23.33,9822.9653,
23.43,9839.4919,
23.54,9827.1288,
23.66,9808.266,
23.77,9829.4124,
23.89,9833.1159,
24.0,9807.8537,
24.1,9775.6181,
24.21,9779.7873,
24.33,9796.3139,
24.43,9764.0783,
24.54,9806.2158,
24.65,9795.3842,
24.76,9795.8535,
24.86,9763.6179,
24.97,9771.812,
25.08,9754.7276,
25.19,9540.8528,
25.3,9582.9903,
25.41,9540.8528,
25.52,9695.8645,
25.63,9588.2582,
25.74,9745.9296,
25.86,9767.5073,
25.97,9753.0338,
26.08,9588.2582,
26.19,9682.7277,
26.33,9588.2582,
26.44,9537.8658,
26.56,9705.5742,
26.66,9715.0597,
26.77,9700.5862,
26.88,9535.8106,
26.98,9630.2801,
27.09,9535.8106,
27.2,9712.6826,
27.31,9710.7343,
27.42,9529.1854,
27.53,9692.7255,
27.64,9529.1854,
27.74,9583.302,
27.85,9735.2683,
27.96,9583.302,
28.08,9753.0656,
28.18,9583.302,
28.29,9587.2382,
28.39,9595.6572,
28.5,9541.5406,
28.61,9693.5069,
28.71,9541.5406,
28.82,9706.3162,
28.93,9541.5406,
29.04,9551.4735,
29.14,9547.3546,
29.25,9724.2266,
29.36,9547.3546,
29.46,9601.4712,
29.58,9765.0113,
29.68,9601.4712,
29.79,9587.6021,
29.9,9622.3715,
30.0,9587.6021,
30.11,9591.721,
30.22,9743.6873,
30.33,9692.6161,
30.43,9537.6044,
30.54,9541.5406,
30.65,9576.31,
30.76,9541.5406,
30.87,9537.4373,
30.98,9689.4036,
31.09,9537.4373,
31.19,9591.5539,
31.3,9607.2629,
31.4,9630.5319,
31.51,9595.7625,
31.62,9594.9694,
31.73,9746.9357,
31.84,9594.9694,
31.94,9749.9811,
32.06,9556.5618,
32.16,9540.8528,
32.27,9582.9903,
32.38,9647.4693,
32.49,9552.9998,
32.6,9722.7634,
32.71,9552.9998,
32.82,9568.7088,
32.93,9770.6565,
33.04,9607.1164,
33.15,9594.9694,
33.26,9759.745,
33.37,9594.9694,
33.48,9771.8414,
33.59,9594.9694,
33.7,9591.2452,
33.81,9626.0146,
33.91,9591.2452,
34.02,9596.1572,
34.13,9748.1235,
34.23,9761.7122,
