elapsed_sec,best_cost,improvement_pct
0.1,9674.1915,
0.2,9674.1915,
0.31,9668.4693,
0.5,9668.4693,
0.61,9668.4693,
0.71,9668.4693,
0.81,9663.9934,
0.91,9653.1926,
1.01,9653.1926,
1.11,9653.1926,
1.21,9653.1926,
1.31,9653.1926,
1.42,9653.1926,
1.52,9653.1926,
1.62,9653.1926,
1.72,9653.1926,
1.82,9653.1926,
1.92,9653.1926,
2.02,9653.1926,
2.12,9653.1926,
2.22,9653.1926,
2.32,9653.1926,
2.42,9653.1926,
2.52,9653.1926,
2.62,9653.1926,
2.72,9653.1926,
2.82,9653.1926,
2.92,9653.1926,
3.02,9653.1926,
3.12,9653.1926,
3.23,9653.1926,
3.33,9653.1926,
3.43,9653.1926,
3.53,9653.1926,
3.63,9653.1926,
3.73,9653.1926,
3.83,9653.1926,
3.93,9653.1926,
4.03,9653.1926,
4.14,9653.1926,
4.24,9653.1926,
4.34,9653.1926,
4.44,9653.1926,
4.54,9653.1926,
4.64,9653.1926,
4.74,9653.1926,
4.84,9653.1926,
4.94,9653.1926,
5.04,9653.1926,
5.14,9653.1926,
5.24,9653.1926,
5.41,9653.1926,
5.51,9653.1926,
5.61,9653.1926,
5.71,9653.1926,
5.81,9653.1926,
5.92,9653.1926,
6.02,9653.1926,
6.12,9653.1926,
6.22,9653.1926,
6.32,9653.1926,
6.42,9653.1926,
6.52,9653.1926,
6.62,9653.1926,
6.72,9653.1926,
6.82,9653.1926,
6.92,9653.1926,
7.02,9653.1926,
7.12,9653.1926,
7.23,9653.1926,
7.33,9653.1926,
7.43,9653.1926,
7.53,9653.1926,
7.63,9653.1926,
7.73,9653.1926,
7.83,9653.1926,
7.93,9653.1926,
8.03,9653.1926,
8.14,9653.1926,
8.24,9653.1926,
8.34,9653.1926,
8.44,9653.1926,
8.54,9653.1926,
8.64,9653.1926,
8.74,9653.1926,
8.84,9653.1926,
8.95,9653.1926,
9.05,9653.1926,
9.15,9653.1926,
9.25,9653.1926,
9.35,9653.1926,
