elapsed_sec,best_cost,improvement_pct
0.1,11027.5279,
0.2,10087.985,
0.31,10074.2121,
0.41,9716.6272,
0.51,9634.3564,
0.62,9879.401,
0.72,10118.2669,
0.82,9733.2299,
0.92,9150.243,
1.02,9423.7839,
1.13,9711.3422,
1.23,9304.7542,
1.33,9648.3901,
1.44,9243.4782,
1.54,9276.9378,
1.65,9300.2581,
1.75,9300.6029,
1.85,9024.6762,
1.95,9444.6396,
2.05,9277.5643,
2.15,9249.5583,
2.25,9151.5453,
2.35,9368.6856,
2.45,9313.7907,
2.55,9593.0778,
2.65,9397.0378,
2.76,9384.3722,
2.86,9359.2961,
2.96,9218.6467,
3.06,8937.7369,
3.16,9217.7071,
3.26,9158.2815,
3.37,9396.4604,
3.47,9496.595,
3.57,9794.8057,
3.67,9287.736,
3.77,9286.9283,
3.87,9251.0912,
3.97,9538.9456,
4.07,9835.6258,
4.17,8989.4158,
4.27,9209.5599,
4.37,8892.3385,
4.47,9615.5039,
4.57,9319.3491,
4.67,9335.3095,
4.78,9035.4389,
4.88,9031.1093,
4.98,9801.0236,
5.08,9302.2816,
5.29,9276.7898,
5.39,9338.0175,
5.49,9664.5884,
5.59,9309.2416,
5.7,9538.4687,
5.8,9767.7014,
5.9,9710.0052,
6.0,9454.5789,
6.11,9402.1759,
6.21,9373.2287,
6.31,9395.6744,
6.41,9738.9739,
6.51,9940.799,
6.61,9833.7828,
6.71,9790.2001,
6.81,9506.2538,
6.91,9846.7222,
7.01,9424.5305,
7.11,9724.2758,
7.21,9673.4449,
7.32,9323.6441,
7.42,9270.8396,
7.52,9335.4786,
7.62,9344.1963,
7.72,9371.89,
7.82,9367.1668,
7.92,9593.7071,
8.03,9599.1291,
8.13,9389.9468,
8.24,9454.9321,
8.34,9670.4513,
8.44,10076.4312,
8.54,9724.2577,
8.64,9962.2444,
8.74,9572.1449,
8.84,9632.079,
8.94,9356.0532,
9.05,9402.9695,
9.15,9410.7003,
9.25,9560.0716,
9.35,9393.0442,
9.45,9376.61,
9.56,9403.2791,
9.66,9377.2425,
9.76,9375.4654,
9.86,9338.9346,
9.96,9329.7293,
10.06,9060.1499,
10.17,9098.3017,
10.27,9083.6643,
10.37,9049.3135,
10.47,9378.7989,
10.57,9423.0703,
10.67,9115.2408,
10.77,9082.782,
10.87,9640.2419,
10.97,9570.6948,
11.07,9423.8859,
11.17,9605.7761,
11.27,9536.9229,
11.38,9549.4899,
11.48,9529.4853,
11.58,9522.8079,
11.68,9384.204,
11.78,9666.2085,
11.88,9336.2966,
11.98,9396.3141,
12.09,9493.4806,
12.19,9416.0565,
12.29,9442.4358,
12.39,9359.1505,
12.49,9462.3635,
12.61,9474.702,
12.84,9185.0758,
12.94,9167.6948,
13.04,9211.832,
13.14,9231.3773,
13.24,9139.9135,
13.34,9266.1018,
13.45,9345.4673,
13.55,9412.1649,
13.65,9102.4649,
13.75,9363.265,
13.85,9409.8603,
13.95,9169.5534,
14.05,9467.4558,
14.15,9227.813,
14.25,9486.4685,
14.36,9462.8999,
14.46,9144.4782,
14.56,9160.6987,
14.67,9123.9193,
14.77,9137.767,
14.87,9150.2822,
14.97,9133.6252,
15.08,9120.0966,
15.18,9579.6778,
15.28,9375.6679,
15.38,9429.5429,
15.48,9188.3585,
15.58,9199.1053,
15.69,9400.6919,
15.79,9382.0187,
15.89,9483.8392,
15.99,9699.3633,
16.09,9813.8213,
16.19,9497.9994,
16.29,9861.1706,
16.39,9233.6908,
16.49,9479.821,
16.59,9572.3142,
16.7,9524.9244,
16.8,9754.8577,
16.9,9378.29,
17.0,9740.9079,
17.1,9463.4288,
17.21,9786.103,
17.31,9501.2393,
17.41,9704.9852,
17.51,9361.8434,
17.61,9446.5469,
17.72,9440.5457,
17.82,9475.5324,
17.92,9472.1475,
18.02,9414.5801,
18.12,9430.0155,
18.23,9229.4463,
18.33,9206.2134,
18.43,9497.4757,
18.53,9257.1293,
18.63,9276.1758,
18.74,9180.9835,
18.84,9180.9376,
18.94,9468.8269,
19.04,9527.6498,
19.14,9589.0349,
19.25,9424.8856,
19.35,9428.1931,
19.46,9425.5459,
19.56,9507.904,
19.66,9563.9597,
19.76,9400.291,
19.87,9102.2231,
19.98,9456.9627,
20.08,9456.1151,
20.19,9446.7831,
20.41,9456.3675,
20.52,9710.4605,
20.63,9486.4328,
20.73,9118.2641,
20.83,9148.2362,
20.93,9204.3927,
21.03,9126.8479,
21.13,9104.4124,
21.23,9102.7951,
21.33,8947.1954,
21.44,8949.3822,
21.54,8959.2419,
21.64,8897.2348,
21.74,8930.5668,
21.84,9387.365,
21.95,9436.491,
22.05,9448.0188,
22.15,9534.1719,
22.26,9707.3622,
22.36,9650.2341,
22.46,9686.2973,
22.56,9736.4827,
22.66,9265.2086,
22.76,9103.7051,
22.86,9138.5115,
22.96,9370.8004,
23.06,9371.4808,
23.16,9186.8264,
23.26,8791.132,
23.36,9102.4753,
23.47,9097.3791,
23.57,9080.9859,
23.67,9156.976,
23.77,9146.7824,
23.87,9110.2586,
23.97,9063.1098,
24.07,9066.8793,
24.17,9073.3297,
24.27,9073.3297,
24.38,9074.5482,
24.48,9106.9718,
24.58,9032.4186,
24.68,9015.8321,
24.78,9329.4933,
24.88,8775.8346,
24.98,8796.5265,
25.09,8792.3499,
25.19,8791.6755,
25.29,8787.8898,
25.39,8775.1364,
25.49,8780.9095,
25.59,8768.4413,
25.69,8749.1782,
25.79,8773.7267,
25.89,8777.6194,
25.99,8772.4936,
26.09,8768.0974,
26.19,8754.8535,
26.29,8753.0763,
26.39,8741.5062,
26.49,8734.386,
26.6,8751.6772,
26.7,8768.4228,
26.8,8752.1253,
26.9,8746.8277,
27.0,8745.7461,
27.1,8745.7734,
27.2,8733.892,
27.3,8751.6341,
27.41,8770.4475,
27.51,9009.0149,
27.61,9019.9647,
27.71,9013.8835,
27.81,9013.3162,
28.0,9016.1541,
28.12,9007.1103,
28.22,9030.4385,
28.32,8999.2402,
28.42,9004.7832,
28.52,9034.4752,
28.62,8971.946,
28.72,9019.8088,
28.82,9111.3686,
28.92,8999.9738,
29.03,8987.5505,
29.13,8964.4862,
29.23,8949.2167,
29.33,9274.4762,
29.43,9031.8814,
29.53,8962.0744,
29.63,9051.7295,
29.74,9085.3426,
29.84,8826.1747,
29.94,8826.4898,
30.04,8816.461,
30.14,8859.5005,
30.25,8859.8775,
30.35,8847.9774,
30.45,8843.7689,
30.55,8830.5489,
30.65,8856.9809,
30.75,8697.1891,
30.85,8719.9617,
30.95,8737.6352,
31.05,8688.1444,
31.15,8729.857,
31.26,8681.391,
31.36,8678.7332,
31.46,8690.8419,
31.56,8689.0035,
31.66,8676.5264,
31.76,8767.5174,
31.86,8763.4805,
31.96,8762.5565,
32.07,8723.8961,
32.17,8695.896,
32.27,8958.691,
32.37,8957.3988,
32.47,8708.299,
32.57,8688.1748,
32.67,8694.9282,
32.78,8673.3201,
32.88,8656.707,
32.98,8670.103,
33.09,8698.2772,
33.19,8661.5864,
33.29,8669.8971,
33.39,8682.6954,
33.49,8968.9212,
33.59,8682.5086,
33.69,8672.7686,
33.79,8678.2773,
33.89,8675.3241,
33.99,8666.9372,
34.09,8678.9678,
34.19,8686.7851,
34.3,8704.2311,
34.4,8678.4215,
34.5,8670.8952,
34.6,8679.7871,
34.7,8675.172,
34.8,8669.4559,
34.9,8731.6667,
35.01,8711.6197,
35.11,8705.6059,
35.21,8677.4015,
35.31,8655.191,
35.41,8655.5272,
35.51,8698.3227,
35.61,8745.2951,
35.71,8745.9548,
35.82,8749.7337,
35.92,8767.3728,
36.17,8761.8585,
36.27,8804.3631,
36.37,8786.0425,
36.47,8787.2374,
36.57,8814.2639,
36.67,8738.4361,
36.78,8741.489,
36.88,8724.1203,
36.98,8739.6102,
37.09,8738.5685,
37.19,8753.0027,
37.29,8714.0506,
37.39,8689.1565,
37.5,8692.7219,
37.6,8731.7798,
37.7,8730.1042,
37.8,8728.9177,
37.9,8703.693,
38.0,8695.2001,
38.1,8716.8515,
38.22,8762.5779,
38.32,8747.5232,
38.42,8718.8968,
38.52,8717.4697,
38.63,8657.8502,
38.73,8627.1812,
38.83,8645.147,
38.93,8618.8834,
39.03,8616.9004,
39.13,8623.2232,
39.23,8639.1254,
39.33,8603.2873,
39.43,8644.1555,
39.53,8598.2485,
39.63,8618.9392,
39.73,8636.505,
39.83,8635.0915,
39.95,8642.3412,
40.06,8627.3794,
40.17,8648.9543,
40.27,8606.6003,
40.37,8594.4002,
40.47,8601.1402,
40.57,8620.8845,
40.67,8570.7026,
40.77,8561.7959,
40.88,8586.5765,
40.98,8600.6259,
41.08,8605.3746,
41.18,8615.2751,
41.28,8594.3377,
41.4,8551.6767,
