elapsed_sec,best_cost,improvement_pct
0.11,3366.3944,
0.21,3656.8043,
0.32,3701.3678,
0.42,3767.9684,
0.54,3379.755,
0.64,3543.0537,
0.76,3288.2716,
0.87,3160.8896,
0.97,3297.52,
1.07,3237.2835,
1.23,3237.2835,
1.34,3174.0604,
1.53,3301.6116,
1.72,3294.3339,
1.82,3481.0844,
1.96,3450.5364,
2.11,3442.2907,
2.25,3541.1588,
2.36,3541.1588,
2.47,3722.4451,
2.59,3389.2494,
2.71,3295.7571,
2.81,3250.6205,
2.92,3250.6205,
3.02,3223.071,
3.13,3166.775,
3.23,3249.3064,
3.35,3243.2978,
3.45,3505.8324,
3.58,3530.6478,
3.69,3627.481,
3.79,3576.2395,
3.9,3779.0788,
4.0,3720.1801,
4.13,3717.3083,
4.24,3512.2068,
4.41,3543.6522,
4.53,3489.0423,
4.64,3522.3318,
4.76,3509.725,
4.87,3507.3606,
4.99,3471.7829,
5.16,3441.5531,
5.27,3441.5531,
5.39,3575.3978,
5.65,3523.4357,
5.82,3578.7611,
6.0,4036.4583,
6.12,3746.5842,
6.23,3631.9601,
6.34,3655.9373,
6.45,3620.5491,
6.67,3615.3928,
6.77,3579.7716,
6.87,3564.3336,
6.99,3863.6221,
7.09,3901.3491,
7.22,3901.3491,
7.35,3897.6099,
7.45,4236.3114,
7.6,4226.0648,
7.71,3867.8085,
7.82,3867.8085,
7.94,3620.0643,
8.05,3562.3652,
8.16,3554.2903,
8.36,3582.734,
8.47,3550.9636,
8.61,3550.9636,
8.71,3572.064,
8.85,3637.5893,
8.96,3636.4311,
9.09,3567.7501,
9.2,3564.0422,
9.43,3518.4842,
9.53,3453.4872,
9.64,3584.1987,
9.74,3577.5587,
9.88,3577.5587,
9.98,3582.2114,
10.09,3499.9047,
10.21,3491.8383,
10.35,3446.9044,
10.47,3446.9044,
10.61,3446.9044,
10.71,3450.0422,
10.84,3459.0025,
10.96,3459.0025,
11.08,3451.5809,
11.18,3499.6762,
11.34,3519.3619,
11.46,3505.7788,
11.57,3549.3506,
11.71,3556.5559,
11.86,3502.2018,
11.98,3533.1602,
12.09,3533.1602,
12.19,3254.5211,
12.32,3301.42,
12.42,3294.1423,
12.53,3353.5694,
12.63,3304.1682,
12.79,3239.3672,
12.89,3274.4518,
13.02,3274.2971,
13.15,3273.8977,
13.27,3675.8499,
13.38,3535.508,
13.53,3268.9707,
13.63,3268.9707,
13.73,3206.952,
13.86,3204.0159,
13.98,3325.2299,
14.08,3282.8689,
14.2,3282.8689,
14.34,3282.8689,
14.49,3282.8689,
14.59,3270.9698,
14.69,3215.1996,
14.81,3215.1996,
14.93,3215.1996,
15.08,3219.3081,
15.2,3189.5219,
15.36,3189.5219,
15.48,3147.7778,
15.59,3147.7778,
15.8,3135.6797,
15.92,3267.1087,
16.04,3220.9436,
16.15,3220.9436,
16.25,3145.6349,
16.38,3148.1281,
16.48,3148.1281,
16.61,3148.1281,
16.75,3138.1729,
16.85,3191.6157,
16.96,3191.6157,
17.06,3245.3075,
17.23,3246.2457,
17.35,3246.2457,
17.46,3341.3084,
17.56,3213.7657,
17.68,3270.8224,
17.78,3211.0671,
17.89,3215.6518,
18.09,3215.6518,
18.19,3270.6738,
18.29,3192.0824,
18.42,3328.7981,
18.52,3271.9789,
18.66,3193.7959,
18.81,3193.7959,
18.91,3194.5092,
19.04,3260.6223,
19.2,3278.8983,
19.32,3265.0076,
19.46,3265.0076,
19.65,3265.0076,
19.75,3236.7641,
19.88,3206.9359,
20.0,3206.9359,
20.12,3206.9087,
20.26,3194.482,
20.45,3194.482,
20.59,3194.482,
20.69,3195.0477,
20.79,3189.1478,
20.92,3192.1566,
21.02,3188.7377,
21.14,3188.7377,
21.24,3188.7377,
21.37,3188.7377,
21.5,3188.7377,
21.62,3188.7377,
21.75,3188.7377,
21.85,3188.7377,
21.96,3187.3851,
22.08,3188.7377,
22.19,3187.3851,
22.3,3201.1644,
22.4,3204.5833,
22.52,3205.2365,
22.66,3131.6731,
22.77,3132.6849,
22.92,3279.2445,
23.05,3271.9661,
23.19,3271.9661,
23.29,3162.8449,
23.41,3164.1975,
23.51,3159.0682,
23.63,3137.9526,
23.73,3137.9526,
23.85,3139.3052,
23.95,3137.9526,
24.07,3137.9526,
24.17,3139.0727,
24.3,3139.0727,
24.42,3136.4823,
24.52,3136.4823,
24.71,3136.4823,
24.86,3199.5873,
25.01,3205.5885,
25.12,3203.6594,
25.26,3203.6594,
25.48,3203.6594,
25.66,3203.6594,
25.76,3202.3068,
25.88,3202.3068,
25.99,3202.3068,
26.12,3207.6155,
26.23,3208.9681,
26.33,3134.929,
26.48,3138.2745,
26.59,3203.1521,
26.72,3203.1521,
26.82,3203.1521,
26.97,3204.7292,
27.07,3204.7292,
27.25,3204.7292,
27.38,3204.7292,
27.48,3192.3025,
27.58,3186.6528,
27.7,3127.4249,
27.95,3127.4249,
28.06,3153.3479,
28.23,3121.8353,
28.46,3148.2186,
28.56,3148.2186,
28.7,3148.2186,
28.8,3148.2186,
28.99,3146.866,
29.1,3151.9953,
29.2,3165.5416,
29.37,3197.3403,
29.49,3128.2231,
29.65,3127.103,
29.76,3127.103,
29.9,3127.103,
30.01,3127.103,
30.12,3125.6327,
30.22,3129.2875,
30.34,3129.2875,
30.44,3129.2875,
30.57,3129.2875,
30.72,3129.2875,
30.88,3129.2875,
30.98,3186.6528,
31.11,3190.1577,
