elapsed_sec,best_cost,improvement_pct
0.1,4536.9529,
0.2,4530.1527,
0.3,4530.1527,
0.4,4530.1527,
0.5,4530.1527,
0.6,4530.1527,
0.7,4530.1527,
0.81,4530.1527,
0.91,4530.1527,
1.01,4530.1527,
1.11,4530.1527,
1.21,4530.1527,
1.31,4530.1527,
1.41,4530.1527,
1.51,4530.1527,
1.61,4530.1527,
1.71,4530.1527,
1.81,4530.1527,
1.91,4530.1527,
2.01,4530.1527,
2.11,4530.1527,
2.21,4530.1527,
2.31,4530.1527,
2.41,4530.1527,
2.51,4530.1527,
2.61,4530.1527,
2.71,4530.1527,
2.81,4530.1527,
2.91,4530.1527,
3.01,4530.1527,
3.11,4530.1527,
3.21,4530.1527,
3.31,4530.1527,
3.41,4530.1527,
3.51,4530.1527,
3.61,4530.1527,
3.71,4530.1527,
3.81,4530.1527,
3.91,4530.1527,
4.01,4530.1527,
4.11,4530.1527,
4.21,4530.1527,
4.31,4530.1527,
4.41,4530.1527,
4.51,4530.1527,
4.61,4530.1527,
4.71,4530.1527,
4.81,4530.1527,
4.91,4530.1527,
5.01,4530.1527,
5.11,4530.1527,
5.22,4530.1527,
5.32,4530.1527,
5.42,4530.1527,
5.52,4530.1527,
5.62,4530.1527,
5.72,4530.1527,
5.82,4530.1527,
5.92,4530.1527,
6.02,4530.1527,
6.12,4530.1527,
6.22,4530.1527,
6.32,4530.1527,
6.42,4530.1527,
6.52,4530.1527,
6.62,4530.1527,
6.72,4530.1527,
6.82,4530.1527,
6.92,4530.1527,
7.02,4530.1527,
7.12,4530.1527,
7.22,4530.1527,
7.32,4530.1527,
7.42,4530.1527,
7.52,4530.1527,
7.62,4530.1527,
7.72,4530.1527,
7.82,4530.1527,
7.92,4530.1527,
8.02,4530.1527,
8.12,4530.1527,
8.22,4530.1527,
8.32,4530.1527,
8.42,4530.1527,
8.52,4530.1527,
8.62,4530.1527,
8.72,4530.1527,
8.82,4530.1527,
8.92,4530.1527,
9.02,4530.1527,
9.12,4530.1527,
9.22,4530.1527,
9.33,4530.1527,
9.43,4530.1527,
9.53,4530.1527,
9.63,4530.1527,
9.73,4530.1527,
9.83,4530.1527,
9.93,4530.1527,
10.03,4530.1527,
10.13,4530.1527,
10.23,4530.1527,
10.33,4530.1527,
10.43,4530.1527,
10.53,4530.1527,
10.63,4530.1527,
10.73,4530.1527,
10.83,4530.1527,
10.93,4530.1527,
11.03,4530.1527,
11.13,4530.1527,
11.23,4530.1527,
11.33,4530.1527,
11.43,4530.1527,
11.53,4530.1527,
11.63,4530.1527,
11.73,4530.1527,
