elapsed_sec,best_cost,improvement_pct
0.1,5040.8119,
0.2,4474.8097,
0.31,5170.3828,
0.41,4531.7919,
0.51,4743.4219,
0.61,4463.6792,
0.71,4421.1077,
0.81,4249.069,
0.92,4248.5921,
1.02,5152.7171,
1.12,4834.5634,
1.22,4862.9181,
1.32,4802.1833,
1.42,4381.8652,
1.52,4787.684,
1.62,4554.3033,
1.72,4785.3808,
1.82,4679.9917,
1.93,4408.8318,
2.03,4548.7666,
2.13,4431.3869,
2.23,4869.8306,
2.33,4905.9981,
2.43,4558.5407,
2.53,4813.2823,
2.63,4533.2409,
2.73,4819.1476,
2.83,4787.7,
2.93,4778.4361,
3.03,4713.0427,
3.13,5007.6875,
3.23,4738.2299,
3.34,4871.2359,
3.44,4746.9708,
3.54,5102.3099,
3.64,5080.9161,
3.74,4787.0682,
3.84,5325.6928,
3.94,4998.1854,
4.04,5240.5714,
4.14,5017.8194,
4.24,5211.9043,
4.35,4857.2638,
4.45,5008.5872,
4.56,4686.2757,
4.66,5069.1931,
4.77,4202.6912,
4.87,5349.508,
4.97,4436.7337,
5.07,4470.5555,
5.17,4427.5561,
5.27,4564.8515,
5.37,4111.2038,
5.47,4393.0592,
5.57,4786.1015,
5.67,4363.5164,
5.77,4344.9639,
5.87,4407.6275,
5.97,4382.6861,
6.07,4437.3248,
6.17,4225.5045,
6.27,4237.1713,
6.37,4170.0932,
6.47,4431.7031,
6.57,4438.595,
6.68,4687.8642,
6.78,4480.2074,
6.88,4527.8576,
6.98,4786.7483,
7.08,4780.82,
7.18,4809.8108,
7.28,5082.1424,
7.38,4562.736,
7.49,4513.8651,
7.59,4568.2593,
7.69,4616.8011,
7.79,4841.8857,
7.89,4624.5086,
7.99,4521.2294,
8.09,4470.4978,
8.21,4506.5608,
8.31,4508.4739,
8.41,4203.9336,
8.51,4224.1574,
8.61,4168.27,
8.71,4467.6621,
8.81,4507.4844,
8.91,4546.8312,
9.01,4576.0458,
9.11,4568.7709,
9.21,4471.2374,
9.32,4344.5208,
9.42,4408.296,
9.52,4897.0079,
9.62,4957.2007,
9.72,4519.2118,
9.82,4486.2926,
9.92,4560.6482,
10.02,4597.7383,
10.13,4454.4915,
10.23,4499.6229,
10.33,4441.4909,
10.43,4454.6107,
10.53,4480.9888,
10.63,4456.4858,
10.73,4226.2882,
10.85,4576.8788,
10.95,4529.4434,
11.05,4373.386,
11.15,4536.8804,
11.25,4491.7155,
11.35,4429.8521,
11.45,4437.5825,
11.55,4440.3629,
11.65,4363.8211,
11.75,4480.3263,
11.85,4466.6432,
11.96,4421.8949,
12.06,4664.7773,
12.16,4538.9682,
12.26,4440.9656,
12.36,4463.8657,
12.46,4516.3501,
12.56,4309.43,
12.66,4368.5619,
12.76,4327.4383,
12.86,4356.4433,
12.96,4466.3223,
13.06,4376.7095,
13.16,4118.6217,
13.27,4115.7216,
13.37,4126.1611,
13.47,4122.369,
13.57,4122.963,
13.67,4118.6217,
13.77,4110.3099,
13.87,4115.4541,
13.97,4127.758,
14.07,4146.0739,
14.17,4133.938,
14.27,4122.257,
14.37,4108.7948,
14.47,4126.1147,
14.57,4127.023,
14.67,4124.4137,
14.77,4116.533,
14.88,4118.1125,
14.98,4127.336,
15.08,4278.7328,
15.18,4341.3674,
15.28,4412.2917,
15.38,4212.4291,
15.48,4219.192,
15.58,4217.4838,
15.68,4214.0024,
15.78,4218.0334,
15.97,4206.378,
16.07,4340.8842,
16.17,4394.9618,
16.27,4391.7658,
16.37,4419.723,
16.48,4419.723,
16.58,4507.9752,
16.68,4497.2735,
16.78,4511.2842,
16.88,4449.7054,
16.98,4550.9934,
17.08,4469.6731,
17.18,4505.3636,
17.28,4444.6288,
17.39,4495.8213,
17.49,4533.6976,
17.59,4529.2422,
17.69,4593.0936,
17.79,4540.2462,
