elapsed_sec,best_cost,improvement_pct
0.1,3123.2895,
0.2,3123.2895,
0.3,3123.2895,
0.4,3123.2895,
0.5,3123.2895,
0.6,3123.2895,
0.7,3123.2895,
0.8,3123.2895,
0.9,3123.2895,
1.0,3123.2895,
1.1,3123.2895,
1.2,3123.2895,
1.3,3123.2895,
1.4,3123.2895,
1.5,3123.2895,
1.6,3123.2895,
1.7,3123.2895,
1.8,3123.2895,
1.9,3123.2895,
2.0,3123.2895,
2.1,3123.2895,
2.2,3123.2895,
2.3,3123.2895,
2.41,3123.2895,
2.51,3123.2895,
2.61,3123.2895,
2.71,3123.2895,
2.81,3123.2895,
2.91,3123.2895,
3.01,3123.2895,
3.11,3123.2895,
3.21,3123.2895,
3.31,3123.2895,
3.41,3123.2895,
3.51,3123.2895,
3.61,3123.2895,
3.71,3123.2895,
3.81,3123.2895,
3.91,3123.2895,
4.01,3123.2895,
4.11,3123.2895,
4.21,3123.2895,
4.31,3123.2895,
4.41,3123.2895,
4.51,3123.2895,
4.61,3123.2895,
4.71,3123.2895,
4.81,3123.2895,
4.91,3123.2895,
5.01,3123.2895,
5.11,3123.2895,
5.21,3123.2895,
5.31,3123.2895,
5.41,3123.2895,
5.51,3123.2895,
5.61,3123.2895,
5.71,3123.2895,
5.81,3123.2895,
5.91,3123.2895,
6.01,3123.2895,
6.11,3123.2895,
6.21,3123.2895,
6.31,3123.2895,
6.41,3123.2895,
6.51,3123.2895,
6.61,3123.2895,
6.71,3123.2895,
6.81,3123.2895,
6.91,3123.2895,
7.01,3123.2895,
7.11,3123.2895,
7.21,3123.2895,
7.31,3123.2895,
7.41,3123.2895,
7.51,3123.2895,
7.61,3123.2895,
7.71,3123.2895,
7.81,3123.2895,
7.91,3123.2895,
8.01,3123.2895,
8.11,3123.2895,
8.21,3123.2895,
8.31,3123.2895,
8.42,3123.2895,
8.52,3123.2895,
8.62,3123.2895,
8.72,3123.2895,
8.82,3123.2895,
8.92,3123.2895,
9.02,3123.2895,
9.12,3123.2895,
9.22,3123.2895,
9.32,3123.2895,
9.42,3123.2895,
9.52,3123.2895,
9.62,3123.2895,
9.72,3123.2895,
9.82,3123.2895,
9.92,3123.2895,
10.02,3123.2895,
10.12,3123.2895,
10.22,3123.2895,
10.32,3123.2895,
10.42,3123.2895,
10.52,3123.2895,
10.62,3123.2895,
10.72,3123.2895,
10.82,3123.2895,
10.92,3123.2895,
11.02,3123.2895,
11.12,3123.2895,
11.22,3123.2895,
11.32,3123.2895,
11.42,3123.2895,
11.52,3123.2895,
11.62,3123.2895,
11.72,3123.2895,
11.82,3123.2895,
11.92,3123.2895,
12.02,3123.2895,
12.12,3123.2895,
12.22,3123.2895,
12.32,3123.2895,
12.42,3123.2895,
12.52,3123.2895,
12.62,3123.2895,
12.72,3123.2895,
12.82,3123.2895,
12.92,3123.2895,
13.02,3123.2895,
13.12,3123.2895,
13.22,3123.2895,
13.32,3123.2895,
13.42,3123.2895,
13.53,3123.2895,
13.63,3123.2895,
13.73,3123.2895,
13.83,3123.2895,
13.93,3123.2895,
14.03,3123.2895,
14.13,3123.2895,
14.23,3123.2895,
14.33,3123.2895,
14.43,3123.2895,
14.53,3123.2895,
14.63,3123.2895,
14.73,3123.2895,
14.83,3123.2895,
14.93,3123.2895,
15.03,3123.2895,
15.13,3123.2895,
15.23,3123.2895,
15.33,3123.2895,
15.43,3123.2895,
15.53,3123.2895,
15.63,3123.2895,
15.73,3123.2895,
15.83,3123.2895,
15.93,3123.2895,
16.03,3123.2895,
16.13,3123.2895,
16.23,3123.2895,
16.33,3123.2895,
16.43,3123.2895,
16.53,3123.2895,
