elapsed_sec,best_cost,improvement_pct
0.1,2957.7542,
0.2,2858.5712,
0.31,2854.9111,
0.41,3113.1866,
0.51,2847.0314,
0.61,2847.0314,
0.71,2849.374,
0.81,3112.9488,
0.91,3106.2107,
1.01,3057.6491,
1.11,2851.8118,
1.21,3068.9091,
1.32,2849.1131,
1.42,3063.2451,
1.52,3065.7933,
1.62,3123.4014,
1.72,2847.0447,
1.82,3047.9288,
1.92,3030.4798,
2.02,3106.131,
2.12,3073.3386,
2.23,2854.253,
2.33,3064.0081,
2.43,2849.1131,
2.53,3097.9569,
2.63,3090.5983,
2.73,3066.0421,
2.83,2845.9629,
2.93,3089.8459,
3.04,2844.3327,
3.14,2843.9289,
3.24,2843.9289,
3.34,3110.0773,
3.44,3100.1077,
3.54,2850.1307,
3.64,2844.3327,
3.74,2847.0447,
3.84,3079.2103,
3.95,2847.6895,
4.05,2853.1368,
4.15,2847.6895,
4.25,3047.9288,
4.35,2853.1368,
4.45,2845.6555,
4.55,3092.3394,
4.65,3063.5002,
4.76,3068.2701,
4.86,2850.9909,
4.96,3059.025,
5.06,2846.3667,
5.16,3111.5386,
5.26,2848.6616,
5.36,2849.0787,
5.46,2851.408,
5.56,2849.7911,
5.67,2854.253,
5.77,2846.6753,
5.87,3062.0053,
5.97,2850.9909,
6.07,3092.1885,
6.17,3115.933,
6.27,3083.5682,
6.37,2848.4019,
6.47,3066.1375,
6.58,3104.23,
6.68,2847.0314,
6.78,2845.6555,
6.88,2853.1368,
6.98,2850.1307,
7.08,2847.0447,
7.18,2847.0447,
7.28,2847.0314,
7.38,3111.6434,
7.48,3061.0962,
7.59,2847.0314,
7.69,2847.0314,
7.79,2843.9289,
7.89,2846.6276,
7.99,2850.2785,
8.09,2847.0314,
8.19,2849.0787,
8.29,3085.479,
8.39,3059.6648,
8.49,2850.1307,
8.59,2849.1131,
8.69,3113.8812,
8.8,2848.7093,
8.9,3094.2225,
9.0,3078.6283,
9.1,3073.371,
9.2,3116.6601,
9.3,2851.408,
9.4,2856.287,
9.5,2848.7093,
9.6,3061.8692,
9.71,2847.0791,
9.81,2850.1307,
9.91,3033.9805,
10.01,2845.6555,
10.11,2843.9289,
10.21,2845.9629,
10.31,3057.0888,
10.41,2850.9909,
10.52,3058.6689,
10.62,3083.972,
10.72,2851.8251,
10.82,3067.5199,
10.92,2854.9111,
11.02,3092.5923,
11.12,3076.5943,
11.22,2852.8771,
11.33,3059.0727,
11.43,2849.1131,
11.53,3058.6689,
11.63,3085.1762,
11.73,3059.8352,
11.83,3071.0165,
11.93,3064.4119,
12.04,3078.6283,
12.14,3090.1945,
12.24,3051.079,
12.34,3091.7074,
12.44,2849.7778,
12.54,3118.3889,
12.64,2845.9629,
12.74,3090.504,
12.84,3087.4481,
12.94,2845.9629,
13.04,2851.5066,
13.15,3057.0888,
13.25,3061.6655,
13.35,3109.012,
13.45,2852.1647,
13.55,2851.8118,
13.65,2855.8832,
13.75,3064.0393,
13.85,2861.3176,
13.95,2854.253,
14.05,2853.0249,
14.15,3058.4647,
14.25,2850.1307,
14.35,2843.9289,
14.46,3106.3133,
14.56,2846.6276,
14.66,2853.0249,
14.76,3087.7402,
14.86,2851.408,
14.96,2849.7911,
15.06,3048.6412,
15.16,3059.0727,
15.26,3115.688,
15.36,3087.4481,
15.46,2853.1368,
15.56,3095.2105,
15.67,2853.1368,
15.77,3075.0544,
15.87,3102.7546,
15.97,2851.5066,
16.07,3063.7949,
16.17,3067.3151,
16.27,2856.5372,
16.37,3088.961,
16.47,3110.2024,
16.58,3073.4441,
16.68,3111.6434,
16.78,2851.1028,
16.88,2849.7778,
16.98,3071.9951,
17.08,3092.1372,
17.18,2848.4019,
17.28,3055.9225,
17.38,3078.2245,
17.48,3108.6559,
17.59,3118.3564,
17.69,3111.3546,
17.79,3116.6601,
17.89,3062.9845,
17.99,3060.4987,
18.09,2851.5066,
18.19,2844.3327,
18.29,3112.2145,
18.4,2850.1307,
18.5,3073.4441,
18.6,2847.0314,
18.7,2851.5066,
18.8,3073.0204,
18.9,2853.1368,
19.0,2850.2785,
19.1,3127.8873,
19.2,3051.079,
19.31,2850.0053,
19.41,2853.8492,
19.51,2859.2836,
19.61,2848.2445,
19.71,3096.6046,
19.81,3062.4112,
19.91,3076.1706,
20.01,3092.1372,
20.11,3061.2111,
20.21,2859.2836,
20.31,3116.6601,
20.41,2851.408,
20.52,2850.4359,
20.62,3066.5546,
20.72,3115.2645,
20.82,3099.351,
20.92,3082.8813,
21.02,3094.0234,
21.12,2853.0249,
21.23,2854.253,
21.25,2843.9289,
