elapsed_sec,best_cost,improvement_pct
32.33,2349.2865,
32.43,2369.3109,
32.53,2096.4771,
32.64,2091.8039,
32.74,2299.5599,
32.84,2330.1857,
32.94,2367.4081,
33.04,2279.1535,
33.14,2285.0487,
33.24,2049.3551,
33.35,2314.3922,
33.45,2290.2213,
33.55,2397.0729,
33.65,2347.6805,
33.75,2362.0211,
33.85,2051.7681,
33.95,2057.6606,
34.05,2055.7596,
34.15,2058.9961,
34.25,2060.9898,
34.35,2059.8674,
34.46,2063.4977,
34.56,2060.8324,
34.66,2053.4337,
34.76,2067.9492,
34.86,2050.6162,
34.96,2050.6162,
35.06,2065.5722,
35.16,2051.5974,
35.26,2050.6162,
35.36,2053.4984,
35.46,2057.5075,
35.56,2053.6044,
35.67,2053.6044,
35.77,2057.8163,
35.87,2066.3292,
35.97,2051.7681,
36.07,2065.6388,
36.17,2055.2652,
36.27,2057.4103,
36.37,2051.3621,
36.47,2065.2008,
36.58,2065.2008,
36.68,2051.3621,
36.78,2053.0924,
36.88,2065.1662,
36.98,2053.0924,
37.08,2061.7357,
37.18,2053.0924,
37.28,2051.3621,
37.38,2067.616,
37.48,2061.127,
37.58,2051.1914,
37.69,2060.1458,
37.79,2060.1458,
37.89,2051.1914,
37.99,2051.1914,
38.09,2051.1914,
38.19,2058.5901,
38.29,2061.565,
38.39,2061.127,
38.49,2051.1914,
38.59,2061.565,
38.69,2060.5838,
38.79,2062.284,
38.9,2060.1458,
39.0,2061.127,
39.1,2060.9542,
39.2,2063.2652,
39.3,2063.2652,
39.41,2060.1458,
39.51,2051.1914,
39.61,2051.3621,
39.71,2051.3621,
39.81,2051.3621,
39.91,2061.565,
40.01,2051.1914,
40.11,2062.284,
40.21,2053.0924,
40.31,2051.3621,
40.41,2051.3621,
40.51,2061.2977,
40.61,2055.2652,
40.71,2062.284,
40.82,2051.1914,
40.92,2063.4359,
41.02,2065.2008,
41.12,2063.466,
41.22,2063.4359,
41.32,2057.4103,
41.42,2061.127,
41.52,2060.5838,
41.62,2063.2652,
41.72,2051.1914,
41.82,2050.2102,
41.92,2060.5838,
42.02,2060.5838,
42.12,2050.2102,
42.23,2050.2102,
42.33,2051.1914,
42.43,2061.127,
42.53,2060.1458,
42.63,2062.5209,
42.73,2062.5209,
42.83,2058.8532,
42.93,2053.7642,
43.03,2056.8598,
43.13,2056.8598,
43.23,2056.8598,
43.33,2058.5901,
43.44,2058.5901,
43.54,2056.8598,
43.64,2060.7629,
43.74,2055.3977,
43.84,2055.3977,
43.94,2055.3977,
44.04,2059.3008,
44.14,2055.3977,
44.24,2059.3008,
44.34,2059.3008,
44.45,2054.2458,
44.55,2054.2458,
44.65,2054.2458,
44.75,2055.227,
44.85,2054.2458,
44.95,2054.2458,
45.05,2054.2458,
45.15,2054.2458,
45.25,2055.227,
45.35,2055.227,
45.45,2055.227,
45.55,2055.227,
45.65,2055.227,
45.75,2054.2458,
45.85,2054.2458,
45.95,2054.2458,
46.06,2054.2458,
46.16,2062.6257,
46.26,2062.6257,
46.36,2054.2458,
46.46,2054.2458,
46.56,2054.2458,
46.66,2054.2458,
46.76,2055.227,
46.86,2055.227,
46.96,2062.6257,
47.06,2055.227,
47.16,2054.2458,
47.26,2054.2458,
47.36,2055.227,
47.46,2055.227,
47.57,2054.2458,
47.67,2054.2458,
47.77,2054.2458,
47.87,2055.227,
47.97,2055.227,
48.08,2054.2458,
48.18,2054.2458,
48.28,2054.2458,
48.38,2055.3977,
48.48,2055.3977,
48.58,2059.3008,
48.68,2055.3977,
48.78,2055.3977,
48.88,2057.128,
48.98,2055.3977,
49.08,2055.3977,
49.18,2055.3977,
49.28,2055.3977,
49.39,2055.3977,
49.49,2057.128,
49.59,2055.227,
49.69,2054.2458,
49.79,2055.227,
49.89,2054.2458,
49.99,2054.2458,
50.1,2054.2458,
50.2,2054.2458,
50.3,2054.2458,
50.4,2054.2458,
50.5,2054.2458,
50.6,2054.2458,
50.7,2054.2458,
50.8,2054.2458,
50.91,2055.227,
51.01,2054.2458,
51.11,2054.2458,
51.21,2054.2458,
51.31,2054.2458,
51.41,2054.2458,
51.51,2055.227,
51.61,2055.227,
51.71,2054.2458,
51.81,2055.227,
51.91,2054.2458,
52.01,2055.227,
52.12,2055.227,
52.22,2054.2458,
52.32,2054.2458,
52.42,2055.227,
52.52,2055.227,
52.62,2054.2458,
52.72,2054.2458,
52.82,2054.2458,
52.92,2054.2458,
53.02,2054.2458,
53.12,2054.2458,
53.22,2054.2458,
53.32,2055.227,
53.43,2054.2458,
53.53,2054.2458,
53.63,2055.227,
53.73,2055.227,
53.83,2055.227,
53.93,2054.2458,
54.03,2054.2458,
54.13,2054.2458,
54.24,2054.2458,
54.34,2054.2458,
54.44,2054.2458,
54.54,2054.2458,
54.64,2054.2458,
54.74,2054.2458,
54.84,2055.227,
54.94,2054.2458,
55.04,2054.2458,
55.14,2054.2458,
55.24,2055.227,
55.34,2054.2458,
55.44,2054.2458,
55.54,2054.2458,
55.64,2054.2458,
55.74,2054.2458,
55.84,2054.2458,
55.94,2054.2458,
56.05,2054.2458,
56.15,2054.2458,
56.25,2054.2458,
56.35,2054.2458,
56.45,2054.2458,
56.55,2054.2458,
56.65,2054.2458,
56.75,2054.2458,
56.85,2054.2458,
56.95,2054.2458,
57.05,2054.2458,
57.15,2054.2458,
57.25,2054.2458,
57.35,2054.2458,
57.45,2054.2458,
57.55,2054.2458,
57.65,2054.2458,
57.76,2054.2458,
57.86,2054.2458,
57.96,2054.2458,
58.06,2054.2458,
58.16,2054.2458,
58.26,2054.2458,
58.36,2054.2458,
58.46,2054.2458,
58.56,2054.2458,
58.66,2054.2458,
58.76,2054.2458,
58.86,2054.2458,
58.96,2054.2458,
59.06,2054.2458,
59.16,2054.2458,
59.26,2054.2458,
59.36,2054.2458,
59.46,2054.2458,
59.56,2054.2458,
59.66,2054.2458,
59.77,2054.2458,
59.87,2054.2458,
59.97,2054.2458,
