elapsed_sec,best_cost,improvement_pct
0.1,2933.116,
0.2,2653.0453,
0.3,2357.9711,
0.4,2304.5729,
0.51,2309.5139,
0.61,2054.5292,
0.71,2044.6374,
0.81,2040.44,
0.91,2037.7987,
1.01,2037.7987,
1.11,2034.6121,
1.21,2034.6121,
1.32,2034.6121,
1.42,2035.8997,
1.52,2034.6121,
1.62,2034.6121,
1.73,2034.6121,
1.83,2034.6121,
1.93,2034.6121,
2.03,2034.6121,
2.14,2034.6121,
2.24,2034.6121,
2.34,2034.6121,
2.44,2034.6121,
2.54,2034.6121,
2.71,2639.6003,
2.81,2593.049,
2.91,2583.5927,
3.01,2580.2107,
3.11,2577.7819,
3.21,2577.7819,
3.31,2577.7819,
3.41,2577.7819,
3.51,2577.7819,
3.61,2577.7819,
3.71,2577.7819,
3.81,2577.7819,
3.91,2577.7819,
4.03,2060.5811,
4.13,2049.4264,
4.23,2050.7419,
4.33,2054.8839,
4.43,2055.153,
4.53,2046.2879,
4.63,2053.1831,
4.73,2056.8499,
4.83,2052.3681,
4.94,2053.4319,
5.04,2046.9163,
5.14,2046.9163,
5.24,2046.9163,
5.34,2046.9163,
5.44,2046.9163,
5.54,2046.9163,
5.65,2046.9163,
5.75,2046.9163,
5.85,2041.6567,
5.95,2041.2507,
6.05,2041.2507,
6.15,2000.7058,
6.25,2000.7058,
6.35,2000.7058,
6.45,2000.7058,
6.55,2000.7058,
6.65,2000.7058,
6.76,2000.7058,
6.9,2364.1354,
7.0,2390.3118,
7.1,2382.1941,
7.2,2273.0053,
7.3,2012.4279,
7.4,2016.6225,
7.5,2010.7325,
7.61,2010.7325,
7.71,2011.6418,
7.81,2010.7325,
7.91,2010.7325,
8.01,2010.7325,
8.11,2006.5379,
8.21,2004.6169,
8.31,2004.6169,
8.41,2004.6169,
8.52,2004.6169,
8.62,2004.6169,
8.72,2004.6169,
8.82,2004.6169,
8.92,2004.6169,
9.02,2004.6169,
9.12,2004.6169,
9.28,2255.0019,
9.38,2261.9016,
9.48,2260.429,
9.58,2261.3015,
9.69,2255.0019,
9.79,2255.0019,
9.89,2255.0019,
9.99,2241.0216,
10.09,2241.0216,
10.19,2241.0216,
10.29,2241.0216,
10.39,2241.0216,
10.5,2241.0216,
10.6,2241.0216,
10.7,2241.0216,
10.8,2241.0216,
10.9,2241.0216,
11.0,2241.0216,
11.1,2241.0216,
11.21,2241.0216,
11.31,2241.0216,
11.49,2521.1412,
11.59,2524.5324,
11.69,2550.4106,
11.8,2511.7387,
11.9,2460.7811,
12.0,2442.5668,
12.1,2432.3367,
12.2,2410.8123,
12.3,2402.53,
12.41,2395.6364,
12.51,2395.6364,
12.61,2394.6055,
12.71,2393.3806,
12.81,2393.3806,
12.91,2393.3806,
13.01,2393.3806,
13.11,2393.3806,
13.21,2393.3806,
13.31,2393.3806,
13.41,2393.3806,
13.51,2393.3806,
13.72,3071.7336,
13.82,2666.2728,
13.92,2636.0438,
14.02,2627.7757,
14.12,2559.5502,
14.22,2561.0997,
14.32,2384.3755,
14.42,2384.3755,
14.52,2384.3755,
14.62,2384.3755,
14.72,2384.3755,
14.82,2383.8189,
14.92,2383.8189,
