elapsed_sec,best_cost,improvement_pct
0.1,2512.8344,
0.2,2576.2184,
0.3,2535.4389,
0.4,2537.6554,
0.51,2572.5233,
0.61,2566.9793,
0.71,2565.6506,
0.81,2567.6683,
0.91,2566.1474,
1.01,2564.231,
1.11,2564.231,
1.21,2564.231,
1.31,2564.231,
1.41,2564.231,
1.51,2564.231,
1.61,2564.231,
1.81,2632.3543,
1.91,2649.4178,
2.01,2632.8017,
2.11,2632.0818,
2.21,2583.8509,
2.31,2583.8509,
2.41,2583.8509,
2.51,2583.8509,
2.61,2583.8509,
2.71,2583.8509,
2.81,2583.8509,
2.91,2583.8509,
3.04,3170.6377,
3.14,2448.445,
3.24,2275.0912,
3.34,2228.0584,
3.44,2228.0584,
3.54,2228.0584,
3.64,2228.0584,
3.74,2228.0584,
3.84,2228.0584,
3.94,2228.0584,
4.04,2228.0584,
4.14,2228.0584,
4.24,2228.0584,
4.35,2043.2171,
4.45,2043.0903,
4.55,2036.8548,
4.66,2034.98,
4.76,2048.0095,
4.87,2047.5096,
4.97,2051.0057,
5.07,2036.6409,
5.17,2036.6409,
5.27,2036.6409,
5.37,2036.6409,
5.47,2036.6409,
5.57,2032.508,
5.67,2028.4008,
5.77,2028.4008,
5.88,2028.4008,
5.98,2028.4008,
6.08,2028.4008,
6.18,2028.4008,
6.28,2028.4008,
6.38,2028.4008,
6.48,2028.4008,
6.58,2027.227,
6.68,2027.227,
6.86,2685.6041,
6.96,2662.4498,
7.06,2435.6034,
7.16,2356.8218,
7.26,2359.8294,
7.36,2361.9314,
7.46,2361.8438,
7.56,2346.7628,
7.66,2346.7628,
7.76,2346.2023,
7.87,2346.7628,
7.97,2347.1139,
8.07,2346.2023,
8.17,2346.2023,
8.27,2346.2023,
8.37,2346.2023,
8.47,2346.2023,
8.57,2346.2023,
8.67,2346.2023,
8.77,2346.2023,
8.91,2454.9467,
9.01,2399.6678,
9.11,2267.7813,
9.21,2278.0918,
9.31,2280.4012,
9.41,2271.1632,
9.51,2267.9273,
9.62,2267.9273,
9.72,2267.9273,
9.82,2267.9273,
9.92,2260.7668,
10.02,2260.7668,
10.12,2260.7668,
10.22,2260.7668,
10.32,2260.7668,
10.42,2260.7668,
10.52,2260.7668,
10.62,2260.7668,
10.72,2260.7668,
10.91,2604.2945,
11.01,2618.4038,
11.11,2474.4843,
11.21,2420.5697,
11.31,2369.7421,
11.41,2368.4266,
11.51,2368.4266,
11.61,2369.7421,
11.71,2369.7421,
11.81,2368.4266,
11.91,2368.4266,
12.01,2363.4473,
12.12,2363.4473,
12.22,2363.4473,
12.32,2363.4473,
12.42,2363.4473,
12.52,2363.4473,
12.62,2363.4473,
12.72,2363.4473,
12.82,2363.4473,
12.92,2363.4473,
13.05,2794.977,
13.15,2844.5834,
13.25,2495.6561,
13.35,2495.6561,
13.45,2495.6561,
13.55,2489.8679,
13.65,2489.8679,
13.76,2489.8679,
13.86,2489.8679,
13.96,2489.8679,
14.06,2489.8679,
14.16,2488.7346,
14.26,2488.7346,
14.36,2488.7346,
14.46,2488.7346,
14.56,2488.7346,
14.66,2488.7346,
14.76,2488.7346,
14.86,2486.42,
14.96,2486.42,
15.14,2985.9557,
15.25,3013.2452,
15.35,2787.5916,
15.45,2773.225,
15.55,2744.4593,
15.65,2738.6929,
15.75,2730.7541,
15.85,2468.1267,
15.95,2466.2156,
16.05,2464.9401,
16.15,2464.9401,
16.25,2463.8068,
16.35,2449.8924,
16.45,2449.8924,
16.55,2449.8924,
16.66,2448.3662,
16.76,2448.3662,
16.86,2444.7134,
16.96,2444.7134,
17.07,2444.7134,
17.17,2444.7134,
17.27,2444.7134,
17.37,2444.7134,
17.55,3129.8646,
