elapsed_sec,best_cost,improvement_pct
0.1,2334.8429,
0.2,2565.7995,
0.31,2565.2046,
0.41,2401.4595,
0.51,2401.4595,
0.61,2411.8745,
0.72,2388.8858,
0.82,2579.2768,
0.92,2391.641,
1.02,2391.9839,
1.12,2568.6462,
1.22,2329.9268,
1.32,2334.0257,
1.43,2569.0753,
1.53,2334.3231,
1.63,2319.5918,
1.73,2571.9991,
1.83,2329.7765,
1.93,2339.4592,
2.04,2320.208,
2.14,2328.1699,
2.24,2329.6467,
2.34,2333.076,
2.45,2335.8172,
2.55,2566.6399,
2.65,2339.39,
2.75,2417.1484,
2.85,2327.2672,
2.96,2319.9132,
3.06,2341.9813,
3.16,2605.9053,
3.26,2314.5302,
3.37,2375.8769,
3.47,2304.5558,
3.57,2306.9248,
3.67,2301.2062,
3.77,2311.1277,
3.87,2297.106,
3.97,2531.1338,
4.08,2537.169,
4.18,2302.8123,
4.28,2308.5846,
4.38,2370.5728,
4.48,2344.4323,
4.58,2291.6576,
4.68,2297.106,
4.79,2292.9731,
4.89,2299.5381,
4.99,2291.2632,
5.09,2302.757,
5.19,2538.3224,
5.3,2524.0772,
5.4,2374.0749,
5.5,2307.1529,
5.6,2245.0398,
5.7,2292.2591,
5.8,2301.3095,
5.9,2373.7825,
6.01,2257.7246,
6.11,2296.6742,
6.21,2345.4626,
6.31,2300.3157,
6.41,2535.2132,
6.52,2262.6944,
6.62,2292.2591,
6.72,2288.3298,
6.82,2318.9994,
6.92,2292.4627,
7.02,2352.8327,
7.12,2526.4054,
7.23,2332.2267,
7.33,2309.949,
7.43,2523.1077,
7.53,2296.6742,
7.64,2311.335,
7.74,2536.0779,
7.84,2317.6367,
7.94,2559.9311,
8.04,2296.5798,
8.14,2510.4856,
8.24,2298.0023,
8.34,2506.5563,
8.45,2305.5771,
8.55,2343.8758,
8.65,2311.4014,
8.75,2302.603,
8.85,2297.462,
8.96,2302.4569,
9.06,2543.0723,
9.16,2299.289,
9.26,2291.4841,
9.36,2553.5231,
9.47,2274.5081,
9.57,2306.6803,
