elapsed_sec,best_cost,improvement_pct
0.12,2728.436,
0.22,2605.1321,
0.32,2321.2091,
0.42,2306.2768,
0.52,2314.9503,
0.62,2253.8204,
0.72,2282.3785,
0.82,2470.8745,
0.93,2359.7984,
1.03,2308.0558,
1.13,2007.0345,
1.23,2029.7028,
1.33,2022.5333,
1.43,2001.2237,
1.53,2310.0128,
1.63,2297.404,
1.73,2371.9632,
1.84,2307.9301,
1.95,2311.3014,
2.05,2358.7432,
2.15,2236.2059,
2.25,2332.9835,
2.35,2685.4961,
2.45,2747.8128,
2.55,2810.8768,
2.65,2453.2085,
2.75,2304.1215,
2.85,2101.9309,
2.95,2106.6015,
3.05,2076.9665,
3.15,2031.3821,
3.26,2383.3794,
3.36,2435.4311,
3.46,2256.9889,
3.56,2283.6389,
3.66,2301.552,
3.76,2359.5928,
3.86,2333.0474,
3.96,2337.0867,
4.06,2339.8726,
4.16,2316.6193,
4.26,2415.2301,
4.36,2403.0017,
4.47,2349.7567,
4.57,2305.1683,
4.67,2296.9814,
4.77,2349.518,
4.87,2344.9146,
4.97,2352.9268,
5.07,2285.6884,
5.17,2233.6676,
5.28,2233.6676,
5.38,1979.9059,
5.48,1998.9239,
5.58,1988.8356,
5.68,1979.9059,
5.77,1977.2464,
