elapsed_sec,best_cost,improvement_pct
0.11,2582.8645,
0.21,2646.6842,
0.31,2731.9977,
0.41,2440.5708,
0.51,2335.4563,
0.61,2664.3412,
0.71,2320.9356,
0.81,2693.055,
0.91,2373.7056,
1.01,2282.1104,
1.11,2062.2385,
1.21,2115.4989,
1.31,2115.4989,
1.41,2115.4989,
1.52,2102.6807,
1.62,2115.4352,
1.72,2120.8857,
1.82,2120.2366,
1.93,2104.9192,
2.03,2102.2916,
2.13,2117.4381,
2.23,2112.6048,
2.33,2117.4381,
2.43,2097.4583,
2.53,2107.331,
2.63,2109.0853,
2.73,2101.6244,
2.84,2110.1959,
2.94,2099.8198,
3.04,2099.8198,
3.14,2108.3913,
3.25,2107.2807,
3.35,2384.3712,
3.45,2451.9093,
3.55,2089.0641,
3.65,2075.141,
3.75,2096.731,
3.85,2097.3361,
3.95,2098.9038,
4.05,2096.731,
4.15,2085.202,
4.26,2085.202,
4.36,2093.433,
4.46,2085.161,
4.56,2075.3623,
4.66,2086.9323,
4.76,2089.1051,
4.86,2082.1633,
4.96,2077.1071,
5.06,2085.3791,
5.17,2086.9468,
5.27,2077.1481,
5.37,2077.1071,
5.47,2077.1071,
5.57,2075.5804,
5.67,2077.1071,
5.77,2086.9468,
5.87,2067.3084,
5.98,2086.9468,
6.08,2086.9468,
6.18,2067.3084,
6.87,2060.689,
