elapsed_sec,best_cost,improvement_pct
0.12,14502.8853,
0.22,14359.1076,
0.36,14633.217,
0.47,14674.6745,
0.57,14522.8084,
0.68,14755.3638,
0.78,14651.8732,
0.89,14586.9003,
0.99,14648.3537,
1.09,14939.9435,
1.2,15184.5338,
1.3,14709.0422,
1.41,14636.4874,
1.51,14673.6634,
1.61,14680.8757,
1.71,14683.0544,
1.82,14680.6624,
1.92,14772.6542,
2.03,14550.8605,
2.13,14550.8605,
2.23,14520.8736,
2.34,14458.7627,
2.44,14937.2066,
2.54,14414.9912,
2.64,14358.0228,
2.74,14327.1988,
2.84,14372.8056,
2.94,14502.7984,
3.04,14516.5578,
3.15,14526.697,
3.25,14471.7078,
3.35,14482.3024,
3.45,14504.0173,
3.57,14500.726,
3.67,14485.5095,
3.78,14453.5664,
3.88,14550.495,
3.99,14475.5543,
4.09,14752.164,
4.19,14672.1189,
4.29,14433.4726,
4.39,14575.3218,
4.49,14691.7241,
4.59,14374.4595,
4.69,14467.6777,
4.79,14405.723,
4.89,14357.075,
4.99,14341.615,
5.1,14270.5302,
5.2,14235.8216,
5.3,14210.6404,
5.4,14257.0654,
5.5,14184.8671,
5.6,14118.98,
5.7,14081.0291,
5.81,14089.2387,
5.91,14178.4159,
6.01,14176.2994,
6.11,14002.8246,
6.21,13982.5656,
6.32,13885.0736,
6.42,13824.5326,
6.52,13921.6722,
6.62,14038.2859,
6.72,14038.2859,
6.83,14046.4135,
6.93,13986.5653,
7.03,14021.0562,
7.13,13987.8986,
7.24,13976.2875,
7.34,13928.0796,
7.44,13928.9722,
7.54,13908.5015,
7.64,13824.6654,
7.74,13814.6743,
7.85,13822.309,
7.95,13827.5588,
8.05,13798.1814,
8.15,13795.6148,
8.26,13840.8526,
8.36,13909.9636,
8.46,13930.4736,
8.56,13931.5067,
8.67,13931.6193,
8.77,13909.6931,
8.87,13894.0477,
8.97,13875.3783,
9.07,13874.7757,
9.18,13886.7977,
9.28,13933.3249,
9.38,13899.5406,
9.48,13876.8864,
9.58,13892.6328,
9.69,13868.2276,
9.8,13883.2487,
9.9,13878.8859,
10.0,13878.8859,
10.1,13920.9127,
10.2,13834.8837,
10.3,13855.2875,
10.41,13857.7233,
10.69,13787.4536,
10.8,14222.8256,
