elapsed_sec,best_cost,improvement_pct
0.1,16609.9081,
0.2,16595.1332,
0.31,16593.3434,
0.41,16589.0108,
0.51,16577.4076,
0.61,16559.9,
0.72,16158.7279,
0.82,16158.7279,
0.94,16158.7279,
1.04,16158.7279,
1.14,16158.7279,
1.24,16158.532,
1.34,16157.323,
1.44,16149.8569,
1.55,16149.8569,
1.65,16105.0581,
1.75,16105.0581,
1.85,16105.0581,
1.96,16105.0581,
2.06,16105.0581,
2.16,16105.0581,
2.26,16105.0581,
2.36,16105.0581,
2.47,16105.0581,
2.57,16105.0581,
2.67,16105.0581,
2.77,16105.0581,
2.87,16105.0581,
2.97,16105.0581,
3.07,16105.0581,
3.17,16105.0581,
3.27,16105.0581,
3.37,16105.0581,
3.48,16105.0581,
3.58,16105.0581,
3.68,16105.0581,
3.78,16105.0581,
3.88,16105.0581,
3.98,16105.0581,
4.08,16105.0581,
4.19,16105.0581,
4.29,16105.0581,
4.39,16105.0581,
4.5,16105.0581,
4.6,16105.0581,
4.7,16105.0581,
4.8,16105.0581,
4.9,16105.0581,
5.0,16105.0581,
5.1,16105.0581,
5.21,16105.0581,
5.31,16105.0581,
5.41,16101.7377,
5.51,16101.7377,
5.61,16101.7377,
5.72,16101.7377,
5.82,16101.7377,
5.92,16101.7377,
6.02,16101.7377,
6.12,16101.7377,
6.22,16101.7377,
6.33,16101.7377,
6.43,16101.7377,
6.53,16101.7377,
6.64,16101.7377,
6.74,16101.7377,
6.84,16101.7377,
6.95,16101.4974,
7.05,16101.4974,
7.15,16101.4974,
7.25,16101.4974,
7.35,16101.4974,
7.46,16101.4974,
7.56,16101.4974,
7.66,16101.4974,
7.76,16101.4974,
7.86,16101.4974,
7.96,16101.4974,
8.07,16101.4974,
8.17,16101.4974,
8.27,16101.4974,
8.37,16101.4974,
8.48,16101.4974,
8.58,16101.4974,
8.68,16101.4974,
8.78,16101.4974,
8.88,16101.4974,
8.98,16101.4974,
9.09,16101.4974,
9.19,16101.4974,
9.29,16101.4974,
9.39,16101.4974,
9.49,16101.4974,
9.59,16101.4974,
9.7,16101.4974,
9.8,16101.4974,
9.9,16101.4974,
10.0,16101.4974,
10.1,16101.4974,
10.2,16101.4974,
10.3,16101.4974,
10.41,16101.4974,
10.51,16101.4974,
10.61,16101.4974,
10.71,16101.4974,
10.82,16101.4974,
10.92,16101.4974,
11.02,16101.4974,
11.12,16101.4974,
11.22,16101.4974,
11.32,16101.4974,
11.42,16101.4974,
11.53,16101.4974,
11.63,16101.4974,
11.73,16101.4974,
11.83,16101.4974,
11.93,16101.4974,
12.04,16101.4974,
12.18,16101.4974,
