elapsed_sec,best_cost,improvement_pct
0.13,21618.1018,
0.27,21420.5362,
0.5,21262.1636,
0.64,21122.2308,
0.78,21003.6197,
0.91,20885.5636,
1.04,20792.9518,
1.16,20692.0834,
1.28,20449.5008,
1.39,20432.9198,
1.52,20417.1933,
1.64,20402.8366,
1.77,20295.4134,
1.89,20181.0087,
2.01,20148.2379,
2.13,20134.1925,
2.26,19956.8281,
2.37,19938.2814,
2.49,19925.6174,
2.62,19913.4592,
2.74,19901.8185,
2.85,19891.6164,
2.97,19882.1572,
3.09,19863.8919,
3.2,19852.7302,
3.31,19464.8619,
3.44,19376.4974,
3.55,19364.4125,
3.67,19285.306,
3.79,19283.3785,
3.9,19271.3423,
4.03,19266.8686,
4.14,19259.0405,
4.26,19250.6832,
4.39,19244.2772,
4.52,19240.0351,
4.64,19231.8711,
4.76,19231.3683,
4.88,19231.2147,
5.01,19229.1076,
5.12,19220.8876,
5.24,19221.3904,
5.35,19222.4826,
5.47,19219.221,
5.59,19218.7182,
5.71,19219.7252,
5.84,19217.8267,
5.96,19215.9537,
6.07,18993.7821,
6.19,18995.4885,
6.32,18997.9432,
6.44,18995.4885,
6.57,18998.1134,
6.69,18995.4885,
6.82,18998.276,
6.95,18995.4885,
7.08,18998.5162,
7.2,18995.4885,
7.32,19000.0507,
7.48,18995.4885,
7.6,18999.461,
7.72,18993.5681,
7.83,18991.6477,
7.95,18990.5555,
8.07,18994.6736,
8.19,18987.828,
8.31,18983.7099,
8.42,18982.0035,
8.54,18982.1571,
8.66,18984.3996,
8.78,18980.5746,
8.91,18981.0774,
9.07,18980.5746,
9.23,18981.5816,
9.36,18980.5746,
9.47,18983.0293,
9.6,18980.5746,
9.73,18980.421,
9.86,18983.0459,
9.99,18980.421,
10.11,18983.4487,
10.24,18980.421,
10.36,18984.246,
10.48,18984.8085,
10.61,18980.421,
10.73,18981.5132,
10.85,18978.8101,
10.97,18983.1976,
11.09,18982.6351,
11.21,18984.3415,
11.33,18987.129,
11.45,18984.3415,
11.57,18980.5165,
11.69,18981.0193,
11.82,18980.5165,
11.94,18981.5235,
12.06,18980.5165,
12.18,18982.9712,
12.3,18980.5165,
12.43,18983.1414,
12.55,18980.5165,
12.67,18983.5442,
12.79,18980.5165,
12.91,18984.3415,
13.04,18984.904,
13.18,18980.5165,
13.3,18985.2011,
13.42,18980.5165,
13.55,18984.904,
13.67,18984.3415,
13.8,18982.6351,
13.92,18980.3926,
14.05,18979.9093,
14.17,18974.5343,
