elapsed_sec,best_cost,improvement_pct
34.62,7366.4648,
34.72,7807.1505,
34.82,8419.1684,
34.92,8548.5063,
35.02,8020.2747,
35.13,7757.8683,
35.23,7761.7158,
35.33,7772.5288,
35.43,7624.4361,
35.54,7991.3432,
35.64,7957.5289,
35.74,7632.1918,
35.84,7938.0792,
35.94,7810.8934,
36.04,7129.2153,
36.14,7129.1591,
36.24,7113.8613,
36.34,7125.1972,
36.44,7550.4882,
36.54,7926.6886,
36.65,7641.5672,
36.75,7618.1966,
36.85,7638.4238,
36.95,7633.872,
37.05,7620.6162,
37.15,7628.155,
37.25,7621.3767,
37.35,7600.919,
37.45,7640.1326,
37.56,7607.9395,
37.66,7636.1768,
37.76,7318.2155,
37.86,7354.1814,
37.96,7348.1888,
38.06,7346.7469,
38.16,7346.5809,
38.26,7307.5624,
38.37,7298.5938,
38.47,7355.227,
38.57,7343.7905,
38.67,7314.2617,
38.78,7325.694,
38.88,7322.5576,
38.98,7360.0074,
39.08,7520.4116,
39.19,7559.2172,
39.29,7286.4771,
39.39,7310.6364,
39.49,7320.4349,
39.59,7300.5586,
39.69,7362.112,
39.79,7340.0185,
39.89,7319.2194,
39.99,7347.5937,
40.1,7344.0807,
40.2,7273.9547,
40.3,7632.2056,
40.4,7632.7496,
40.5,7624.0942,
40.6,7562.2987,
40.7,7576.0334,
40.8,7505.8061,
40.9,7515.3648,
41.0,7459.0617,
41.11,7461.5502,
41.21,7515.6874,
41.31,7540.0674,
41.41,7460.0806,
41.51,7494.6422,
41.61,7493.1551,
41.71,7426.1822,
41.81,7427.5446,
41.91,7514.1152,
42.01,7462.6272,
42.11,7463.5978,
42.21,7450.3264,
42.31,7501.3344,
42.41,7325.3059,
42.51,7333.4211,
42.61,7337.7537,
42.72,7341.7282,
42.82,7391.7881,
42.92,7418.3386,
43.02,7331.9057,
43.12,7375.8302,
43.22,7328.0926,
43.32,7031.5922,
43.42,7087.3193,
43.52,7203.1079,
43.62,7169.2406,
43.72,7206.022,
43.83,7196.9323,
43.93,7179.7605,
44.03,7183.9137,
44.13,7180.3646,
44.23,7180.2669,
44.33,7177.9998,
44.43,7176.693,
44.53,7179.4045,
44.63,7187.6931,
44.73,7244.3696,
44.83,7192.6933,
44.93,7195.7514,
45.04,7204.259,
45.14,7202.0671,
45.24,7200.5114,
45.34,7202.0671,
45.44,7207.9839,
45.54,7190.5806,
45.64,7093.3447,
45.74,7088.8098,
45.84,7072.3793,
45.94,7085.8958,
46.04,7098.06,
46.14,7097.1942,
46.24,7081.6908,
46.34,7077.0144,
46.44,7091.7143,
46.55,7184.6764,
46.65,7187.0395,
46.75,7203.1579,
46.85,7187.6589,
46.95,7181.0182,
47.05,7207.2865,
47.15,7159.6847,
47.25,7186.9637,
47.35,7218.4264,
47.45,7260.2707,
47.56,7139.6837,
47.66,7159.8595,
47.76,7207.7761,
47.86,7133.7558,
47.96,7114.3754,
48.06,7087.5951,
48.17,7135.4662,
48.27,7092.7676,
48.37,7084.0787,
48.47,7086.9766,
48.57,7110.206,
48.67,7089.7487,
48.77,7108.6425,
48.87,7089.1327,
48.97,7098.5114,
49.07,7107.3996,
49.17,7103.6668,
49.27,7097.0767,
49.37,7092.3673,
49.48,7094.314,
49.58,7108.0986,
49.68,7111.7322,
49.78,7107.8616,
49.88,7053.4301,
49.98,7075.6658,
50.08,7102.5569,
50.18,7107.3518,
50.28,7119.9938,
50.38,7099.5585,
50.48,7084.1207,
50.59,7096.0762,
50.69,7072.5981,
50.79,7067.5961,
50.89,7064.549,
50.99,7065.022,
51.09,7067.8183,
51.19,7080.4059,
51.29,7108.8887,
51.39,7075.239,
51.49,7074.13,
51.6,7064.2013,
51.7,7076.3183,
51.8,7081.2419,
51.9,7117.2401,
52.0,7061.9476,
52.1,7061.7103,
52.2,7061.7103,
52.3,7072.487,
52.4,7065.3198,
52.5,7101.6648,
52.6,7105.162,
52.7,7118.5256,
52.8,7111.6867,
52.91,7114.0065,
53.01,7118.9671,
53.11,7071.0997,
53.21,7091.7401,
53.31,7070.1217,
53.41,7080.255,
53.51,7053.4747,
53.61,7069.7815,
53.71,7065.5779,
53.81,7102.1222,
53.91,7097.8211,
54.01,7105.8004,
54.11,7088.9286,
54.22,7062.4414,
54.32,7057.0877,
54.42,7071.1719,
54.52,7075.1315,
54.62,7072.4002,
54.73,7061.6451,
54.83,7071.4727,
54.93,7058.8076,
55.03,7047.0038,
55.13,7094.0957,
55.24,7088.9384,
55.34,7055.4124,
55.44,7060.3335,
55.54,7076.4416,
55.64,7076.4416,
55.74,7088.8428,
55.84,7081.9002,
55.94,7041.2036,
56.04,7042.8155,
56.14,7030.4081,
56.24,7035.7742,
56.34,7007.8373,
56.45,7003.8915,
56.55,6986.0275,
56.65,6977.4722,
56.76,6980.526,
56.86,6976.9439,
56.96,6993.8192,
57.06,6993.6144,
57.16,6980.526,
57.27,6986.6184,
57.37,6965.4747,
57.47,6967.7895,
57.57,6963.2011,
57.67,6963.2011,
57.77,6964.9054,
57.87,6952.5321,
57.97,6961.807,
58.07,6944.2681,
58.17,6943.7951,
58.27,6958.1903,
58.37,6945.7876,
58.47,6945.6524,
58.57,6943.0561,
58.67,6937.5757,
58.78,6938.4677,
58.88,6948.4682,
58.98,6948.2468,
59.08,6939.1632,
59.18,6938.2712,
59.28,6943.6162,
59.38,6942.7242,
59.49,6942.7453,
59.59,6967.4576,
59.69,6958.0547,
59.79,6988.3337,
59.89,6984.5404,
59.99,6984.5404,
