elapsed_sec,best_cost,improvement_pct
0.1,7678.5589,
0.2,7731.0772,
0.3,7714.7958,
0.41,7677.5471,
0.51,7711.6551,
0.61,7751.1384,
0.71,7454.3559,
0.82,7454.3559,
0.92,7454.3559,
1.02,7404.7382,
1.12,7404.7382,
1.22,7404.7382,
1.32,7404.7382,
1.42,7404.7382,
1.52,7404.7382,
1.62,7404.7382,
1.72,7404.7382,
1.82,7404.7382,
1.92,7395.4653,
2.03,7395.4653,
2.13,7395.4653,
2.23,7395.4653,
2.33,7395.4653,
2.43,7395.4653,
2.53,7395.4653,
2.63,7395.4653,
2.73,7395.4653,
2.83,7395.4653,
2.93,7395.4653,
3.03,7391.2405,
3.13,7391.2405,
3.23,7391.2405,
3.34,7391.2405,
3.44,7391.2405,
3.63,8229.9079,
3.73,8222.8881,
3.84,7973.3851,
3.94,7560.2074,
4.04,7149.016,
4.15,7099.333,
4.25,7068.1558,
4.35,7068.1558,
4.45,7073.5432,
4.55,7073.5432,
4.65,7068.1558,
4.75,7068.1558,
4.86,7068.1558,
4.96,7068.1558,
5.06,7068.1558,
5.16,7068.1558,
5.26,7068.1558,
5.36,7068.1558,
5.46,7068.1558,
5.56,7068.1558,
5.66,7068.1558,
5.76,7068.1558,
5.87,7068.1558,
5.97,7068.1558,
6.07,7068.1558,
6.17,7068.1558,
6.28,7068.1558,
6.38,7068.1558,
6.48,7068.1558,
6.63,7600.09,
6.73,7654.9419,
6.83,7242.7079,
6.93,7237.4059,
7.03,7237.4059,
7.14,7259.7877,
7.24,7246.255,
7.34,7248.5208,
7.44,7243.4712,
7.56,7247.7933,
7.66,7236.9512,
7.77,7236.9512,
7.87,7231.5638,
7.97,7231.5638,
8.07,7231.5638,
8.17,7231.5638,
8.27,7231.5638,
8.37,7231.5638,
8.47,7231.5638,
8.58,7231.5638,
8.68,7231.5638,
8.78,7231.5638,
8.88,7231.5638,
8.98,7231.5638,
9.08,7231.5638,
9.18,7231.5638,
9.28,7231.5638,
9.38,7231.5638,
9.48,7231.5638,
9.58,7231.5638,
9.68,7231.5638,
9.83,7675.93,
9.93,7589.479,
10.03,7622.8563,
10.13,7634.8029,
10.23,7576.3921,
10.34,7574.5393,
10.44,7388.9181,
10.54,7376.0462,
10.64,7376.0462,
10.74,7376.0462,
10.86,7376.0462,
10.96,7376.0462,
11.06,7376.0462,
11.16,7376.0462,
11.26,7376.0462,
11.38,7376.0462,
11.48,7376.0462,
11.59,7376.0462,
11.69,7376.0462,
11.79,7376.0462,
11.89,7376.0462,
11.99,7376.0462,
12.09,7376.0462,
12.19,7376.0462,
12.29,7376.0462,
12.39,7376.0462,
12.49,7376.0462,
12.59,7376.0462,
12.69,7376.0462,
12.87,7985.8292,
12.97,7616.3649,
13.07,7636.0288,
13.17,7470.3416,
13.27,7450.7441,
13.37,7432.2024,
13.47,7139.8889,
13.57,7087.4276,
13.67,7083.7525,
13.77,7083.7525,
13.87,7083.7525,
13.97,7083.7525,
14.08,7083.7525,
14.18,7083.7525,
14.28,7083.7525,
14.38,7083.7525,
14.48,7083.7525,
14.58,7083.7525,
14.69,7083.7525,
14.79,7083.7525,
14.89,7083.7525,
15.0,7083.7525,
15.1,7083.7525,
15.2,7083.7525,
15.36,7678.2648,
15.64,7638.7248,
15.74,7642.2903,
15.84,7632.1682,
15.94,7640.9552,
16.04,7652.4798,
16.15,7607.616,
16.25,7605.3465,
16.35,7595.84,
16.45,7595.84,
16.55,7595.84,
16.66,7595.84,
16.76,7585.1396,
16.86,7584.8668,
16.96,7584.8668,
17.07,7584.8668,
17.17,7584.8668,
17.27,7584.8668,
17.37,7584.8668,
17.49,8787.926,
17.59,8732.8401,
17.69,8225.9165,
17.8,8214.6614,
17.9,8204.8896,
18.0,7966.2421,
18.1,7952.4238,
18.2,7940.2256,
18.3,7936.8991,
18.4,7936.8991,
18.5,7936.8991,
18.6,7936.8991,
18.7,7936.8991,
18.81,7893.6739,
18.91,7893.6739,
19.01,7893.6739,
19.11,7893.6739,
19.21,7893.6739,
19.31,7893.6739,
19.48,8849.4356,
19.58,8533.8974,
19.68,8092.9147,
19.78,8057.5799,
19.89,8045.7299,
19.99,8044.6214,
20.09,7998.7648,
20.19,7991.5165,
20.29,7991.5165,
20.39,7981.6005,
20.49,7924.9545,
20.6,7925.2457,
20.7,7925.2457,
20.8,7925.2457,
20.9,7925.2457,
21.0,7925.2457,
21.11,7924.9545,
21.21,7924.9574,
21.31,7924.9574,
21.41,7924.9574,
21.51,7924.9574,
21.61,7924.9574,
21.71,7924.9574,
21.87,8474.8161,
21.97,7475.6303,
22.07,7438.3006,
22.17,7424.0394,
22.27,7408.2569,
22.37,7408.2569,
22.47,7408.2569,
22.58,7408.2569,
22.68,7389.7302,
22.78,7389.7302,
22.88,7389.7302,
22.98,7389.7302,
23.08,7389.7302,
23.18,7389.7302,
23.28,7389.7302,
23.38,7389.7302,
23.58,8558.5132,
23.68,7979.5756,
23.78,7944.5869,
23.88,7945.9381,
23.98,7864.7067,
24.08,7864.7067,
24.18,7864.7067,
24.29,7864.7067,
24.39,7860.5323,
24.5,7860.5323,
24.6,7860.5323,
24.7,7852.5256,
24.81,7852.5256,
24.91,7852.5256,
25.01,7852.5256,
25.11,7852.5256,
25.21,7852.5256,
25.41,8525.2679,
25.51,8552.9279,
25.61,8579.4152,
25.72,8544.8475,
25.82,8547.5182,
25.92,8290.7975,
26.02,8234.3678,
26.12,8018.0622,
26.22,7973.7628,
26.32,7973.7628,
26.42,7973.7628,
26.52,7973.7628,
26.62,7973.7628,
26.73,7973.7628,
26.83,7973.7628,
26.93,7973.7628,
27.03,7973.7628,
27.13,7973.7628,
27.23,7973.7628,
27.35,8500.8961,
27.54,8229.4544,
27.65,8227.6259,
27.75,8201.8479,
27.85,8182.4861,
27.95,8159.3647,
28.05,8133.1138,
28.15,8129.0934,
28.26,8129.3662,
28.36,8128.8022,
28.46,8125.8191,
28.56,8125.2551,
28.66,8123.9092,
28.76,8124.2004,
28.86,8124.2004,
28.96,8124.2004,
29.06,8123.6364,
29.17,8123.6364,
29.27,8123.6364,
29.37,8123.6364,
29.47,8118.1223,
29.57,8118.1223,
29.67,8118.1223,
29.85,8186.1957,
29.95,8034.277,
30.05,8045.7259,
30.15,8058.9437,
30.25,8047.0816,
30.35,8035.8468,
30.45,7999.4049,
30.55,7993.893,
30.66,7993.893,
30.76,7991.8391,
30.86,7974.3416,
30.96,7974.3416,
31.06,7970.751,
31.16,7970.751,
31.26,7970.751,
31.36,7970.751,
31.46,7970.751,
31.56,7970.751,
31.66,7956.6601,
31.76,7956.6601,
31.86,7956.6601,
31.98,8908.98,
32.08,8704.8688,
32.18,8451.4042,
32.28,8343.8519,
32.38,8323.0972,
32.48,8323.0972,
32.59,8289.5361,
32.69,8289.5361,
32.79,8048.0574,
32.89,8042.9768,
32.99,8042.9768,
33.09,8032.7145,
33.19,8020.6298,
33.29,8020.6298,
33.4,8016.8137,
33.5,8016.8137,
33.6,8014.737,
33.7,8014.737,
33.8,8014.737,
34.0,9130.6814,
34.1,9034.6082,
34.2,8530.0115,
34.3,8480.3244,
34.4,8482.7807,
34.51,8233.6642,
