elapsed_sec,best_cost,improvement_pct
0.1,7653.2148,
0.21,7433.1247,
0.32,7364.5989,
0.42,7506.4672,
0.53,7469.7936,
0.64,7434.7343,
0.74,7406.7841,
0.84,7395.3129,
0.94,7298.5948,
1.05,7441.8786,
1.15,7486.3222,
1.25,7541.4486,
1.35,7313.1266,
1.45,7456.4907,
1.55,7483.5088,
1.66,7500.1188,
1.76,7347.8645,
1.86,7467.5128,
1.96,7423.9155,
2.07,7414.2752,
2.17,7446.0567,
2.28,7446.1299,
2.38,7381.9374,
2.48,7318.9202,
2.58,7529.0579,
2.69,7343.9843,
2.79,7300.4406,
2.89,7504.4175,
3.0,7375.6816,
3.11,7360.9488,
3.21,7317.6548,
3.31,7317.6548,
3.41,7533.1265,
3.52,7558.724,
3.62,7305.3685,
3.72,7356.7136,
3.83,7365.5677,
3.94,7543.4309,
4.04,7462.9579,
4.14,7538.9332,
4.24,7365.5445,
4.35,7520.1266,
4.45,7319.5127,
4.56,7363.0564,
4.66,7527.3925,
4.77,7304.4572,
4.88,7313.5226,
4.98,7545.9063,
5.08,7582.4904,
5.19,7359.4536,
5.3,7314.5329,
5.4,7531.9049,
5.51,7536.4135,
5.61,7575.4532,
5.72,7357.4897,
5.82,7354.0424,
5.93,7311.0298,
6.03,7324.2014,
6.14,7340.3655,
6.25,7538.662,
6.35,7298.4226,
6.46,7303.8441,
6.56,7349.4798,
6.67,7562.7553,
6.77,7307.0928,
6.88,7350.6365,
6.98,7339.6096,
7.09,7339.6096,
7.19,7499.3637,
7.3,7356.5667,
7.4,7359.0047,
7.5,7354.434,
7.61,7346.7063,
7.71,7499.6541,
7.82,7537.7983,
7.92,7537.0411,
8.03,7588.3049,
8.13,7597.7811,
8.24,7508.078,
8.35,7506.7051,
8.45,7319.7665,
8.55,7360.6661,
8.66,7359.5995,
8.76,7355.9999,
8.86,7305.3784,
8.97,7320.695,
9.08,7368.2399,
9.18,7551.8615,
9.28,7538.8124,
9.38,7542.9535,
9.49,7627.2322,
9.59,7358.4964,
9.7,7324.2092,
9.81,7535.6132,
9.91,7587.3538,
10.01,7374.401,
10.12,7535.928,
10.22,7324.4513,
10.33,7498.3939,
10.44,7370.4582,
10.54,7315.9862,
10.65,7506.6778,
10.75,7376.0043,
10.86,7359.7834,
10.96,7471.0291,
11.07,7335.3381,
11.17,7550.7792,
11.28,7611.6987,
11.38,7396.4245,
11.49,7398.1137,
11.59,7368.9151,
11.7,7565.7314,
11.81,7523.773,
11.91,7458.01,
12.01,7354.0527,
12.12,7356.4907,
12.22,7355.2376,
12.33,7568.8011,
12.43,7382.5985,
12.53,7563.9198,
12.64,7340.5747,
12.74,7412.9361,
12.84,7340.5998,
12.95,7383.2869,
13.05,7310.2075,
13.16,7303.1626,
13.27,7349.0588,
13.37,7597.1885,
13.47,7518.6262,
13.58,7351.0675,
13.68,7360.1812,
13.79,7314.1995,
13.89,7302.7982,
13.99,7554.6807,
14.1,7333.9458,
14.2,7328.0632,
14.3,7318.973,
14.4,7517.6352,
