elapsed_sec,best_cost,improvement_pct
0.1,10659.8027,
0.2,10658.5266,
0.3,10658.5266,
0.4,10658.5266,
0.5,10658.5266,
0.61,10658.5266,
0.71,10658.5266,
0.81,10649.7274,
0.91,10649.7274,
1.01,10649.7274,
1.11,10649.7274,
1.22,10649.7274,
1.32,10649.7274,
1.42,10649.7274,
1.52,10649.7274,
1.62,10649.7274,
1.72,10649.7274,
1.82,10649.7274,
1.92,10649.7274,
2.03,10649.7274,
2.13,10649.7274,
2.23,10649.7274,
2.33,10649.7274,
2.43,10649.7274,
2.53,10649.7274,
2.63,10649.7274,
2.73,10649.7274,
2.83,10649.7274,
2.93,10649.7274,
3.03,10649.7274,
3.14,10649.7274,
3.24,10649.7274,
3.34,10649.7274,
3.44,10649.7274,
3.54,10649.7274,
3.64,10649.7274,
3.74,10649.7274,
3.84,10649.7274,
3.95,10649.7274,
4.05,10649.7274,
4.15,10646.0818,
4.25,10641.6929,
4.35,10637.2304,
4.45,10637.2304,
4.55,10637.2304,
4.65,10637.2304,
4.75,10637.2304,
4.85,10637.2304,
4.95,10637.2304,
5.05,10637.2304,
5.15,10637.2304,
5.25,10637.2304,
5.35,10637.2304,
5.45,10637.2304,
5.56,10637.2304,
5.66,10637.2304,
5.76,10637.2304,
5.86,10637.2304,
5.96,10637.2304,
6.06,10637.2304,
6.16,10637.2304,
6.26,10637.2304,
6.36,10637.2304,
6.46,10637.2304,
6.56,10637.2304,
6.66,10637.2304,
6.76,10637.2304,
6.86,10637.2304,
6.97,10637.2304,
7.07,10637.2304,
7.17,10637.2304,
7.27,10637.2304,
7.37,10637.2304,
7.47,10637.2304,
7.68,10637.2304,
7.78,10637.2304,
7.88,10637.2304,
7.98,10637.2304,
8.08,10637.2304,
8.18,10637.2304,
8.28,10637.2304,
8.38,10637.2304,
8.48,10637.2304,
8.58,10637.2304,
8.68,10637.2304,
8.78,10637.2304,
8.88,10637.2304,
8.98,10637.2304,
9.08,10637.2304,
9.18,10637.2304,
9.28,10637.2304,
9.38,10637.2304,
9.48,10637.2304,
9.58,10637.2304,
9.69,10637.2304,
9.79,10637.2304,
9.89,10637.2304,
9.99,10637.2304,
10.09,10637.2304,
10.19,10637.2304,
10.29,10637.2304,
10.39,10637.2304,
10.49,10637.2304,
10.59,10637.2304,
10.69,10637.2304,
10.79,10637.2304,
10.89,10637.2304,
10.99,10637.2304,
11.1,10637.2304,
11.2,10637.2304,
11.3,10637.2304,
11.4,10637.2304,
11.5,10637.2304,
11.6,10637.2304,
11.7,10637.2304,
11.8,10637.2304,
11.9,10637.2304,
12.0,10637.2304,
12.1,10637.2304,
12.2,10637.2304,
12.3,10637.2304,
12.4,10637.2304,
12.5,10637.2304,
12.6,10637.2304,
12.7,10637.2304,
12.8,10637.2304,
12.9,10637.2304,
13.0,10637.2304,
13.1,10637.2304,
13.2,10637.2304,
13.31,10637.2304,
13.41,10637.2304,
13.51,10637.2304,
13.61,10637.2304,
13.71,10637.2304,
13.81,10637.2304,
13.91,10637.2304,
14.01,10637.2304,
14.11,10637.2304,
14.21,10637.2304,
14.31,10637.2304,
14.41,10637.2304,
14.51,10637.2304,
14.61,10637.2304,
14.71,10637.2304,
14.81,10637.2304,
14.91,10637.2304,
15.01,10637.2304,
15.11,10637.2304,
15.22,10637.2304,
15.32,10637.2304,
15.42,10637.2304,
15.52,10637.2304,
15.62,10637.2304,
15.72,10637.2304,
15.82,10637.2304,
15.92,10637.2304,
16.02,10637.2304,
16.12,10637.2304,
16.22,10637.2304,
16.33,10637.2304,
16.43,10637.2304,
16.53,10637.2304,
16.63,10637.2304,
16.73,10637.2304,
16.83,10637.2304,
16.93,10637.2304,
17.03,10637.2304,
17.13,10637.2304,
17.23,10637.2304,
17.33,10637.2304,
17.43,10637.2304,
17.53,10637.2304,
17.63,10637.2304,
17.73,10637.2304,
17.83,10637.2304,
17.93,10637.2304,
18.04,10637.2304,
18.14,10637.2304,
18.24,10637.2304,
18.34,10637.2304,
18.44,10637.2304,
18.54,10637.2304,
18.64,10637.2304,
