elapsed_sec,best_cost,improvement_pct
0.1,11617.3952,
0.2,11449.7415,
0.3,11386.5493,
0.41,11124.4835,
0.51,11137.2033,
0.61,10996.1896,
0.72,10990.1904,
0.82,10962.4523,
0.92,10941.3659,
1.02,10929.5115,
1.12,10925.672,
1.23,10921.0299,
1.33,10926.7059,
1.43,10918.9764,
1.53,10918.9764,
1.63,10918.9764,
1.73,10918.9764,
1.84,10918.9764,
1.94,10918.9764,
2.04,10918.9764,
2.14,10918.9764,
2.24,10919.4936,
2.35,10919.6331,
2.45,10919.1159,
2.55,10919.1159,
2.65,10919.1159,
2.75,10919.1159,
2.85,10919.1159,
2.95,10919.1159,
3.05,10919.1159,
3.15,10919.1159,
3.26,10919.1159,
3.36,10919.1159,
3.46,10919.1159,
3.56,10908.4821,
3.67,11001.1584,
3.77,11018.4172,
4.02,11079.362,
4.12,11069.0587,
4.23,11086.6545,
4.33,10988.2999,
4.43,10968.8394,
4.53,10972.4613,
4.63,10962.8607,
4.73,10956.7159,
4.83,10941.5747,
4.94,10941.5747,
5.04,10926.8847,
5.14,10910.0573,
5.24,10639.3551,
5.35,10639.3551,
5.46,10640.6551,
5.56,10640.6551,
5.66,10640.6551,
5.76,10438.4514,
5.86,10438.4514,
5.96,10438.4514,
6.07,10438.4514,
6.17,10438.4514,
6.27,10438.0396,
6.37,10438.0396,
6.47,10438.0396,
6.57,10438.0396,
6.68,10438.0396,
6.78,10438.0396,
6.88,10438.0396,
6.98,10438.0396,
7.08,10438.0396,
7.19,10437.1514,
7.29,10437.1514,
7.39,10437.1514,
7.49,10437.1514,
7.59,10437.1514,
7.69,10437.1514,
7.79,10435.1604,
7.96,11468.8993,
8.06,11569.7565,
8.16,11280.1774,
8.26,11315.312,
8.37,10997.0189,
8.48,10454.628,
8.58,10233.2804,
8.68,10268.0716,
8.78,10276.4172,
8.88,10238.3029,
8.98,10218.4352,
9.08,10218.4352,
9.19,10219.8305,
9.29,10222.064,
9.39,10222.064,
9.49,10214.8555,
9.6,10214.8555,
9.7,10214.8555,
9.8,10214.8555,
9.9,10209.8305,
10.0,10209.8305,
10.1,10207.4196,
10.2,10207.4196,
10.3,10207.4196,
10.4,10207.4196,
10.5,10207.4196,
10.61,9991.6058,
10.71,9991.6058,
10.81,9991.6058,
10.91,9991.6058,
11.01,9991.6058,
11.11,9991.6058,
11.22,9991.6058,
11.32,9991.6058,
11.42,9991.6058,
11.52,9991.6058,
11.62,9991.6058,
11.72,9991.6058,
11.88,10364.5827,
11.98,10440.6773,
12.08,10369.4011,
12.18,10370.6391,
12.29,10411.4688,
12.39,10325.8696,
12.49,10315.1131,
12.59,10308.5193,
12.69,10291.5596,
12.79,10301.1502,
12.89,10280.843,
12.99,10280.843,
13.1,10280.4772,
13.2,10280.843,
13.3,10286.7008,
13.4,10271.163,
13.5,10271.163,
13.61,10271.163,
13.71,10271.163,
13.81,10271.163,
13.91,10271.163,
14.01,10271.163,
14.11,10271.163,
14.22,10271.163,
14.32,10271.163,
14.42,10271.163,
14.52,10271.163,
14.62,10271.163,
14.72,10271.163,
14.82,10271.163,
14.92,10271.163,
15.02,10271.163,
15.13,10271.163,
15.23,10271.163,
15.33,10271.163,
15.47,10963.0971,
15.57,10811.1334,
15.67,10814.3956,
15.78,10418.5613,
15.88,10142.5706,
15.98,10155.0183,
16.08,10165.045,
16.19,10142.0574,
16.29,10125.1326,
16.39,10093.7352,
16.49,10090.5967,
16.6,10086.7874,
16.7,10080.5208,
16.8,10085.5508,
16.9,10071.06,
17.0,10066.4179,
17.1,10066.4179,
17.2,10066.4179,
17.3,10066.4179,
17.4,10066.4179,
17.5,10066.4179,
17.6,10066.4179,
17.7,10066.4179,
17.8,10066.4179,
17.9,10066.4179,
18.01,10066.4179,
18.11,10066.4179,
18.21,10066.4179,
18.31,10066.4179,
18.41,10066.4179,
18.51,10066.4179,
18.66,10066.4179,
18.76,10066.4179,
18.86,10066.03,
18.96,10066.03,
19.06,10066.03,
19.16,10066.03,
19.27,10066.03,
19.37,10066.03,
19.47,10066.03,
19.6,10243.522,
19.7,10246.46,
19.8,10228.1295,
19.9,10233.3376,
20.01,10210.6747,
20.11,10186.5683,
20.21,10208.558,
20.32,10217.2472,
20.42,10209.3375,
20.52,10208.3723,
20.62,10202.253,
20.73,10189.9814,
20.83,10186.8517,
20.94,10186.8517,
21.04,10180.6496,
21.14,10176.9893,
21.24,10176.9893,
21.34,10176.9893,
21.44,10176.9893,
21.54,10176.9893,
21.64,10176.9893,
21.74,10176.9893,
21.84,10176.9893,
21.94,10176.9893,
22.04,10176.9893,
22.14,10176.9893,
22.24,10176.9893,
22.35,10176.9893,
22.45,10176.9893,
22.55,10176.9893,
22.65,10176.9893,
22.75,10176.9893,
22.85,10176.9893,
23.05,10729.4321,
23.16,10670.6784,
23.26,10650.2964,
23.36,10605.559,
23.46,10520.3199,
23.57,10464.7502,
23.67,10482.4561,
23.77,10497.3141,
23.88,10502.6582,
23.98,10501.7489,
24.09,10500.2805,
24.19,10502.1892,
24.3,10503.9651,
24.4,10494.7196,
24.5,10493.8954,
24.6,10466.5662,
24.7,10434.1492,
24.8,10435.0156,
24.9,10433.5891,
25.0,10435.735,
25.11,10428.2103,
25.21,10427.1838,
25.31,10418.6177,
25.41,10418.1005,
25.51,10418.1005,
25.62,10418.1005,
25.73,10418.1005,
25.83,10418.1005,
25.93,10418.1005,
26.03,10418.1005,
26.13,10418.1005,
26.23,10418.1005,
26.33,10418.1005,
26.44,10418.1005,
26.54,10418.1005,
26.64,10418.1005,
26.74,10418.1005,
26.84,10418.1005,
26.94,10418.1005,
27.15,12204.6755,
27.25,12180.2147,
27.35,11738.7099,
27.46,11657.3774,
27.56,11711.6995,
27.67,11492.7073,
27.77,11253.5385,
27.87,11075.8453,
27.97,11081.1506,
28.08,11086.1246,
28.19,11081.5025,
28.29,11081.5025,
28.4,11096.4089,
28.5,11084.467,
28.6,11093.0602,
28.7,11093.0602,
28.8,11084.5714,
28.9,11080.1771,
29.01,11062.0409,
29.11,11062.0409,
29.22,11053.238,
29.32,11053.238,
29.42,11044.4642,
29.52,11044.4642,
29.63,11044.4642,
29.73,10829.3343,
29.84,10829.3343,
29.94,10829.3343,
30.04,10822.7588,
30.14,10822.7588,
30.25,10822.7588,
30.35,10822.7588,
30.46,10822.7588,
30.56,10822.7588,
30.66,10822.7588,
30.76,10822.7588,
30.86,10822.7588,
30.96,10822.7588,
31.07,10822.7588,
31.17,10822.7588,
31.27,10822.7588,
31.37,10787.7321,
31.47,10787.7321,
31.65,11048.7286,
31.75,10904.024,
31.85,10877.5843,
31.96,10750.2818,
32.06,10709.5074,
32.16,10492.5798,
32.26,10511.2324,
32.37,10361.8843,
32.47,10309.1867,
32.57,10308.0219,
32.68,10301.0416,
32.78,10286.2616,
32.88,10269.688,
32.98,10270.0844,
33.08,10268.8294,
