elapsed_sec,best_cost,improvement_pct
0.1,11335.8712,
0.2,11279.1655,
0.3,11085.3503,
0.41,11077.9364,
0.51,11146.206,
0.61,11156.7969,
0.72,11342.5359,
0.82,10885.9814,
0.92,11194.1214,
1.02,11102.0099,
1.12,10692.4354,
1.22,10927.938,
1.32,10535.7475,
1.42,10772.2632,
1.52,10692.3454,
1.62,10639.6927,
1.73,10749.4599,
1.83,10542.2565,
1.93,10542.7155,
2.03,10166.9468,
2.13,10089.2866,
2.23,10384.0704,
2.33,10342.4015,
2.43,10293.4277,
2.53,10344.9807,
2.63,10146.0281,
2.74,10155.5576,
2.84,10278.0526,
2.94,10491.1284,
3.04,10136.5096,
3.15,10181.8718,
3.26,10406.2782,
3.36,10414.3698,
3.46,10646.3235,
3.56,10420.6725,
3.67,10145.9358,
3.77,10226.5479,
3.88,10240.1765,
3.98,10216.3766,
4.09,10220.4693,
4.19,10222.6134,
4.29,10270.6302,
4.51,10256.4695,
4.61,10237.8859,
4.71,10259.1328,
4.81,10216.207,
4.91,10174.5069,
5.01,10247.1554,
5.11,10245.4014,
5.21,10223.532,
5.31,10238.5321,
5.41,10203.7752,
5.51,10202.7303,
5.62,10252.6092,
5.72,9982.7117,
5.82,10189.1314,
5.92,9886.6521,
6.03,9966.0047,
6.13,10112.8513,
6.23,10108.8785,
6.34,10226.9369,
6.44,10187.3531,
6.54,10159.0697,
6.64,10246.6818,
6.74,9986.7887,
6.84,9940.8562,
6.94,9689.3879,
7.05,9666.7447,
7.15,9677.265,
7.25,9670.7294,
7.35,9687.6698,
7.46,9701.248,
7.56,9720.615,
7.66,9699.5771,
7.76,9891.2633,
7.86,9845.9323,
7.97,9943.934,
8.07,9915.7233,
8.17,9873.1239,
8.27,9881.2962,
8.37,9913.4453,
8.47,9870.1755,
8.57,9892.2902,
8.67,9992.1423,
8.77,10000.4253,
8.87,9995.2544,
8.97,9779.8048,
9.08,9972.8792,
9.18,9808.946,
9.28,9916.1126,
9.38,9906.352,
9.49,9931.5579,
9.59,9922.8902,
9.69,9929.9267,
9.79,9865.3806,
9.89,9842.9449,
9.99,9907.2476,
10.09,9680.7325,
10.2,9705.5044,
10.3,9974.4618,
10.4,9919.2949,
10.5,9954.0139,
10.6,9881.8259,
10.7,9871.1613,
10.81,9885.1289,
10.91,9892.2631,
11.01,9881.9297,
11.11,9916.4784,
11.21,9933.4351,
11.31,9931.2963,
11.42,9969.4623,
11.52,9930.2618,
11.62,9892.489,
11.72,9977.8759,
11.82,9919.457,
11.92,9960.659,
12.02,9990.1035,
12.12,10014.7894,
12.23,9984.9798,
12.33,10010.5743,
12.43,9947.6432,
12.53,9925.2064,
12.63,9908.8264,
12.73,9720.5996,
12.83,9698.4876,
12.93,9704.682,
13.03,9711.3426,
13.13,9728.5668,
13.24,9683.7312,
13.34,9702.1311,
13.44,9700.3156,
13.54,9688.4032,
13.65,9683.9053,
13.75,9761.6309,
13.85,9673.8713,
13.95,9675.2007,
14.05,9752.9795,
14.16,9725.8732,
14.26,9728.6761,
14.36,9703.6084,
14.46,9687.2917,
14.56,9691.421,
14.66,9672.1677,
14.77,9685.534,
14.87,9691.3279,
14.98,9683.732,
15.08,9905.4451,
15.18,9936.2044,
15.28,9699.0728,
15.38,9693.1162,
15.49,9709.2298,
15.59,9707.8113,
15.69,9858.7164,
15.79,9860.5024,
15.89,9874.6251,
15.99,9870.0903,
