elapsed_sec,best_cost,improvement_pct
0.11,5956.1799,
0.21,5954.8192,
0.31,5954.8192,
0.41,5954.8192,
0.51,5954.8192,
0.61,5954.8192,
0.72,5954.8192,
0.82,5954.8192,
0.92,5954.8192,
1.02,5954.8192,
1.13,5954.8192,
1.23,5954.8192,
1.33,5954.8192,
1.43,5954.8192,
1.53,5954.8192,
1.63,5954.8192,
1.73,5954.8192,
1.84,5954.8192,
1.94,5954.8192,
2.04,5954.8192,
2.14,5954.8192,
2.24,5954.8192,
2.34,5954.8192,
2.44,5954.8192,
2.54,5954.8192,
2.64,5954.8192,
2.74,5954.8192,
2.84,5954.1788,
2.95,5954.1788,
3.05,5954.1788,
3.15,5954.1788,
3.25,5954.1788,
3.36,5954.1788,
3.46,5954.1788,
3.56,5954.1788,
3.66,5954.1788,
3.76,5954.1788,
3.86,5954.1548,
3.96,5954.1548,
4.07,5954.1548,
4.17,5954.1548,
4.27,5954.1548,
4.37,5954.1548,
4.47,5954.1548,
4.57,5954.1548,
4.67,5954.1548,
4.77,5954.1548,
4.87,5954.1548,
4.98,5954.1548,
5.08,5954.1548,
5.18,5954.1548,
5.28,5954.1548,
5.38,5954.1548,
5.48,5954.1548,
5.58,5954.1548,
5.68,5954.1548,
5.78,5954.1548,
5.88,5954.1548,
5.99,5954.1548,
6.09,5954.1548,
6.19,5954.1548,
6.29,5954.1548,
6.39,5954.1548,
6.5,5954.1548,
6.6,5954.1548,
6.7,5954.1548,
6.8,5954.1548,
6.91,5954.1548,
7.01,5954.1548,
7.11,5954.1548,
7.21,5954.1548,
7.31,5954.1548,
7.41,5954.1548,
7.51,5954.1548,
7.61,5954.1548,
7.71,5954.1548,
7.81,5954.1548,
7.91,5954.1548,
8.02,5954.1548,
8.12,5954.1548,
8.22,5954.1548,
8.32,5954.1548,
8.42,5954.1548,
8.52,5954.1548,
8.62,5954.1548,
8.72,5954.1548,
8.82,5954.1548,
8.92,5954.1548,
9.02,5954.1548,
9.12,5954.1548,
9.23,5954.1548,
9.33,5954.1548,
9.43,5954.1548,
9.53,5954.1548,
9.63,5954.1548,
9.73,5954.1548,
9.83,5954.1548,
9.94,5954.1548,
10.04,5954.1548,
10.14,5954.1548,
10.24,5954.1548,
10.34,5954.1548,
10.44,5954.1548,
10.55,5954.1548,
10.65,5954.1548,
10.75,5954.1548,
10.85,5954.1548,
10.95,5954.1548,
11.05,5954.1548,
11.15,5954.1548,
11.26,5954.1548,
11.36,5954.1548,
11.46,5954.1548,
11.56,5954.1548,
11.66,5954.1548,
11.76,5954.1548,
11.86,5954.1548,
11.96,5954.1548,
12.06,5954.1548,
12.17,5954.1548,
12.27,5954.1548,
12.37,5954.1548,
12.47,5954.1548,
12.57,5954.1548,
12.67,5954.1548,
12.77,5954.1548,
12.87,5954.1548,
12.97,5954.1548,
13.07,5954.1548,
13.18,5954.1548,
13.28,5954.1548,
13.38,5954.1548,
13.48,5954.1548,
13.58,5954.1548,
13.68,5954.1548,
13.78,5954.1548,
13.88,5954.1548,
13.98,5954.1548,
14.08,5954.1548,
14.18,5954.1548,
14.29,5954.1548,
14.39,5954.1548,
14.49,5954.1548,
14.59,5954.1548,
14.69,5954.1548,
14.79,5954.1548,
14.89,5954.1548,
14.99,5954.1548,
15.09,5954.1548,
15.2,5954.1548,
15.3,5954.1548,
15.4,5954.1548,
15.5,5954.1548,
15.6,5954.1548,
15.71,5954.1548,
15.81,5954.1548,
15.91,5954.1548,
16.01,5954.1548,
16.11,5954.1548,
16.21,5954.1548,
16.31,5954.1548,
16.41,5954.1548,
16.51,5954.1548,
16.62,5954.1548,
16.72,5954.1548,
16.82,5954.1548,
16.92,5954.1548,
17.02,5954.1548,
17.12,5954.1548,
17.22,5954.1548,
17.32,5954.1548,
17.42,5954.1548,
17.53,5954.1548,
17.63,5954.1548,
17.73,5954.1548,
17.83,5954.1548,
17.93,5954.1548,
18.03,5954.1548,
18.13,5954.1548,
18.23,5954.1548,
18.33,5954.1548,
18.43,5954.1548,
18.54,5954.1548,
18.64,5954.1548,
18.74,5954.1548,
18.84,5954.1548,
18.94,5954.1548,
19.04,5954.1548,
19.14,5954.1548,
19.24,5954.1548,
19.34,5954.1548,
19.44,5954.1548,
19.54,5954.1548,
19.64,5954.1548,
19.74,5954.1548,
19.85,5954.1548,
19.95,5954.1548,
20.06,5954.1548,
20.16,5954.1548,
20.26,5954.1548,
20.36,5954.1548,
20.46,5954.1548,
20.56,5954.1548,
20.67,5954.1548,
20.77,5954.1548,
20.87,5954.1548,
20.97,5954.1548,
21.07,5954.1548,
21.17,5954.1548,
21.28,5954.1548,
21.38,5954.1548,
21.48,5954.1548,
21.58,5954.1548,
21.68,5954.1548,
21.78,5954.1548,
21.89,5954.1548,
21.99,5954.1548,
