elapsed_sec,best_cost,improvement_pct
31.23,6404.4752,
31.33,6649.9239,
31.43,6587.5956,
31.54,6624.2212,
31.65,6627.4526,
31.75,6553.2746,
31.85,6541.4621,
31.95,6510.4574,
32.05,6618.8122,
32.15,6642.0826,
32.26,6716.7488,
32.36,6717.2887,
32.46,6704.3633,
32.56,6747.0736,
32.66,6762.8086,
32.77,6671.6063,
32.88,6671.3117,
32.98,6669.5437,
33.08,6660.5321,
33.2,6721.2913,
33.3,6760.6714,
33.41,6825.1035,
33.51,6812.7387,
33.61,6812.4639,
33.71,6748.4444,
33.82,6322.4043,
33.94,6319.0143,
34.04,6235.921,
34.15,6235.921,
34.27,6271.8178,
34.37,6278.1604,
34.47,6327.1742,
34.57,6398.3375,
34.67,6375.4076,
34.77,6403.7865,
34.88,6354.7727,
34.98,6255.056,
35.09,5803.8613,
35.19,5803.8613,
35.29,5812.4124,
35.39,5823.2498,
35.5,5823.2498,
35.6,5823.2498,
35.7,5823.2498,
35.81,5820.0888,
35.91,5821.2145,
36.02,5710.1268,
36.12,5710.1268,
36.23,5709.0617,
36.34,5709.0617,
36.46,5707.8657,
36.59,5709.0617,
36.71,5709.0617,
36.81,5709.0617,
36.91,5706.8006,
37.02,5765.3066,
37.12,5766.3717,
37.23,5765.3066,
37.34,5932.5849,
37.44,5932.5849,
37.54,5767.5677,
37.64,5767.5677,
37.76,5765.3066,
37.86,5765.3066,
37.96,5773.4798,
38.07,5767.5677,
38.18,5767.5677,
38.28,5768.6328,
38.39,5765.3066,
38.49,5765.3066,
38.6,5765.3066,
38.7,5765.3066,
38.81,5765.3066,
38.91,5765.3066,
39.01,5766.3717,
39.12,5766.3717,
39.22,5766.3717,
39.32,5766.3717,
39.43,5766.3717,
39.53,5766.3717,
39.63,5766.3717,
39.74,5766.3717,
39.85,5766.3717,
39.96,5767.5334,
40.07,5767.5334,
40.17,5767.5334,
40.27,5767.5334,
40.37,5767.5334,
40.47,5767.5334,
40.58,5767.5334,
40.68,5761.3258,
40.78,5761.3258,
40.88,5761.3258,
40.99,5767.2403,
41.09,5767.2403,
41.21,5767.2403,
41.32,5767.2403,
41.42,5767.2403,
41.53,5761.3258,
41.63,5779.3692,
41.74,5792.0938,
41.84,5797.2363,
41.94,5843.4917,
42.04,5886.3081,
42.14,5886.3081,
42.25,5888.8999,
42.36,5888.8999,
42.46,5888.8999,
42.58,5881.5733,
42.68,5881.5733,
42.78,5880.6039,
42.88,5879.3841,
42.99,5879.3841,
43.1,5879.3841,
43.2,5879.3841,
43.31,5879.3841,
43.41,5879.3841,
43.51,5879.3841,
43.61,5879.3841,
43.72,5879.3841,
43.82,5910.4831,
43.93,5910.4831,
44.03,5914.1427,
44.13,5780.2905,
44.24,5775.3627,
44.34,5777.9356,
44.45,5770.1344,
44.55,5770.1344,
44.65,5770.1344,
44.75,5770.1344,
44.89,5871.2383,
44.99,5871.2383,
45.09,5871.2383,
45.19,5827.671,
45.3,5825.5022,
45.4,5825.5022,
45.5,5825.5022,
45.61,5825.5022,
45.71,5825.5022,
45.81,5825.5022,
45.91,5825.5022,
46.02,5825.5022,
46.12,5825.5022,
46.23,5825.5022,
46.33,5825.5022,
46.44,5825.5022,
46.54,5825.5022,
46.64,5825.5022,
46.74,5830.2112,
46.85,5824.9829,
46.95,5827.671,
47.05,5827.671,
47.16,5824.9829,
47.26,5824.9829,
47.36,5824.9829,
47.46,5824.9829,
47.59,5770.9157,
47.69,5770.9157,
47.82,5770.9157,
47.93,5770.9157,
48.03,5828.4617,
48.13,5828.4617,
48.28,5828.4617,
48.39,5828.4617,
48.49,5828.4617,
48.6,5770.9157,
48.7,5765.7732,
48.81,5765.7732,
48.93,5770.9157,
49.04,5770.9157,
49.14,5770.9157,
49.24,5770.9157,
49.35,5770.9157,
49.46,5770.9157,
49.57,5770.9157,
49.67,5770.9157,
49.77,5770.9157,
49.88,5816.0721,
49.98,5816.0721,
50.08,5815.7948,
50.18,5815.7948,
50.29,5815.7948,
50.39,5815.7948,
50.49,5804.5556,
50.6,5804.5556,
50.7,5804.5556,
50.81,5812.9365,
50.91,5870.4825,
51.02,5870.4825,
51.12,5812.9365,
51.22,5812.9365,
51.32,5812.9365,
51.43,5812.9365,
51.53,5812.9365,
51.63,5812.9365,
51.73,5827.1831,
51.84,5829.8712,
51.94,5830.1485,
52.04,5830.1485,
52.14,5830.1485,
52.24,5830.1485,
52.35,5830.1485,
52.45,5830.1485,
52.55,5830.1485,
52.65,5802.4396,
52.76,5802.4396,
52.86,5810.3414,
52.97,5810.3414,
53.07,5810.3414,
53.18,5823.2862,
53.28,5823.2862,
53.38,5823.2862,
53.48,5823.2862,
53.58,5823.2862,
53.68,5826.3948,
53.79,5821.2523,
53.89,5812.8714,
53.99,5821.2523,
54.1,5788.2759,
54.2,5788.2759,
54.31,5844.788,
54.41,5844.788,
54.51,5844.788,
54.63,5836.129,
54.73,5836.129,
54.84,5779.6169,
54.95,5779.6169,
55.06,5779.6169,
55.16,5779.6169,
55.27,5779.6169,
55.37,5780.667,
55.47,5780.667,
55.57,5780.667,
55.67,5780.667,
55.77,5769.8898,
55.88,5769.8898,
55.98,5769.8898,
56.09,5769.8898,
56.2,5769.8898,
56.31,5769.8898,
56.41,5769.8898,
56.52,5769.8898,
56.62,5769.8898,
56.73,5769.8898,
56.83,5716.2862,
56.93,5716.2862,
57.05,5716.2862,
57.15,5716.2862,
57.25,5703.3414,
57.36,5703.3414,
57.46,5703.3414,
57.57,5703.3414,
57.67,5703.3414,
57.77,5702.5694,
57.87,5710.9574,
57.98,5710.9574,
58.08,5706.169,
58.18,5706.169,
58.28,5706.169,
58.39,5706.169,
58.49,5706.169,
58.59,5706.169,
58.69,5706.169,
58.79,5700.1212,
58.9,5711.4041,
59.0,5711.4041,
59.1,5711.4041,
59.21,5711.4041,
59.31,5711.4041,
59.42,5711.4041,
59.53,5711.4041,
59.66,5711.4041,
59.76,5711.4041,
59.88,5711.4041,
59.98,5711.4041,
