elapsed_sec,best_cost,improvement_pct
0.1,6663.8362,
0.21,6565.6149,
0.31,6674.3462,
0.41,6683.0829,
0.51,6663.7183,
0.63,6663.1294,
0.73,6474.9252,
0.85,6959.1335,
0.96,7084.0846,
1.07,6729.674,
1.17,6998.0233,
1.27,7016.0608,
1.37,7099.2655,
1.47,7168.8751,
1.57,6969.0378,
1.67,6979.7288,
1.78,6899.4926,
1.89,6778.7647,
2.0,6847.3576,
2.1,6773.4144,
2.22,6773.5659,
2.32,6842.8178,
2.42,6977.2783,
2.52,7128.9831,
2.62,7136.1026,
2.72,7293.8825,
2.82,7603.9753,
2.93,6972.3472,
3.03,7633.839,
3.14,7601.5824,
3.24,7667.3349,
3.34,7627.0337,
3.44,7390.8465,
3.55,7348.2253,
3.65,7432.3915,
3.76,7103.8767,
3.86,7046.2407,
3.96,7039.5898,
4.07,6997.9438,
4.17,7028.0145,
4.28,6976.7562,
4.38,6976.7562,
4.48,6986.3398,
4.58,6918.7281,
4.68,6921.1118,
4.79,6947.1411,
4.89,6823.02,
4.99,6850.242,
5.1,6859.4084,
5.2,6907.7061,
5.31,6930.3939,
5.41,6911.1827,
5.51,6926.0761,
5.62,6907.7168,
5.73,6886.6191,
5.83,6920.675,
5.94,6939.077,
6.05,7207.838,
6.15,7198.019,
6.25,6987.6921,
6.36,6828.8495,
6.46,6805.5563,
6.56,7166.3003,
6.67,6770.0684,
6.77,6433.5057,
6.89,6480.1865,
7.0,6534.1895,
7.1,6534.6008,
7.2,6502.0238,
7.3,6502.0238,
7.41,6502.0238,
7.51,6502.0238,
7.61,6558.9687,
7.71,6554.1499,
7.81,6554.1499,
7.92,6558.3836,
8.03,6546.6671,
8.13,6546.6671,
8.24,6546.6671,
8.34,6541.5584,
8.45,6555.5556,
8.55,6554.7681,
8.67,6554.7681,
8.77,6554.7681,
8.87,6554.7681,
8.97,6914.9727,
9.08,6542.4912,
9.18,6542.4912,
9.29,6542.4912,
9.39,6542.4912,
9.5,6542.4912,
9.6,6542.4912,
9.7,6542.4912,
9.81,6542.4912,
9.91,6539.7837,
10.01,6539.7837,
10.11,6539.7837,
10.22,6539.7837,
10.34,6539.7837,
10.44,6539.7837,
10.54,7030.8813,
10.64,6539.7837,
10.75,6539.7837,
10.87,6539.7837,
10.97,6552.167,
11.07,6552.167,
11.2,6594.7445,
11.32,6594.7445,
11.42,6594.7445,
11.53,6594.3332,
11.63,6594.3332,
11.73,6527.1156,
11.83,6527.1156,
11.95,6527.1156,
12.06,6473.1126,
12.17,6473.1126,
12.33,6527.5269,
12.43,6527.5269,
12.54,6538.2399,
12.64,6499.6233,
12.79,6490.5527,
12.92,6490.5527,
13.02,6490.5527,
13.12,6533.4314,
13.24,6533.4314,
13.34,6531.789,
13.46,6531.789,
13.57,6529.21,
13.67,6529.21,
13.79,6529.21,
13.89,6534.6502,
14.01,6531.8657,
14.12,6532.277,
14.22,6532.277,
14.32,6477.8627,
14.44,6477.8627,
14.54,6474.4719,
14.65,6797.9207,
14.75,6799.279,
14.85,6778.1392,
14.97,6821.2246,
15.07,6782.1633,
15.19,6782.1633,
15.3,6805.9038,
15.4,6968.8468,
15.53,6963.7287,
15.64,6959.4271,
15.75,7207.7699,
15.86,6926.3888,
15.96,6922.982,
16.07,6922.982,
16.17,6939.8087,
16.3,6950.8552,
16.41,6879.5902,
16.52,6950.8552,
16.68,6939.8087,
16.78,6911.559,
16.89,6895.0347,
17.0,6948.7535,
17.1,6882.7527,
17.2,6834.8197,
17.37,6869.6783,
17.48,6846.4759,
17.58,6903.0021,
17.7,6921.5947,
17.8,6917.6256,
17.9,6922.7467,
18.02,7005.9942,
18.13,7019.8823,
18.23,7050.273,
18.33,7125.3305,
18.44,7232.299,
18.54,7220.2164,
18.67,7213.6205,
18.78,7200.4754,
18.88,7207.7428,
18.98,7386.7495,
19.08,7453.7354,
19.19,7440.8544,
19.29,6963.663,
19.39,7362.3392,
19.49,7417.4232,
19.61,7472.3072,
19.71,7553.9443,
19.81,7451.0722,
19.92,7500.2681,
20.02,7519.3952,
20.12,7437.407,
20.22,7359.6586,
20.34,7362.2874,
20.44,7371.1011,
20.55,7363.8779,
20.65,7187.1552,
20.75,7173.7736,
20.85,7173.7736,
20.97,7172.884,
21.07,7142.1043,
21.17,7149.4963,
21.29,7125.4893,
21.4,7152.1661,
21.5,7107.8202,
21.6,7080.7268,
21.71,7066.5213,
21.81,7066.5213,
21.91,7055.2311,
22.02,7072.3731,
22.12,7110.54,
22.23,7108.0879,
22.33,7051.2623,
22.43,6844.524,
22.53,6917.4354,
22.64,6735.1395,
22.74,6816.3626,
22.84,7146.6264,
22.94,7226.7957,
23.04,7265.7758,
23.15,7174.9241,
23.25,7196.908,
23.35,7168.8905,
23.46,7311.1533,
23.56,7324.3054,
23.66,7211.3984,
23.76,7228.753,
23.87,7207.9634,
23.97,7153.3816,
24.07,7163.6071,
24.18,7146.1687,
24.28,7149.1482,
24.42,6834.4517,
24.54,6770.3009,
24.64,6749.0809,
24.75,6735.7023,
24.86,6783.405,
24.96,6794.6599,
25.08,7098.5973,
25.19,6782.6307,
25.3,6807.2145,
25.4,6800.277,
25.51,6788.2667,
25.62,6834.209,
25.74,6828.2882,
25.84,6933.6846,
25.95,6947.2917,
26.05,6946.9139,
26.15,6937.9058,
26.25,6969.3587,
26.36,7014.5257,
26.47,7023.717,
26.58,7024.5787,
26.69,7111.3628,
26.79,6936.5951,
26.89,6936.5951,
26.99,6954.3336,
27.1,6931.5696,
27.2,7035.3789,
27.31,7027.7323,
27.41,6995.3423,
27.51,6998.6368,
27.61,7017.4767,
27.71,7017.2869,
27.82,7058.7214,
27.92,6978.3981,
28.02,7043.4258,
28.12,7043.9045,
28.22,7057.4098,
28.32,7144.1872,
28.43,7122.5794,
28.53,7108.4879,
28.65,7076.9096,
28.75,6686.5556,
28.86,6677.3213,
28.97,6740.1693,
29.08,6850.4754,
29.19,6781.8627,
29.29,6848.3566,
29.39,6914.7791,
29.5,6914.7791,
29.61,6906.3516,
29.72,6892.2367,
29.82,6834.6251,
29.93,6842.1103,
30.03,6855.6972,
30.14,6907.6445,
30.25,6856.56,
30.35,6841.8481,
30.45,6834.1536,
30.55,6758.711,
30.65,6810.248,
30.76,6855.1085,
30.87,6857.9559,
30.97,6710.8627,
31.08,6710.8627,
31.19,6785.3186,
31.29,6871.1279,
31.39,6864.6921,
31.49,6890.5153,
31.6,6815.7552,
31.7,6819.6341,
31.8,6819.6341,
31.91,6866.9798,
32.01,6911.535,
32.11,6859.8641,
32.22,6915.8485,
32.33,6894.8302,
32.43,6916.7914,
32.53,6935.0845,
32.63,6887.8424,
32.74,6887.8424,
32.84,6906.1234,
32.95,6944.174,
33.05,6948.5321,
33.16,6927.0439,
33.26,6962.7877,
33.36,6986.7374,
33.47,6970.101,
33.57,6970.101,
33.68,6983.0454,
33.8,6978.8623,
33.9,6978.8623,
34.0,6979.9208,
34.1,6935.4583,
34.21,6905.9369,
34.31,6906.7747,
34.41,6905.5985,
34.52,6905.5985,
34.63,6916.0634,
34.73,6778.0198,
34.83,6762.1598,
34.93,6726.9995,
35.03,6717.7655,
35.13,6711.6636,
35.23,6713.1046,
35.34,7020.4565,
35.45,7000.8755,
35.55,7028.8368,
35.65,7015.9575,
35.75,7005.849,
35.85,6686.4613,
35.97,6695.7107,
36.07,6695.7107,
36.18,6734.4646,
36.29,6734.4646,
36.39,6732.4134,
36.49,6734.0484,
36.6,6790.19,
36.7,6758.2067,
36.8,6780.2817,
36.91,6747.9735,
37.01,6771.4121,
37.12,6771.4121,
37.22,6635.0272,
37.4,6689.0075,
37.5,6810.0868,
37.61,6820.2522,
37.71,6840.628,
37.83,6863.6873,
38.03,6952.1681,
38.15,6939.6389,
38.25,6875.3356,
38.36,6856.1645,
38.51,6873.9823,
38.61,6825.0651,
38.73,6735.8694,
38.83,6721.5726,
38.93,6668.1524,
39.03,6684.4741,
39.13,6746.6015,
39.29,6710.3234,
39.39,6757.8164,
39.49,6718.8267,
39.6,6711.6812,
39.72,6751.2428,
39.82,6759.1079,
39.93,6805.0698,
40.04,6771.737,
40.15,6802.308,
40.25,6703.373,
40.35,6711.2381,
40.45,6807.2133,
40.63,6860.4294,
40.73,6858.5543,
40.83,6891.4147,
40.94,6891.4147,
41.08,6891.4147,
41.22,6887.2911,
41.33,6877.8141,
41.45,6871.5663,
41.55,6950.2932,
41.66,6948.6096,
41.77,7050.2906,
41.88,7040.8926,
41.98,6992.104,
42.09,6875.7983,
42.2,6882.436,
42.3,6889.5626,
42.4,6836.3492,
42.5,6887.8731,
42.6,6823.6504,
42.71,6823.6504,
42.81,6825.6421,
42.92,6825.6421,
43.03,6844.7518,
43.13,6844.2867,
43.23,6844.2867,
43.35,6804.274,
43.46,6756.7402,
43.56,6826.6062,
43.66,6828.3019,
43.76,6828.3019,
43.86,6772.8821,
43.97,6760.4134,
44.07,6838.9072,
44.18,6786.1525,
44.28,6778.6559,
44.38,6775.9279,
44.49,6761.1199,
44.59,6845.3769,
44.69,6800.7433,
44.8,6786.4599,
44.91,6757.3343,
45.01,6835.5826,
45.12,6844.132,
45.22,6780.5238,
45.32,6810.4243,
45.43,6810.4243,
45.56,6854.7466,
45.66,6853.8259,
45.76,6845.0299,
45.87,6850.3059,
45.97,6773.3947,
46.08,6784.3455,
46.18,6763.6131,
46.28,6783.0997,
46.38,6794.4901,
46.48,6814.8411,
46.58,6824.7101,
46.71,6784.9646,
46.83,6805.5192,
46.93,6804.1617,
47.07,6783.7964,
47.17,6752.8698,
47.28,6827.803,
47.39,6845.7424,
47.49,6781.2498,
47.59,6793.024,
47.69,6804.1416,
47.8,6722.9597,
47.91,6722.9597,
48.01,6758.0751,
48.15,6720.8286,
48.25,6790.114,
48.35,6711.8675,
48.46,6832.232,
48.56,6855.381,
48.67,6840.743,
48.77,6802.7527,
48.87,6829.2453,
48.99,6828.3571,
49.09,6781.6247,
49.23,6769.2415,
49.36,6769.6645,
49.46,6769.6645,
49.56,6767.2982,
49.67,6776.623,
49.77,6772.1506,
49.88,6808.5827,
49.98,6823.4721,
50.08,6756.4698,
50.19,6730.9812,
50.29,6706.1944,
50.42,6706.1944,
50.52,6706.1944,
50.62,6728.1636,
50.73,6723.4666,
50.85,6723.4666,
50.95,6761.6643,
51.07,6767.0466,
51.18,6765.1867,
51.28,6759.2913,
51.4,6705.2004,
51.5,6714.6446,
