elapsed_sec,best_cost,improvement_pct
0.15,6048.3557,
0.25,6231.5917,
0.35,6259.0414,
0.45,6252.3801,
0.56,6333.0413,
0.66,6323.1671,
0.76,6310.4602,
0.86,6403.5824,
0.96,6453.4447,
1.07,6415.5888,
1.17,6414.2663,
1.27,6409.6593,
1.38,6414.7227,
1.48,6460.482,
1.58,6555.1999,
1.69,6555.1999,
1.79,6527.0219,
1.89,6502.5215,
1.99,6557.3276,
2.11,6647.259,
2.22,6506.3244,
2.32,6503.026,
2.42,6554.489,
2.52,6485.2412,
2.64,6519.7475,
2.74,6565.6091,
2.84,6498.3439,
2.95,6521.7137,
3.06,6618.1666,
3.17,6562.3751,
3.27,6559.1557,
3.39,6559.1557,
3.5,6547.845,
3.6,6504.8197,
3.7,6431.7081,
3.8,6434.9275,
3.9,6352.9228,
4.02,6414.4028,
4.13,6481.5182,
4.23,6481.3455,
4.34,6432.4359,
4.44,6432.4359,
4.56,6432.4359,
4.66,6432.4359,
4.76,6544.19,
4.87,6542.2277,
4.97,6530.0413,
5.07,6323.0218,
5.17,6463.7975,
5.28,6457.4223,
5.38,6453.4993,
5.5,6484.1488,
5.6,6534.5134,
5.7,6808.5656,
5.8,6802.0846,
5.91,6531.0384,
6.02,6545.9678,
6.13,6471.925,
6.23,6471.925,
6.33,6471.925,
6.43,6443.0038,
6.54,6471.925,
6.65,6461.0988,
6.75,6461.0988,
6.85,6461.0988,
6.95,6432.1776,
7.05,6432.1776,
7.16,6444.2322,
7.26,6486.959,
7.38,6486.959,
7.48,6486.959,
7.59,6567.0673,
7.7,6516.3254,
7.81,6576.875,
7.91,6408.9408,
8.02,6404.3714,
8.12,6404.3714,
8.23,6522.063,
8.33,6561.7108,
8.43,6573.9343,
8.55,6546.1459,
8.65,6552.4043,
8.75,6552.4043,
8.85,6572.4084,
8.96,6538.8375,
9.06,6612.0559,
9.16,6496.6645,
9.28,6496.6645,
9.38,6580.9317,
9.5,6540.8827,
9.6,6540.8827,
9.71,6541.9084,
9.82,6518.4385,
9.92,6568.8404,
10.03,6548.6368,
10.14,6548.6368,
10.24,6553.9758,
10.34,6550.6866,
10.46,6543.0975,
10.57,6543.0975,
10.67,6406.9575,
10.77,6410.0701,
10.88,6407.2714,
10.98,6426.404,
11.11,6392.1042,
11.23,6382.3686,
11.34,6389.5101,
11.44,6420.0542,
11.55,6420.0542,
11.66,6395.6765,
11.76,6395.6765,
11.88,6378.0565,
12.0,6381.2438,
12.11,6395.2915,
12.21,6381.2438,
12.32,6385.1738,
12.43,6386.4315,
12.53,6386.4315,
12.63,6374.9779,
12.74,6428.8762,
12.85,6483.3295,
12.95,6365.1495,
13.05,6375.0409,
13.15,6381.4922,
13.26,6415.792,
13.36,6398.6723,
13.46,6407.9134,
13.57,6384.7055,
13.67,6384.7055,
13.78,6384.7055,
13.89,6384.9368,
13.99,6384.9368,
14.09,6384.7055,
14.2,6419.368,
14.3,6421.1801,
14.41,6414.2781,
14.52,6414.2781,
14.64,6447.035,
14.75,6447.035,
14.86,6469.166,
14.96,6438.3099,
15.07,6438.3099,
15.17,6467.2311,
15.27,6467.2311,
15.38,6458.5644,
15.48,6425.2776,
15.6,6408.0314,
15.71,6373.7316,
15.81,6364.4473,
15.91,6363.4428,
16.01,6358.6453,
16.12,6387.5665,
16.22,6376.5635,
16.33,6375.512,
16.43,6381.2801,
16.54,6376.2423,
16.64,6392.4122,
16.75,6380.8387,
16.85,6375.8009,
16.96,6484.4908,
17.06,6489.9478,
17.16,6483.9204,
17.27,6478.6026,
17.38,6478.6026,
17.48,6487.7004,
17.59,6478.6026,
17.7,6482.8796,
17.8,6425.1299,
17.91,6402.1322,
18.02,6461.1855,
18.13,6445.9652,
18.24,6492.6368,
18.34,6508.895,
18.45,6180.2556,
18.56,6189.1475,
18.67,6189.1475,
18.77,6189.1475,
18.89,6213.9791,
18.99,6213.9791,
19.09,6216.4217,
19.2,6216.7071,
19.3,6215.3597,
19.41,6210.1383,
19.52,6210.1383,
19.62,6210.1383,
19.72,6212.1085,
19.82,6212.1085,
19.92,6218.6773,
20.03,6214.5698,
20.14,6212.8965,
20.25,6183.4531,
20.35,6183.4531,
20.45,6174.1907,
20.55,6174.4562,
20.66,6174.4562,
20.76,6174.4562,
20.88,6174.4562,
20.98,6174.4562,
21.09,6174.4562,
21.19,6185.8624,
21.3,6189.4105,
21.41,6187.0679,
21.51,6188.7442,
21.62,6188.7442,
21.73,6189.0381,
21.84,6217.1121,
21.95,6216.1112,
22.05,6212.0037,
22.16,6199.0306,
22.26,6199.0306,
22.37,6199.0306,
22.47,6201.1679,
22.57,6205.2308,
22.68,6207.201,
22.78,6223.9214,
22.88,6223.9214,
22.98,6216.2205,
23.1,6216.2205,
23.21,6201.0045,
23.31,6201.0045,
23.41,6206.7352,
23.52,6206.7352,
23.63,6201.0045,
23.74,6201.0045,
23.84,6204.5979,
23.95,6204.5979,
24.05,6184.3563,
24.15,6170.7359,
24.3,6170.7359,
24.41,6191.985,
24.52,6204.6526,
24.62,6204.6526,
24.73,6204.6526,
24.83,6204.6526,
24.93,6204.6526,
25.04,6214.3315,
25.16,6214.3315,
25.26,6214.3315,
25.37,6197.601,
25.48,6214.4347,
25.59,6206.0534,
25.69,6192.267,
25.8,6192.267,
25.94,6185.4577,
26.05,6177.0053,
26.15,6181.1128,
26.26,6181.1128,
26.36,6181.1128,
26.49,6181.1128,
26.59,6238.5857,
26.69,6194.3932,
26.8,6194.3932,
26.9,6209.3038,
27.03,6220.7094,
27.13,6224.523,
27.23,6213.8217,
27.34,6213.8217,
27.45,6213.8217,
27.55,6213.8217,
27.65,6213.8217,
27.76,6200.6146,
27.87,6225.9348,
27.97,6193.0979,
28.07,6276.1525,
28.18,6280.8964,
28.28,6280.8964,
28.39,6280.8964,
28.49,6277.0828,
28.6,6277.0828,
28.7,6281.9773,
28.8,6281.9773,
28.91,6281.9773,
29.01,6290.8692,
29.11,6290.8692,
29.24,6281.1903,
29.35,6281.1903,
29.45,6281.1903,
29.56,6281.1903,
29.67,6281.1903,
29.77,6281.1903,
29.87,6281.1903,
29.98,6281.1903,
30.08,6281.1903,
30.18,6281.1903,
30.29,6281.1903,
30.39,6281.1903,
30.5,6281.1903,
30.6,6281.1903,
30.71,6280.6309,
30.81,6290.8692,
30.92,6276.5133,
31.03,6276.5133,
31.13,6276.5133,
31.23,6268.7321,
31.33,6282.5185,
31.44,6268.7321,
31.54,6268.7321,
31.65,6282.5185,
31.75,6282.5185,
31.85,6288.1746,
31.96,6288.1746,
32.61,5955.0833,
