elapsed_sec,best_cost,improvement_pct
0.1,5570.8144,
0.2,5533.8043,
0.3,5377.2362,
0.41,5376.811,
0.51,5378.9382,
0.61,5378.9382,
0.71,5378.9382,
0.81,5378.9382,
0.91,5378.9382,
1.01,5312.2484,
1.11,5312.2484,
1.21,5312.2484,
1.32,5310.1212,
1.42,5310.1212,
1.52,5310.1212,
1.62,5310.1212,
1.72,5305.5235,
1.83,5305.5235,
1.93,5305.5235,
2.03,5305.5235,
2.13,5305.5235,
2.23,5305.5235,
2.34,5305.5235,
2.44,5305.5235,
2.54,5305.5235,
2.64,5305.5235,
2.74,5305.5235,
2.84,5305.5235,
2.94,5305.5235,
3.05,5305.5235,
3.15,5305.5235,
3.25,5305.5235,
3.35,5305.5235,
3.45,5305.5235,
3.55,5305.5235,
3.67,5835.1472,
3.78,5951.9357,
3.88,6044.5986,
3.98,6073.9496,
4.08,5815.2368,
4.19,5816.7666,
4.29,5816.7666,
4.39,5817.4451,
4.5,5809.8957,
4.6,5813.0726,
4.7,5813.5292,
4.8,5813.6846,
4.9,5807.3847,
5.0,5804.0448,
5.1,5804.5916,
5.2,5804.4362,
5.3,5804.5916,
5.4,5804.4362,
5.5,5804.0448,
5.61,5803.8894,
5.71,5579.3924,
5.81,5573.2429,
5.92,5573.2429,
6.02,5573.2429,
6.13,5573.2429,
6.24,5573.2429,
6.34,5573.2429,
6.44,5573.2429,
6.54,5573.2429,
6.64,5439.0268,
6.74,5439.0268,
6.84,5431.5093,
6.94,5431.5093,
7.04,5431.5093,
7.14,5431.5093,
7.25,5431.5093,
7.35,5431.5093,
7.5,6494.8291,
7.6,6463.0085,
7.7,6240.3674,
7.8,6159.1456,
7.9,6158.4331,
8.0,6158.4331,
8.1,6140.0602,
8.2,6135.9496,
8.3,6137.5983,
8.4,6134.9562,
8.5,6134.9562,
8.61,6121.2713,
8.71,6111.3642,
8.81,6109.6583,
8.91,6109.6583,
9.01,6109.6583,
9.11,6109.6583,
9.21,6109.6583,
9.32,6101.2501,
9.42,6101.2501,
9.52,6101.2501,
9.62,6101.2501,
9.72,6101.2501,
9.82,6101.2501,
9.92,6101.2501,
10.03,6101.2501,
10.13,6101.2501,
10.23,6101.2501,
10.33,6101.2501,
10.43,6101.2501,
10.53,6101.2501,
10.63,6101.2501,
10.73,6101.2501,
10.93,6165.3437,
11.03,6200.6328,
11.13,6163.9105,
11.23,6040.3446,
11.33,5966.0898,
11.43,5966.0898,
11.53,5961.3441,
11.63,5956.7137,
11.73,5956.7137,
11.84,5956.7137,
11.94,5956.7137,
12.04,5956.7137,
12.14,5956.7137,
