elapsed_sec,best_cost,improvement_pct
0.13,5793.243,
0.29,5795.492,
0.4,5795.492,
0.52,5800.3846,
0.63,5805.0162,
0.74,5796.8755,
0.85,5805.0162,
0.96,5802.871,
1.07,5793.9432,
1.18,5840.6067,
1.29,5796.8755,
1.4,5790.7851,
1.51,5829.7867,
1.62,5789.2715,
1.72,5835.9959,
1.83,5832.5615,
1.94,5834.7067,
2.05,5843.0113,
2.16,5825.6533,
2.27,5824.6999,
2.38,5843.9699,
2.48,5867.9899,
2.59,5816.4549,
2.7,5787.1345,
2.81,5788.3263,
2.92,5785.3539,
3.03,5763.1127,
3.14,5762.9918,
3.25,5742.6708,
3.36,5690.5101,
3.47,5723.4243,
3.58,5691.8228,
3.69,5690.631,
3.8,5694.0654,
3.9,5693.5022,
4.01,5690.5101,
4.12,5694.0654,
4.23,5690.5101,
4.33,5691.8228,
4.44,5690.631,
4.55,5694.0654,
4.66,5693.5022,
4.76,5690.5101,
4.87,5694.0654,
4.97,5690.5101,
5.09,5723.5308,
5.21,5722.339,
5.32,5725.7734,
5.43,5725.2102,
5.54,5722.2181,
5.66,5725.7734,
5.78,5722.2181,
5.89,5690.5101,
5.99,5690.631,
6.1,5694.0654,
6.2,5693.5022,
6.3,5690.5101,
6.4,5694.0654,
6.51,5690.5101,
6.62,5731.3454,
6.72,5691.8228,
6.82,5690.631,
6.92,5690.5101,
7.03,5693.9258,
7.13,5693.5022,
7.23,5698.3929,
7.34,5690.5101,
7.44,5690.631,
7.54,5693.5022,
7.65,5690.631,
7.75,5690.5101,
7.86,5694.0654,
7.96,5690.5101,
8.06,5731.0253,
8.19,5686.2276,
8.32,5690.2906,
8.45,5687.2985,
8.58,5729.8379,
8.69,5729.3967,
8.82,5777.6322,
8.95,5740.4586,
9.07,5738.1138,
9.17,5736.922,
9.3,5795.342,
9.43,5758.5207,
9.56,5758.5207,
9.69,5762.0573,
9.82,5759.7125,
9.95,5791.4349,
10.05,5758.5207,
10.18,5769.2279,
10.29,5809.9381,
10.4,5770.5406,
10.5,5770.4197,
10.63,5772.6436,
10.74,5769.2279,
10.84,5812.0062,
10.95,5808.8754,
11.05,5848.9145,
11.16,5744.3484,
11.29,5745.4193,
11.42,5747.6432,
11.53,5744.2275,
11.63,5711.9216,
11.76,5711.9216,
11.88,5713.2343,
12.01,5711.9216,
12.13,5711.9216,
12.26,5711.9216,
12.39,5775.2332,
12.52,5742.319,
12.65,5745.1787,
12.75,5745.3111,
12.88,5782.3581,
13.02,5750.5399,
13.12,5805.9623,
13.25,5775.0086,
13.38,5766.5934,
13.51,5768.8173,
