elapsed_sec,best_cost,improvement_pct
0.1,7685.2206,
0.2,8071.9303,
0.31,8101.3461,
0.41,7780.2693,
0.51,7836.6486,
0.61,7927.6257,
0.71,7258.8773,
0.81,7627.3914,
0.92,7611.3174,
1.02,7483.3574,
1.12,7752.0518,
1.23,7682.0014,
1.33,8334.0983,
1.44,8014.4488,
1.54,7880.3766,
1.64,8075.9114,
1.74,7780.7675,
1.84,7418.2551,
1.94,8087.5035,
2.04,7877.363,
2.14,7954.2458,
2.24,7589.3478,
2.34,7580.1837,
2.45,7474.4092,
2.55,7875.1366,
2.65,7566.3613,
2.75,7563.8447,
2.85,7505.5063,
2.95,7531.7305,
3.06,7423.5649,
3.16,7661.8358,
3.27,7650.9759,
3.37,8247.8632,
3.48,7156.6437,
3.58,7290.3051,
3.68,7009.8059,
3.81,6979.94,
3.91,6950.5488,
4.01,6957.8543,
4.11,6825.6002,
4.21,6924.067,
4.31,7007.0954,
4.41,7263.4527,
4.52,7014.4883,
4.62,7020.7386,
4.73,7287.5606,
4.83,7440.2022,
4.93,7343.0111,
5.03,7651.6589,
5.13,7301.9388,
5.23,7056.0343,
5.33,7263.8052,
5.43,7267.8956,
5.53,6982.9415,
5.63,6848.1376,
5.73,6827.6511,
5.84,6830.9001,
5.94,7169.9284,
6.04,7116.9689,
6.14,7258.1635,
6.24,7260.4216,
6.34,7281.3932,
6.44,7400.4128,
6.54,7331.2794,
6.65,7402.3341,
6.75,7707.8468,
6.85,7054.5056,
6.95,6955.6849,
7.05,6892.7706,
7.15,7136.8256,
7.25,6963.8623,
7.36,6951.6553,
7.46,7297.1003,
7.56,7211.3867,
7.66,7477.2048,
7.76,7301.1742,
7.86,7402.2927,
7.96,7287.6943,
8.06,6966.9364,
8.16,7012.4892,
8.27,6957.0038,
8.37,7017.6256,
8.47,7038.0738,
8.57,7339.3665,
8.67,6991.8324,
8.77,6922.9862,
8.87,7262.2415,
8.97,7266.2559,
9.21,7283.33,
9.31,7362.1674,
9.41,7714.2226,
9.51,7261.9661,
9.61,7179.2912,
9.71,6982.5958,
9.81,6924.2115,
9.91,6916.6002,
10.01,6850.62,
10.11,6907.3495,
10.21,6812.2744,
10.31,6852.148,
10.42,6889.5847,
10.53,6873.8973,
10.63,6879.0938,
10.73,6752.1036,
10.84,7050.6453,
10.94,7309.1452,
11.04,6957.3015,
11.14,7008.1319,
11.24,6959.0413,
11.34,6856.2895,
11.44,7226.3323,
11.54,7292.1876,
11.64,7724.9369,
11.75,7691.9552,
11.85,7585.2947,
11.95,7389.8917,
12.05,7482.8928,
12.15,7850.846,
12.26,7444.2084,
12.36,7417.585,
12.46,7461.4872,
12.56,7088.0655,
12.66,6973.7264,
12.76,6933.0993,
12.87,6974.2819,
12.97,7073.6305,
13.07,6957.0773,
13.17,7388.4403,
13.28,7559.6526,
13.39,7451.9159,
13.49,7507.0758,
13.59,7127.1343,
13.69,7398.2279,
13.79,7470.3465,
13.89,7199.8415,
13.99,7246.2713,
14.09,7357.145,
14.2,7105.8705,
14.3,6955.8171,
14.4,7315.6804,
14.5,7169.9021,
14.6,7203.8285,
14.7,6908.0656,
14.8,6907.3755,
14.91,7241.3656,
15.02,7493.1139,
15.12,7591.5375,
15.22,7231.1805,
15.32,7215.6657,
15.42,7314.0018,
15.52,7201.6697,
15.63,7041.1538,
15.73,7057.2346,
15.83,7034.7726,
15.93,7043.1012,
16.03,7418.0422,
16.14,6763.1794,
16.24,7114.4361,
16.34,6858.1969,
16.44,7263.457,
16.54,6816.4992,
16.64,6924.8286,
16.74,6802.2908,
16.84,6973.2969,
17.03,6995.9465,
17.13,6918.2024,
17.23,6783.4224,
17.33,6631.4887,
17.43,6760.8425,
17.53,6758.9359,
17.63,6813.2228,
17.74,7294.9794,
17.84,6934.0114,
17.94,7808.5716,
18.04,7141.0133,
18.14,7145.4022,
18.24,7298.6859,
18.34,7271.9678,
18.44,7167.7437,
18.54,7178.6233,
18.64,7084.0353,
18.74,7323.1396,
18.84,6972.8176,
18.94,7056.3367,
19.04,7077.0745,
19.14,6732.9017,
19.24,6685.2063,
19.34,6777.9934,
