elapsed_sec,best_cost,improvement_pct
0.11,5479.7561,
0.24,5480.506,
0.36,5479.7561,
0.47,5486.8961,
0.59,5484.817,
0.72,5521.0294,
0.83,5479.7561,
0.95,5479.7561,
1.07,5486.1857,
1.18,5479.7561,
1.3,5479.7561,
1.42,5479.7561,
1.56,5479.7561,
1.67,5479.7561,
1.79,5486.8703,
1.91,5475.8543,
2.03,5479.7561,
2.14,5479.7561,
2.27,5477.0217,
2.38,5474.9123,
2.49,5481.3419,
2.61,5478.8141,
2.73,5478.8141,
2.84,5477.0217,
2.95,5516.4113,
3.05,5481.3419,
3.16,5478.8141,
3.26,5478.8141,
3.37,5478.8141,
3.49,5474.9123,
3.61,5475.8543,
3.73,5475.8543,
3.85,5479.7561,
3.97,5475.8543,
4.08,5482.9685,
4.2,5475.8543,
4.32,5486.8961,
4.44,5474.9123,
4.56,5516.1856,
4.68,5474.9123,
4.8,5521.803,
4.92,5477.0217,
5.02,5474.9123,
5.12,5474.9123,
5.25,5474.9123,
5.36,5502.3194,
5.47,5504.4288,
5.59,5538.6416,
5.71,5541.4112,
5.82,5542.2892,
5.93,5487.9782,
6.04,5478.8684,
6.16,5479.6183,
6.26,5489.5229,
6.38,5478.8684,
6.49,5482.7702,
6.6,5478.8684,
6.72,5475.9787,
6.84,5475.9787,
6.97,5479.0321,
7.09,5487.0205,
7.21,5479.0321,
7.31,5475.9787,
7.44,5475.9787,
7.55,5519.2561,
7.68,5487.0205,
7.79,5520.3054,
7.9,5476.7286,
8.0,5479.0321,
8.12,5488.415,
8.24,5496.7141,
8.38,5526.1112,
8.5,5523.2587,
8.63,5482.7353,
8.74,5481.9854,
8.85,5525.857,
8.95,5481.9854,
9.07,5482.9339,
9.17,5487.0205,
9.3,5476.7286,
9.41,5482.4083,
9.55,5517.252,
9.67,5475.9787,
9.78,5490.5887,
9.89,5479.8805,
10.01,5476.7286,
10.12,5475.9787,
10.24,5475.9787,
10.36,5489.6077,
10.47,5479.8805,
10.59,5486.6869,
10.7,5517.252,
10.84,5475.9787,
10.94,5475.9787,
11.04,5489.6077,
11.18,5486.6869,
11.28,5517.252,
11.39,5475.9787,
11.51,5475.9787,
11.62,5489.6077,
11.74,5486.6869,
11.86,5517.252,
11.98,5519.8503,
12.1,5479.8805,
12.21,5487.0205,
12.32,5475.9787,
12.43,5475.9787,
12.53,5475.9787,
12.63,5479.0321,
12.74,5479.8805,
12.84,5475.9787,
12.95,5475.9787,
13.07,5475.9787,
13.18,5519.8503,
13.29,5475.9787,
13.4,5487.0205,
13.51,5475.9787,
13.66,5475.9787,
13.78,5517.252,
13.89,5475.9787,
14.0,5487.0205,
14.12,5476.7286,
14.24,5520.9924,
14.35,5513.4961,
14.48,5475.9787,
14.61,5479.8805,
14.73,5475.9787,
14.83,5475.9787,
14.94,5475.9787,
15.07,5517.252,
15.19,5482.8843,
15.3,5482.8843,
15.41,5482.8843,
15.51,5482.8843,
15.64,5482.8843,
15.76,5482.8843,
15.86,5482.8843,
15.97,5527.08,
16.08,5527.2711,
16.22,5522.8694,
16.34,5479.8805,
16.47,5530.4932,
16.58,5479.8805,
16.68,5479.8805,
16.81,5482.8843,
16.93,5524.3833,
17.03,5482.8843,
17.17,5527.898,
17.28,5482.8843,
17.4,5520.4017,
17.52,5490.0243,
17.62,5479.8805,
17.75,5522.8694,
17.85,5524.8942,
17.95,5489.6077,
18.05,5487.0205,
18.17,5479.8805,
18.28,5524.3833,
18.38,5526.7559,
18.49,5485.9377,
18.6,5490.0243,
18.71,5493.5925,
18.83,5482.8843,
18.96,5482.8843,
19.07,5482.8843,
19.19,5485.9377,
19.32,5492.6115,
19.43,5520.4017,
19.54,5533.497,
19.66,5523.7521,
19.77,5479.8805,
19.88,5479.8805,
19.98,5479.8805,
20.1,5482.8843,
20.2,5482.8843,
20.32,5524.3833,
20.45,5482.8843,
20.57,5527.898,
20.68,5479.8805,
20.78,5479.8805,
20.88,5521.1538,
21.0,5479.8805,
21.1,5479.8805,
21.23,5482.9339,
21.35,5517.3979,
21.45,5530.4932,
21.57,5479.8805,
21.67,5479.8805,
21.79,5482.9339,
21.89,5479.8805,
22.01,5521.1538,
22.13,5479.8805,
22.26,5479.8805,
22.36,5479.8805,
22.49,5479.8805,
22.61,5482.8843,
22.72,5482.8843,
22.82,5482.8843,
22.92,5482.8843,
23.05,5482.8843,
23.16,5479.8805,
23.28,5527.2711,
23.38,5523.7521,
23.48,5482.9339,
23.6,5520.4017,
23.72,5492.6115,
23.82,5530.2749,
23.92,5526.7559,
24.04,5485.9377,
24.15,5479.8805,
24.26,5479.8805,
24.38,5517.3979,
24.5,5521.3795,
24.6,5523.7521,
24.72,5479.8805,
24.83,5479.8805,
24.94,5493.5925,
25.06,5482.8843,
25.16,5482.8843,
25.28,5482.8843,
25.38,5482.8843,
25.49,5489.6077,
25.61,5479.8805,
