elapsed_sec,best_cost,improvement_pct
0.18,5486.8703,
0.28,5486.8703,
0.38,5486.8703,
0.48,5574.3498,
0.58,5574.3498,
0.68,5948.4594,
0.79,5905.479,
0.89,5888.9949,
1.0,5889.9119,
1.11,5951.1458,
1.23,5984.2059,
1.34,5983.1034,
1.44,6008.5359,
1.54,6087.9333,
1.64,6049.6328,
1.74,6128.8465,
1.85,6125.2859,
1.95,6121.2053,
2.05,6106.2665,
2.16,6089.4433,
2.26,6088.5787,
2.38,6116.5757,
2.48,6075.9685,
2.6,5795.4271,
2.71,5802.3996,
2.81,5792.8211,
2.93,5804.2086,
3.05,5798.4749,
3.15,5808.3977,
3.26,5800.4744,
3.37,5800.2163,
3.47,5799.5614,
3.57,5795.3499,
3.67,5800.8027,
3.77,5755.334,
3.87,5754.6702,
3.97,5711.6208,
4.07,5803.6285,
4.18,5808.6945,
4.29,5806.5164,
4.39,5790.5486,
4.51,5814.2847,
4.62,6158.2244,
4.73,6115.6793,
4.83,6113.0733,
4.93,6173.8566,
5.04,6204.8673,
5.14,6211.1492,
5.24,6170.0108,
5.35,5926.1048,
5.46,5926.1048,
5.56,5923.0694,
5.66,5911.7291,
5.77,5910.2702,
5.87,5917.414,
5.97,5917.3418,
6.09,5916.0006,
6.2,5904.1108,
6.31,5901.5048,
6.43,5908.6212,
6.53,5900.1145,
6.63,5956.6417,
6.73,5973.8598,
6.84,6006.2807,
6.94,5995.7155,
7.04,5993.5475,
7.14,5945.6528,
7.25,5948.5441,
7.35,5952.0989,
7.45,5953.9514,
7.56,5946.5758,
7.67,5937.8854,
7.77,5937.8854,
7.87,5929.0503,
7.97,5928.679,
8.08,5932.0484,
8.19,5917.6102,
8.31,5928.7333,
8.41,5796.677,
8.51,6172.3112,
8.62,6182.9143,
8.72,5727.986,
8.82,5733.5545,
8.92,5727.1182,
9.03,5723.0307,
9.13,5694.1731,
9.25,5694.1731,
9.35,5697.2479,
9.46,5734.262,
9.57,5751.8528,
9.67,5751.8528,
9.77,5475.959,
9.89,5475.959,
10.01,5475.959,
10.11,5475.959,
10.22,5555.0818,
10.32,5547.6174,
10.42,5537.4073,
10.53,5540.0133,
10.64,5901.2043,
10.76,5884.3693,
10.87,5881.7466,
11.0,5893.105,
11.1,5891.5704,
11.2,5778.5526,
11.31,5777.6477,
11.41,5772.5586,
11.51,5762.8015,
11.61,5768.317,
11.71,5782.1961,
11.81,5777.78,
11.91,5788.7432,
12.02,5788.7432,
12.12,5788.7432,
12.23,5781.9242,
12.33,5842.3562,
12.44,5849.3329,
12.54,5849.3329,
12.66,5883.1431,
12.76,5852.9903,
12.86,5852.9903,
12.98,5852.1884,
13.1,5852.1884,
13.2,5905.8496,
13.3,5909.6569,
13.4,5909.6569,
13.51,5890.4606,
13.61,5871.8053,
13.72,5840.0899,
13.83,5840.0899,
13.95,5842.9641,
14.05,5843.4858,
14.18,5843.4858,
14.28,5856.6946,
14.38,5836.2322,
14.49,5825.4423,
14.6,5825.4423,
14.7,5859.3402,
14.8,6134.8107,
14.9,6171.603,
15.01,6138.4925,
15.11,6151.98,
15.21,6243.3751,
15.31,6202.5676,
15.42,6213.206,
15.52,6213.206,
15.62,6197.105,
15.72,6167.8321,
15.82,6183.9757,
15.94,6176.7206,
16.05,5883.9849,
16.15,5885.158,
16.27,5883.532,
16.39,5883.532,
16.49,5865.0863,
16.61,5859.0584,
16.73,5879.302,
16.83,5811.4527,
16.93,5755.6666,
17.03,5775.861,
17.15,5775.861,
17.25,5819.7386,
17.35,5808.2501,
17.47,5801.5633,
17.57,5770.8831,
17.67,5753.7667,
17.78,5808.6847,
17.89,5800.655,
17.99,5815.4373,
18.09,5799.2839,
18.19,5762.9063,
18.29,5804.4162,
18.4,5802.1644,
18.5,5792.1553,
18.61,5803.9933,
18.71,5785.1769,
18.84,5790.9994,
18.96,5785.8416,
19.06,5801.884,
19.16,5796.1699,
19.26,5803.3801,
19.36,5790.9156,
19.46,5833.9454,
19.56,5801.8384,
19.68,5809.3925,
19.78,5811.9728,
19.89,5804.1166,
20.01,5800.2244,
20.12,5805.3822,
20.22,5817.9621,
20.32,5834.0038,
20.43,5834.0038,
20.53,5830.2029,
20.63,5825.0792,
20.73,5827.5243,
20.84,5857.0191,
20.95,5848.6189,
21.05,5856.3391,
21.15,5845.064,
21.25,5837.4,
21.35,5841.2239,
21.47,5882.1097,
21.57,5883.1005,
21.68,5876.2062,
21.79,5877.709,
21.89,5884.7344,
21.99,5892.1474,
22.09,5880.3453,
22.2,5882.5637,
22.3,5891.783,
22.4,5900.683,
22.51,5886.8444,
22.61,5882.9178,
22.73,5855.7112,
22.85,5855.7112,
22.95,5862.5244,
23.05,5846.5693,
23.16,5859.5048,
23.26,5859.5048,
23.37,5861.5527,
23.47,5844.0594,
23.57,5842.2614,
23.67,5836.7161,
23.77,5852.0949,
23.88,5836.0572,
23.98,5793.1365,
24.08,5798.5747,
24.2,5798.5747,
24.31,5791.3156,
24.41,5788.6102,
24.51,5791.3156,
24.61,5791.3156,
24.71,5794.0878,
24.81,5794.9878,
24.93,5791.0162,
25.18,5489.8407,
25.29,5507.3073,
25.4,5492.6952,
25.5,5477.8346,
25.6,5477.8346,
25.7,5486.6239,
25.82,5801.6448,
25.95,6112.5263,
26.05,6142.422,
26.16,6190.0428,
26.26,6286.8886,
26.37,6197.4194,
26.49,6197.4194,
26.59,6189.6748,
26.69,6479.4527,
26.79,6239.5696,
26.9,6168.1067,
27.01,6173.3071,
27.12,6119.5295,
27.22,6124.2105,
27.32,6124.2105,
27.42,6050.8904,
27.52,6053.4964,
27.62,6072.2088,
27.72,6067.8084,
27.83,6071.8004,
27.93,6059.6163,
28.04,6055.2209,
28.15,6118.0218,
28.25,6116.565,
28.36,6179.0924,
28.46,6198.1571,
28.58,6186.5177,
28.68,6177.5394,
28.78,6170.636,
28.93,6156.1639,
29.03,6153.5579,
29.13,6138.4853,
29.25,6155.036,
29.36,6164.409,
29.47,6151.777,
29.57,6169.1628,
29.67,6137.5786,
29.78,6140.8969,
29.88,6199.1367,
29.99,6199.8143,
30.11,5868.9628,
30.21,5920.6326,
30.31,5964.6193,
30.42,5962.3508,
30.53,5972.3082,
30.63,5969.2171,
30.76,6007.3111,
30.86,6240.9042,
30.97,6019.0099,
31.08,6014.3751,
31.18,6019.0099,
31.29,5997.4363,
31.41,5997.4363,
31.52,6015.0152,
31.62,6047.595,
31.73,6047.595,
31.83,6051.4298,
31.94,6054.953,
32.05,6050.2769,
32.17,6362.8569,
32.27,6635.9249,
32.37,6327.2485,
32.49,6330.2908,
32.6,6356.8907,
32.7,6310.858,
32.82,6327.6029,
32.93,6343.9537,
33.03,6360.7515,
33.15,6371.345,
33.25,6360.7515,
33.35,6403.0681,
33.47,6331.7891,
33.59,6286.3507,
33.7,6305.3031,
33.8,6306.7036,
33.9,6333.9479,
34.0,6251.3818,
34.11,6245.5542,
34.21,6246.8015,
34.32,6244.6707,
34.42,6271.2988,
34.53,6271.2988,
34.63,6246.2251,
35.19,6246.2251,
35.3,6205.9876,
35.4,6330.673,
35.5,6310.0167,
35.6,6322.3751,
35.7,6354.3456,
35.82,6286.2173,
35.94,6356.8336,
36.06,6334.3947,
36.16,6440.1555,
36.28,6326.1769,
36.4,6410.284,
36.5,6415.3406,
36.6,6431.316,
36.7,6438.9056,
36.8,6425.2521,
36.9,6448.8163,
37.03,6294.5122,
37.13,6279.2324,
37.23,6317.1303,
37.34,6314.8828,
37.45,6271.5928,
37.55,5859.8751,
37.65,5851.1178,
37.75,5865.4629,
37.85,5861.8374,
37.96,5864.28,
38.06,5826.1647,
38.17,5816.8275,
38.28,6171.9477,
38.38,6201.7716,
38.48,6140.6029,
38.58,6149.3602,
38.69,6131.0224,
38.8,6126.2205,
38.92,6110.6554,
39.02,6103.7703,
39.12,6128.304,
39.22,6128.3782,
39.33,6129.2603,
39.43,6132.6856,
39.53,6121.7605,
39.63,6124.2056,
39.75,6121.7605,
39.85,6136.4503,
39.95,5805.048,
40.07,5805.048,
40.18,5805.048,
40.28,5814.4811,
40.38,5816.9262,
40.49,5808.0484,
40.59,5735.2279,
40.7,5725.7378,
40.81,5728.1829,
40.93,5725.7378,
41.03,5727.8634,
41.15,5733.8062,
41.26,5733.8062,
41.36,5740.9582,
41.46,5760.3086,
41.57,5793.195,
41.67,5806.4435,
41.77,5786.4484,
41.88,5788.4614,
41.98,5788.7596,
42.08,5778.9774,
42.19,5760.9414,
42.29,5451.4647,
42.39,5449.7422,
42.5,5451.567,
42.6,5451.567,
42.71,5450.9571,
42.83,5450.9571,
42.94,5454.1061,
43.04,5454.1061,
43.14,5454.1061,
43.24,5459.6543,
43.34,5459.6543,
43.47,5443.2785,
43.57,5440.8403,
43.68,5444.1144,
43.8,5449.6907,
43.91,5457.1617,
44.02,5457.1617,
44.12,5454.5044,
44.24,5456.8488,
44.34,5456.8488,
44.45,5435.9677,
44.55,5428.1454,
44.69,5433.2443,
44.79,5480.0883,
44.9,5480.0883,
45.0,5482.3851,
45.1,5480.9869,
45.2,5470.3117,
45.31,5470.3117,
45.41,5470.3117,
45.51,5470.3117,
45.61,5468.8624,
45.71,5468.8624,
45.81,5480.9869,
45.91,5480.9869,
46.01,5480.9869,
46.12,5469.7445,
46.23,5455.0214,
46.33,5455.0214,
46.44,5455.0214,
46.54,5483.5321,
46.64,5438.4106,
46.74,5440.3212,
46.85,5411.8105,
46.95,5411.8105,
47.05,5421.9678,
47.16,5421.9678,
47.26,5421.9678,
47.36,5415.0846,
47.46,5420.5142,
47.57,5420.5142,
47.67,5408.9325,
47.77,5408.5448,
47.88,5408.5448,
47.98,5416.2639,
48.08,5477.5564,
48.19,5471.6888,
48.3,5453.6945,
48.4,5464.2406,
48.51,5463.3404,
48.61,5459.9163,
48.72,5466.9729,
48.84,5479.3965,
48.94,5479.3965,
49.05,5476.3137,
49.16,5482.8775,
49.26,5482.8775,
49.36,5464.5735,
49.47,5453.5602,
49.58,5465.4047,
49.68,5466.2013,
49.78,5477.8874,
49.89,5462.0913,
50.0,5462.0913,
50.11,5463.1672,
50.22,5446.1175,
50.32,5461.3456,
50.43,5438.9786,
50.53,5440.7011,
50.65,5442.5283,
50.75,5442.5283,
50.85,5448.3451,
50.96,5448.3451,
51.06,5448.3451,
51.17,5448.3451,
51.27,5448.9898,
51.38,5448.9898,
51.48,5448.9898,
51.59,5448.3451,
51.69,5448.3451,
51.8,5462.7792,
51.91,5462.7792,
52.01,5462.7792,
52.11,5462.7792,
52.22,5462.7792,
52.32,5465.0099,
52.42,5450.5758,
52.52,5448.7486,
52.63,5451.2205,
52.73,5452.2492,
52.83,5451.6045,
52.93,5451.6045,
53.03,5451.6045,
53.14,5451.6045,
53.24,5451.6045,
53.36,5451.0095,
53.46,5452.2149,
53.56,5454.0421,
53.66,5452.2149,
53.77,5451.7812,
53.87,5446.6962,
53.97,5454.0225,
54.08,5454.0225,
57.98,5407.1077,
