elapsed_sec,best_cost,improvement_pct
0.18,8691.2812,
0.28,8769.9737,
0.45,8766.32,
0.75,8810.7115,
0.87,8868.5218,
1.0,8908.5725,
1.69,8908.5725,
1.8,8903.6021,
2.27,8903.6021,
2.39,8903.8834,
2.51,8901.5182,
2.62,8901.5182,
2.73,8901.5182,
2.85,8901.5182,
3.0,8908.7247,
3.1,8916.6179,
3.68,8918.7098,
4.18,8918.7098,
4.3,8918.7098,
4.8,8908.5402,
4.9,8927.0088,
5.01,8927.0088,
5.12,8913.1924,
5.25,8913.1924,
5.36,8905.4728,
5.47,8905.4728,
5.61,8903.3589,
5.79,8908.8454,
5.91,8949.9465,
6.58,8949.9465,
6.71,8949.9465,
6.91,8851.7343,
7.5,8844.9271,
7.72,8852.5695,
7.87,8853.0403,
8.02,8872.7663,
8.15,8846.713,
8.35,8846.713,
8.55,8846.713,
9.06,9231.1398,
9.17,9231.1398,
9.35,9273.259,
9.53,9273.259,
9.63,9273.259,
9.74,9270.3953,
9.9,9270.3953,
10.07,9270.3953,
10.2,9270.3953,
10.41,8937.4807,
10.57,8911.4128,
10.7,8911.4128,
10.92,8915.0124,
11.04,8915.0124,
11.14,8915.0124,
11.32,8915.0124,
11.55,8918.1898,
11.74,8967.0293,
11.9,8967.0293,
12.2,8946.9434,
12.33,8834.9354,
12.43,8835.7219,
12.56,8835.7219,
12.82,8835.7219,
12.99,8835.7219,
13.24,8835.7219,
13.37,8879.3436,
13.61,8879.0049,
13.81,8879.0049,
13.92,8875.7103,
14.26,8889.9003,
14.36,8889.9003,
14.5,8885.6199,
14.68,8885.6199,
14.8,8885.6199,
15.02,8882.4789,
15.12,8882.4789,
15.27,8882.4789,
15.38,8883.1939,
15.49,8886.9414,
15.59,8886.9414,
16.24,8886.9414,
16.35,8861.7482,
16.49,8875.8065,
16.66,8875.8065,
16.84,8851.2897,
16.98,8856.4735,
17.11,8900.543,
17.29,8900.543,
17.4,8900.543,
17.63,8897.1441,
18.34,8897.1441,
18.45,8904.0892,
18.56,8904.0892,
18.75,8904.0892,
18.9,8906.3783,
19.13,8902.2397,
19.31,8902.2397,
19.41,8902.2397,
19.53,8902.5567,
19.66,8897.8733,
