elapsed_sec,best_cost,improvement_pct
0.17,16106.3604,
0.27,14948.0258,
0.37,14483.2814,
0.47,14475.0361,
0.57,14417.1307,
0.68,14404.0777,
0.78,14380.8566,
0.89,14370.5681,
0.99,14366.6331,
1.09,14349.0496,
1.19,14340.2152,
1.29,14334.0841,
1.4,14334.0841,
1.5,14332.5876,
1.6,14332.3129,
1.7,14332.3129,
1.8,14332.3129,
1.91,14332.3129,
2.01,14332.3129,
2.11,14332.3129,
2.21,14332.3129,
2.31,14329.4524,
2.41,14329.4524,
2.52,14329.4524,
2.68,14819.5144,
2.78,14295.4472,
2.88,13884.1504,
2.98,13742.8083,
3.09,13743.3974,
3.19,13727.2483,
3.29,13717.5866,
3.39,13701.9208,
3.5,13707.8717,
3.6,13707.2718,
3.71,13705.0508,
3.81,13696.1795,
3.92,13694.5623,
4.02,13691.3916,
4.12,13691.2647,
4.22,13691.2647,
4.32,13691.2647,
4.42,13691.2647,
4.52,13691.2647,
4.63,13691.2647,
4.73,13688.9881,
4.83,13688.9881,
4.93,13688.9881,
5.03,13688.9881,
5.13,13688.9881,
5.45,13800.1909,
5.56,13824.6974,
5.66,13816.1942,
5.76,13761.9173,
5.86,13762.3495,
5.96,13758.3017,
6.06,13751.5371,
6.16,13708.5359,
6.26,13703.9996,
6.36,13656.35,
6.47,13656.35,
6.57,13653.9895,
6.67,13652.5955,
6.77,13652.5955,
6.87,13652.5955,
6.97,13640.762,
7.07,13640.762,
7.17,13640.762,
7.27,13627.1014,
7.38,13627.1014,
7.48,13627.1014,
7.58,13627.1014,
7.68,13627.1014,
7.78,13627.1014,
7.97,15285.4286,
8.07,15426.1212,
8.18,15211.9842,
8.28,15174.257,
8.38,15094.7766,
8.48,14750.7746,
8.58,14318.028,
8.68,14295.998,
8.78,14270.6286,
8.89,14230.1021,
8.99,14186.1535,
9.09,14123.2079,
9.19,14122.6716,
9.29,14073.2997,
9.4,14053.2163,
9.5,14053.2163,
9.6,14045.7367,
9.7,14045.7367,
9.8,14045.7367,
9.9,14045.7367,
10.01,14045.7367,
10.11,14045.7367,
10.21,13998.1793,
10.31,13998.1793,
10.41,13998.1793,
10.61,14414.2593,
10.71,14394.6228,
10.81,14354.0181,
10.91,14287.3617,
11.01,13807.5312,
11.12,12965.038,
11.22,12960.6561,
11.32,12946.6515,
11.42,12932.662,
11.52,12937.1601,
11.62,12924.4318,
11.72,12916.203,
11.82,12916.203,
11.92,12916.0997,
12.02,12916.0997,
12.12,12916.0997,
12.23,12913.6087,
12.33,12913.6087,
12.43,12913.6087,
12.53,12907.5867,
12.63,12902.3551,
12.73,12902.3551,
12.83,12902.3551,
13.01,12902.3551,
13.11,12902.3551,
13.21,12902.3551,
13.31,12902.3551,
13.41,12902.3551,
13.54,13698.7193,
13.64,13722.9419,
13.74,13410.99,
13.84,13413.8798,
13.94,13414.6616,
14.04,13370.2479,
14.14,12882.8402,
14.24,12867.7944,
14.35,12867.7315,
14.45,12860.6948,
14.55,12861.2821,
14.65,12858.2104,
14.75,12858.5676,
14.85,12853.6368,
14.95,12853.6368,
15.06,12853.6368,
15.17,12853.6368,
15.27,12851.1861,
15.37,12851.1861,
15.47,12851.1861,
15.57,12851.1861,
15.67,12851.1861,
