elapsed_sec,best_cost,improvement_pct
0.1,6752.3216,
0.2,6752.3216,
0.3,6752.3216,
0.4,6752.3216,
0.5,6752.3216,
0.6,6752.3216,
0.7,6752.3216,
0.81,6752.3216,
0.91,6752.3216,
1.01,6752.3216,
1.11,6752.3216,
1.21,6752.3216,
1.31,6752.3216,
1.41,6752.3216,
1.51,6752.3216,
1.61,6752.3216,
1.72,6752.3216,
1.82,6752.3216,
1.92,6752.3216,
2.02,6752.3216,
2.12,6752.3216,
2.22,6752.3216,
2.32,6752.3216,
2.42,6752.3216,
2.52,6752.3216,
2.62,6752.3216,
2.73,6752.3216,
2.83,6752.3216,
2.93,6752.3216,
3.03,6752.3216,
3.13,6752.3216,
3.23,6752.3216,
3.33,6752.3216,
3.43,6752.3216,
3.53,6752.3216,
3.64,6752.3216,
3.74,6752.3216,
3.84,6752.3216,
3.94,6752.3216,
4.04,6752.3216,
4.14,6752.3216,
4.24,6752.3216,
4.34,6752.3216,
4.44,6752.3216,
4.54,6752.3216,
4.64,6752.3216,
4.74,6752.3216,
4.84,6752.3216,
4.94,6752.3216,
5.04,6752.3216,
5.14,6752.3216,
5.24,6752.3216,
5.34,6752.3216,
5.45,6752.3216,
5.55,6752.3216,
5.65,6752.3216,
5.75,6752.3216,
5.85,6752.3216,
5.95,6752.3216,
6.05,6752.3216,
6.15,6752.3216,
6.25,6752.3216,
6.35,6752.3216,
6.45,6752.3216,
6.55,6752.3216,
6.65,6752.3216,
6.75,6752.3216,
6.85,6752.3216,
6.95,6752.3216,
7.05,6752.3216,
7.16,6752.3216,
7.26,6752.3216,
7.36,6752.3216,
7.46,6752.3216,
7.56,6752.3216,
7.66,6752.3216,
7.76,6752.3216,
7.86,6752.3216,
7.96,6752.3216,
8.06,6752.3216,
8.16,6752.3216,
8.26,6752.3216,
8.37,6752.3216,
8.47,6752.3216,
8.57,6752.3216,
8.67,6752.3216,
8.77,6752.3216,
8.87,6752.3216,
8.97,6752.3216,
9.07,6752.3216,
9.17,6752.3216,
9.27,6752.3216,
9.37,6752.3216,
9.47,6752.3216,
9.57,6752.3216,
9.67,6752.3216,
9.78,6752.3216,
9.88,6752.3216,
9.98,6752.3216,
10.08,6752.3216,
10.18,6752.3216,
10.28,6752.3216,
10.38,6752.3216,
10.48,6752.3216,
10.58,6752.3216,
10.68,6752.3216,
10.78,6752.3216,
10.89,6752.3216,
10.99,6752.3216,
11.09,6752.3216,
11.19,6752.3216,
11.29,6752.3216,
11.39,6752.3216,
11.49,6752.3216,
11.59,6752.3216,
11.69,6752.3216,
11.79,6752.3216,
11.89,6752.3216,
11.99,6752.3216,
12.09,6752.3216,
12.19,6752.3216,
12.29,6752.3216,
12.39,6752.3216,
12.5,6752.3216,
12.6,6752.3216,
12.7,6752.3216,
12.8,6752.3216,
12.9,6752.3216,
13.0,6752.3216,
13.1,6752.3216,
13.2,6752.3216,
13.3,6752.3216,
13.4,6752.3216,
13.51,6752.3216,
13.61,6752.3216,
13.71,6752.3216,
13.81,6752.3216,
13.91,6752.3216,
14.01,6752.3216,
14.11,6752.3216,
14.22,6752.3216,
14.32,6752.3216,
14.42,6752.3216,
14.52,6752.3216,
14.62,6752.3216,
14.72,6752.3216,
14.82,6752.3216,
14.92,6752.3216,
15.02,6752.3216,
15.12,6752.3216,
15.22,6752.3216,
15.32,6752.3216,
15.42,6752.3216,
15.52,6752.3216,
15.62,6752.3216,
15.72,6752.3216,
15.82,6752.3216,
15.93,6752.3216,
16.03,6752.3216,
16.13,6752.3216,
16.23,6752.3216,
16.33,6752.3216,
16.43,6752.3216,
16.53,6752.3216,
16.63,6752.3216,
16.74,6752.3216,
16.84,6752.3216,
16.94,6752.3216,
17.04,6752.3216,
17.14,6752.3216,
17.24,6752.3216,
17.34,6752.3216,
17.44,6752.3216,
17.54,6752.3216,
17.64,6752.3216,
17.74,6752.3216,
17.84,6752.3216,
17.94,6752.3216,
18.05,6752.3216,
18.15,6752.3216,
18.25,6752.3216,
18.35,6752.3216,
18.45,6752.3216,
18.55,6752.3216,
18.65,6752.3216,
18.75,6752.3216,
18.85,6752.3216,
18.95,6752.3216,
19.05,6752.3216,
19.15,6752.3216,
19.26,6752.3216,
19.36,6752.3216,
19.46,6752.3216,
19.56,6752.3216,
19.66,6752.3216,
19.76,6752.3216,
19.86,6752.3216,
19.96,6752.3216,
20.06,6752.3216,
20.16,6752.3216,
20.26,6752.3216,
20.36,6752.3216,
20.47,6752.3216,
20.57,6752.3216,
20.67,6752.3216,
20.77,6752.3216,
20.87,6752.3216,
20.97,6752.3216,
21.07,6752.3216,
21.17,6752.3216,
21.27,6752.3216,
21.37,6752.3216,
21.48,6752.3216,
21.58,6752.3216,
21.68,6752.3216,
21.78,6752.3216,
21.88,6752.3216,
21.98,6752.3216,
22.08,6752.3216,
22.18,6752.3216,
22.28,6752.3216,
22.38,6752.3216,
22.48,6752.3216,
22.58,6752.3216,
22.68,6752.3216,
22.78,6752.3216,
22.89,6752.3216,
22.99,6752.3216,
23.09,6752.3216,
23.19,6752.3216,
23.34,6752.3216,
23.45,6752.3216,
23.55,6752.3216,
23.65,6752.3216,
23.75,6752.3216,
23.85,6752.3216,
23.95,6752.3216,
24.05,6752.3216,
24.15,6752.3216,
24.25,6752.3216,
24.35,6752.3216,
24.45,6752.3216,
24.55,6752.3216,
24.65,6752.3216,
24.76,6752.3216,
24.86,6752.3216,
24.96,6752.3216,
25.06,6752.3216,
25.16,6752.3216,
25.26,6752.3216,
25.36,6752.3216,
25.46,6752.3216,
25.56,6752.3216,
25.66,6752.3216,
25.76,6752.3216,
25.86,6752.3216,
25.97,6752.3216,
26.07,6752.3216,
26.17,6752.3216,
26.27,6752.3216,
26.37,6752.3216,
26.47,6752.3216,
26.57,6752.3216,
26.67,6752.3216,
26.77,6752.3216,
26.87,6752.3216,
26.97,6752.3216,
27.07,6752.3216,
27.17,6752.3216,
27.27,6752.3216,
27.37,6752.3216,
27.48,6752.3216,
27.58,6752.3216,
27.68,6752.3216,
27.78,6752.3216,
27.88,6752.3216,
27.98,6752.3216,
28.08,6752.3216,
28.18,6752.3216,
28.28,6752.3216,
28.38,6752.3216,
28.49,6752.3216,
28.59,6752.3216,
28.69,6752.3216,
28.79,6752.3216,
28.89,6752.3216,
28.99,6752.3216,
29.09,6752.3216,
29.19,6752.3216,
29.29,6752.3216,
29.4,6752.3216,
29.5,6752.3216,
29.6,6752.3216,
29.7,6752.3216,
29.8,6752.3216,
