elapsed_sec,best_cost,improvement_pct
30.29,6314.1639,
30.39,6401.6687,
30.49,6728.8541,
30.59,6749.0796,
30.7,6984.7111,
30.81,6719.3905,
30.91,6699.2319,
31.01,6927.4273,
31.12,6701.5132,
31.23,6710.1118,
31.33,6974.3145,
31.43,6750.2667,
31.53,6752.7379,
31.64,6774.327,
31.75,6791.2935,
31.85,6609.5113,
31.95,6553.6195,
32.05,6497.4979,
32.15,6454.9603,
32.26,6389.0322,
32.36,6415.6634,
32.46,6440.0306,
32.56,6608.5343,
32.66,6845.0379,
32.77,6750.4605,
32.89,6695.8528,
32.99,6691.9628,
33.09,6706.4584,
33.19,6922.1841,
33.29,6980.7728,
33.39,6832.2971,
33.49,6847.9884,
33.61,6844.3377,
33.71,6896.031,
33.81,6854.3701,
33.92,6678.9305,
34.02,6622.4386,
34.12,6612.9758,
34.23,6639.6104,
34.33,6595.4065,
34.43,6536.3793,
34.53,6512.7771,
34.63,6518.402,
34.73,6497.7923,
34.83,6488.3317,
34.93,6531.024,
35.03,6543.4921,
35.13,6522.4532,
35.23,6041.0294,
35.35,6117.4428,
35.45,6073.1639,
35.55,6077.6273,
35.65,6094.0125,
35.75,6078.3135,
35.86,6134.3333,
35.97,6009.1967,
36.07,6005.2926,
36.17,6014.4422,
36.28,5999.6928,
36.38,5963.9722,
36.49,5972.4152,
36.59,5992.0239,
36.69,5997.8467,
36.79,6005.001,
36.9,6040.7874,
37.0,6040.0999,
37.1,5938.354,
37.21,5922.7742,
37.31,5917.0471,
37.42,5916.9626,
37.52,5982.7377,
37.62,6088.876,
37.73,6045.8684,
37.84,5999.4188,
37.94,5980.4516,
38.04,5985.8656,
38.14,5962.1063,
38.24,5927.945,
38.34,6005.919,
38.45,6084.3179,
38.55,6064.402,
38.65,6062.3221,
38.75,5977.3633,
38.87,6052.7227,
38.98,5946.4787,
39.08,5935.6019,
39.18,5978.0697,
39.28,5966.6763,
39.38,5971.6487,
39.48,5937.3379,
39.59,5936.244,
39.69,5923.745,
39.79,5931.274,
39.89,5945.3084,
40.0,5971.4967,
40.1,5905.9814,
40.2,5967.6848,
40.3,6008.2139,
40.4,5962.2036,
40.5,5983.9963,
40.61,6028.2688,
40.71,6010.6402,
40.81,6039.8787,
40.92,5987.1394,
41.02,5950.106,
41.13,5985.2839,
41.23,5967.8723,
41.33,5946.8565,
41.45,6053.3097,
41.55,6013.0961,
41.65,6014.6769,
41.76,6089.9954,
41.86,6078.7472,
41.96,6066.3028,
42.06,6002.896,
42.17,5940.6181,
42.28,5911.0706,
42.38,5839.4934,
42.49,5829.4659,
42.59,5834.7488,
42.69,5835.4522,
42.79,5834.3332,
42.89,5866.4658,
43.0,5773.7845,
43.1,5810.5427,
43.2,5784.2017,
43.3,5732.0493,
43.4,5750.2651,
43.5,5845.8571,
43.61,5774.8311,
43.71,5779.0035,
43.81,5737.4068,
43.91,5751.501,
44.02,5697.2491,
44.13,5699.6181,
44.23,5745.5195,
44.33,5828.7548,
44.43,5822.4653,
44.54,5793.314,
44.66,5771.378,
44.76,5761.5819,
44.86,5750.1225,
44.96,5735.171,
45.07,5735.8265,
45.17,5743.4668,
45.28,5739.8944,
45.38,5764.0997,
45.48,5758.3848,
45.59,5767.0767,
45.69,5745.0015,
45.79,5744.9494,
45.89,5770.4459,
46.0,5755.8276,
46.1,5715.1043,
46.2,5712.011,
46.31,5679.0506,
46.41,5674.4146,
46.51,5671.5851,
46.61,5662.009,
46.71,5661.2388,
46.81,5661.9063,
46.91,5657.8357,
47.01,5648.6212,
47.12,5648.6212,
47.22,5672.214,
47.32,5668.7229,
47.42,5671.8048,
47.52,5670.8994,
47.63,5668.854,
47.74,5673.1343,
47.84,5685.6605,
47.94,5680.1488,
48.04,5693.2335,
48.15,5678.655,
48.25,5729.6745,
48.35,5717.8753,
48.45,5710.468,
48.56,5720.0026,
48.66,5721.5333,
48.76,5720.0418,
48.86,5714.1172,
48.96,5627.7687,
49.06,5627.7687,
49.16,5633.6933,
49.28,5605.9948,
49.38,5597.0344,
49.48,5594.2676,
49.58,5574.1206,
49.68,5581.1144,
49.79,5577.2111,
49.89,5588.74,
49.99,5588.6906,
50.1,5573.0104,
50.2,5585.849,
50.3,5600.3556,
50.4,5588.5663,
50.5,5587.0405,
50.61,5587.4497,
50.71,5604.188,
50.82,5598.7893,
50.92,5604.4861,
51.02,5591.1698,
51.12,5603.6123,
51.22,5601.2409,
51.33,5601.6501,
51.43,5601.6501,
51.53,5628.022,
51.63,5634.9658,
51.74,5623.8151,
51.84,5628.9345,
51.94,5636.1241,
52.05,5636.9988,
52.15,5644.9435,
52.25,5613.2208,
52.35,5607.1367,
52.46,5603.9972,
52.56,5583.2387,
52.66,5583.2387,
52.76,5583.2387,
52.96,5605.025,
53.06,5607.6269,
53.16,5627.5017,
53.26,5618.2248,
53.36,5622.7194,
53.47,5627.2436,
53.57,5608.0276,
53.68,5614.5894,
53.78,5619.4908,
53.89,5622.7686,
53.99,5633.9805,
54.09,5637.0461,
54.19,5631.6545,
54.29,5632.4372,
54.39,5641.2726,
54.5,5614.8401,
54.61,5617.0845,
54.71,5616.2921,
54.81,5608.6503,
54.91,5599.8353,
55.01,5566.7257,
55.13,5568.3749,
55.23,5572.0331,
55.33,5586.0047,
55.43,5586.9663,
55.53,5587.7565,
55.65,5585.354,
55.75,5584.9525,
55.85,5584.7735,
55.95,5570.4641,
56.06,5575.8628,
56.16,5577.1497,
56.26,5572.3815,
56.36,5570.4615,
56.48,5576.39,
56.58,5570.5853,
56.68,5576.6309,
56.78,5576.6309,
56.88,5578.1593,
56.98,5572.9804,
57.08,5566.2328,
57.18,5560.5836,
57.28,5560.5836,
57.38,5563.1278,
57.48,5568.6424,
57.59,5574.6854,
57.69,5568.7391,
57.79,5568.7391,
57.89,5569.6411,
58.01,5566.2958,
58.12,5579.9987,
58.22,5573.856,
58.32,5588.0764,
58.42,5594.0463,
58.53,5583.843,
58.63,5582.2311,
58.73,5585.5919,
58.84,5576.2806,
58.94,5571.8464,
59.04,5577.3618,
59.14,5594.1318,
59.25,5628.8051,
59.35,5630.1773,
59.45,5618.2847,
59.56,5618.2847,
59.66,5622.9171,
59.76,5620.8984,
59.86,5620.8984,
59.97,5620.8984,
