elapsed_sec,best_cost,improvement_pct
0.1,6710.5441,
0.2,7195.194,
0.3,6949.7341,
0.41,6486.0135,
0.52,6509.1861,
0.62,6507.9018,
0.72,6510.2425,
0.82,6818.5491,
0.92,6418.8258,
1.03,6387.0532,
1.14,6401.4972,
1.24,6409.6773,
1.34,6463.9297,
1.44,6388.189,
1.55,6505.503,
1.65,6304.1472,
1.76,6326.8389,
1.86,6414.3314,
1.96,6274.1197,
2.06,6232.6105,
2.16,6138.3844,
2.26,6168.6173,
2.36,6385.192,
2.46,6297.1459,
2.68,6254.662,
2.78,6267.7913,
2.89,6075.3953,
2.99,6131.2822,
3.09,6010.4992,
3.19,6059.7707,
3.3,6065.0621,
3.4,6098.6805,
3.5,6142.0951,
3.6,6063.6471,
3.71,6124.0768,
3.81,6188.8305,
3.92,6071.5447,
4.02,5973.3202,
4.12,6053.4003,
4.22,6176.4442,
4.33,6107.4089,
4.43,6373.6102,
4.54,6059.847,
4.64,6032.4923,
4.75,6116.4632,
4.86,6116.5013,
4.96,6266.8778,
5.06,6258.2918,
5.16,6122.6518,
5.26,6024.1342,
5.36,6049.593,
5.47,6041.4742,
5.57,6127.9429,
5.67,6000.4518,
5.77,6054.4535,
5.87,6352.1291,
5.97,6063.1538,
6.07,6042.2685,
6.17,6047.7001,
6.27,6168.1242,
6.37,6302.3444,
6.48,6584.1769,
6.58,6518.71,
6.69,6510.7953,
6.79,6675.7992,
6.89,6097.7746,
6.99,6028.1472,
7.09,6030.4004,
7.19,6059.9355,
7.29,6422.9674,
7.4,6383.7781,
7.5,6013.4041,
7.6,6087.5164,
7.7,6018.328,
7.8,6092.3609,
7.9,6116.372,
8.0,6190.654,
8.1,6084.1001,
8.21,6029.6909,
8.32,6194.2981,
8.42,6329.5603,
8.52,6226.3318,
8.62,6019.6528,
8.72,6116.7541,
8.82,5978.6142,
8.93,6028.1173,
9.03,5976.2725,
9.13,6014.6079,
9.24,5995.5988,
9.34,6157.9904,
9.44,5999.3416,
9.54,6101.7435,
9.64,6064.098,
9.74,6081.5454,
9.84,6051.2163,
9.95,6097.9284,
10.05,6009.3984,
10.16,6068.8143,
10.26,6063.5822,
10.37,5939.8007,
10.47,5997.2754,
10.57,5929.5239,
10.67,5915.6545,
10.77,5898.9324,
10.88,6005.0388,
10.98,5995.0242,
11.09,5989.301,
11.19,5973.2055,
11.3,5993.4707,
