elapsed_sec,best_cost,improvement_pct
0.11,6764.7363,
0.23,6773.9791,
0.34,6778.3409,
0.44,6788.1192,
0.55,6779.0658,
0.66,6770.0759,
0.76,6768.6286,
0.88,6329.0188,
0.99,6329.0188,
1.1,6295.6569,
1.21,6310.14,
1.33,6280.4785,
1.43,6304.7201,
1.53,6286.0409,
1.65,6313.8916,
1.77,6280.5038,
1.87,6291.1567,
1.98,6285.2956,
2.08,6307.5698,
2.19,6282.4984,
2.3,6285.2956,
2.4,6286.7429,
2.53,6280.4785,
2.63,6280.5038,
2.73,6280.4785,
2.85,6280.4785,
2.96,6269.9258,
3.08,6254.1219,
3.18,6278.941,
3.3,6262.5838,
3.42,6268.0604,
3.52,6256.6383,
3.64,6256.6383,
3.76,6251.3247,
3.88,6251.3247,
3.99,6251.3247,
4.09,6286.7452,
4.21,6254.1219,
4.33,6251.35,
4.45,6269.9258,
4.57,6262.5838,
4.68,6263.8493,
4.79,6253.8984,
4.89,6275.2394,
5.0,6258.944,
5.1,6251.3247,
5.21,6251.35,
5.31,6251.3247,
5.41,6273.5989,
5.53,6256.2041,
5.64,6261.1094,
5.75,6253.8984,
5.85,6275.3451,
5.97,6256.6636,
6.09,6258.5357,
6.19,6251.3247,
6.3,6251.3247,
6.4,6251.35,
6.52,6254.1219,
6.64,6254.1219,
6.76,6254.1219,
6.88,6251.3247,
6.99,6251.3247,
7.09,6269.9258,
7.2,6251.3247,
7.31,6251.3247,
7.43,6251.3247,
7.53,6258.944,
7.65,6267.9545,
7.77,6256.6636,
7.89,6263.8493,
7.99,6256.2041,
8.11,6278.941,
8.23,6256.2041,
8.35,6291.5993,
8.47,6251.3247,
8.59,6278.941,
8.71,6272.723,
8.83,6251.35,
8.94,6273.5989,
9.04,6256.6383,
9.16,6256.6383,
9.28,6253.8984,
9.38,6278.085,
9.5,6258.944,
9.6,6251.3247,
9.72,6264.4832,
9.84,6251.3247,
9.96,6251.3247,
10.06,6258.5357,
10.18,6251.35,
10.3,6254.1219,
10.41,6254.1219,
10.53,6254.1219,
10.65,6251.3247,
10.75,6254.1219,
10.87,6254.1219,
10.97,6278.941,
11.09,6272.723,
11.21,6290.0722,
11.31,6251.3247,
11.41,6278.941,
11.51,6251.3247,
11.61,6251.35,
11.73,6254.1219,
11.85,6254.1219,
11.95,6272.723,
12.05,6254.1219,
12.15,6290.0722,
12.27,6273.5989,
12.39,6269.9258,
12.51,6262.5838,
12.63,6267.9545,
12.75,6270.8424,
12.85,6256.6383,
12.95,6258.944,
13.06,6254.1219,
13.18,6278.941,
13.28,6251.3247,
13.4,6251.3247,
13.52,6251.3247,
13.63,6256.2041,
13.73,6254.1219,
13.83,6284.7378,
13.94,6251.3247,
14.06,6251.3247,
14.17,6251.3247,
14.28,6258.944,
14.39,6254.1219,
14.51,6254.1219,
14.61,6276.3961,
14.73,6278.941,
14.85,6281.9406,
14.95,6251.3247,
15.07,6256.6383,
15.18,6268.0604,
15.3,6278.085,
15.42,6263.8493,
15.52,6251.3247,
15.63,6278.941,
15.73,6254.1219,
15.85,6254.1219,
15.97,6251.3247,
16.08,6256.2041,
16.2,6256.6383,
16.32,6256.6383,
16.44,6256.6383,
16.55,6251.3247,
16.67,6258.5357,
16.79,6256.8871,
16.9,6291.3717,
17.0,6251.3247,
17.1,6254.1219,
17.22,6254.1219,
17.32,6284.7378,
17.44,6251.35,
17.56,6273.5989,
17.66,6251.3247,
17.78,6256.6383,
17.88,6256.6636,
