elapsed_sec,best_cost,improvement_pct
0.1,11362.9421,
0.2,11320.501,
0.3,11312.1636,
0.4,11310.3021,
0.5,11310.3021,
0.6,11310.3021,
0.7,11310.3021,
0.8,11310.3021,
0.91,11310.3021,
1.01,11310.3021,
1.11,11310.3021,
1.21,11310.3021,
1.31,11310.3021,
1.41,11310.3021,
1.51,11310.3021,
1.61,11310.3021,
1.71,11310.3021,
1.81,11310.3021,
1.91,11310.3021,
2.02,11310.3021,
2.12,11310.3021,
2.22,11310.3021,
2.32,11310.3021,
2.42,11310.3021,
2.52,11310.3021,
2.62,11310.3021,
2.72,11310.3021,
2.82,11310.3021,
2.92,11310.3021,
3.02,11310.3021,
3.12,11310.3021,
3.22,11310.3021,
3.32,11310.3021,
3.42,11310.3021,
3.52,11310.3021,
3.62,11310.3021,
3.73,11310.3021,
3.83,11310.3021,
3.93,11310.3021,
4.03,11310.3021,
4.13,11310.3021,
4.23,11310.3021,
4.33,11310.3021,
4.43,11310.3021,
4.53,11310.3021,
4.63,11310.3021,
4.73,11310.3021,
4.83,11310.3021,
4.93,11310.3021,
5.03,11310.3021,
5.14,11310.3021,
5.24,11310.3021,
5.45,11310.3021,
5.55,11310.3021,
5.65,11310.3021,
5.75,11310.3021,
5.85,11310.3021,
5.96,11310.3021,
6.06,11310.3021,
6.16,11310.3021,
6.26,11310.3021,
6.36,11310.3021,
6.46,11310.3021,
6.56,11310.3021,
6.66,11310.3021,
6.76,11310.3021,
6.86,11310.3021,
6.96,11310.3021,
7.06,11310.3021,
7.16,11310.3021,
7.27,11310.3021,
7.37,11310.3021,
7.47,11310.3021,
7.57,11310.3021,
7.67,11310.3021,
7.77,11310.3021,
7.87,11310.3021,
7.97,11310.3021,
8.07,11310.3021,
8.17,11310.3021,
8.27,11310.3021,
8.37,11310.3021,
8.47,11310.3021,
8.57,11310.3021,
8.68,11310.3021,
8.78,11310.3021,
8.88,11310.3021,
8.98,11310.3021,
9.08,11310.3021,
9.18,11310.3021,
9.28,11310.3021,
9.38,11310.3021,
9.48,11310.3021,
9.58,11310.3021,
9.68,11310.3021,
9.78,11310.3021,
9.88,11310.3021,
9.98,11310.3021,
10.08,11310.3021,
10.18,11310.3021,
10.28,11310.3021,
10.39,11310.3021,
10.49,11310.3021,
10.59,11310.3021,
10.69,11310.3021,
10.79,11310.3021,
10.89,11310.3021,
10.99,11310.3021,
11.09,11310.3021,
11.19,11310.3021,
11.29,11310.3021,
11.39,11310.3021,
11.55,11310.3021,
11.65,11310.3021,
11.75,11310.3021,
11.85,11310.3021,
11.95,11310.3021,
12.05,11310.3021,
12.16,11310.3021,
12.26,11310.3021,
12.36,11310.3021,
12.46,11310.3021,
12.56,11310.3021,
12.66,11310.3021,
12.76,11310.3021,
12.86,11310.3021,
12.96,11310.3021,
13.06,11310.3021,
13.16,11310.3021,
13.26,11310.3021,
13.36,11310.3021,
13.46,11310.3021,
13.56,11310.3021,
13.66,11310.3021,
13.76,11310.3021,
13.87,11310.3021,
13.97,11310.3021,
14.07,11310.3021,
14.17,11310.3021,
14.27,11310.3021,
14.37,11310.3021,
14.47,11310.3021,
14.57,11310.3021,
14.67,11310.3021,
14.77,11310.3021,
14.87,11310.3021,
14.97,11310.3021,
15.07,11310.3021,
15.17,11310.3021,
15.27,11310.3021,
15.37,11310.3021,
15.47,11310.3021,
15.57,11310.3021,
15.67,11310.3021,
15.77,11310.3021,
15.87,11310.3021,
15.98,11310.3021,
16.08,11310.3021,
16.18,11310.3021,
16.28,11310.3021,
16.38,11310.3021,
16.48,11310.3021,
16.58,11310.3021,
16.68,11310.3021,
16.78,11310.3021,
16.88,11310.3021,
16.98,11310.3021,
17.08,11310.3021,
17.18,11310.3021,
17.28,11310.3021,
17.39,11310.3021,
17.49,11310.3021,
17.59,11310.3021,
17.69,11310.3021,
17.79,11310.3021,
17.96,11310.3021,
18.06,11310.3021,
18.16,11310.3021,
18.26,11310.3021,
18.36,11310.3021,
18.47,11310.3021,
18.57,11310.3021,
18.67,11310.3021,
18.77,11310.3021,
18.87,11310.3021,
18.97,11310.3021,
19.07,11310.3021,
19.17,11310.3021,
19.27,11310.3021,
19.37,11310.3021,
19.47,11310.3021,
19.57,11310.3021,
19.67,11310.3021,
19.77,11310.3021,
19.87,11310.3021,
19.97,11310.3021,
20.07,11310.3021,
20.17,11310.3021,
20.27,11310.3021,
20.37,11310.3021,
20.48,11310.3021,
20.58,11310.3021,
20.68,11310.3021,
20.78,11310.3021,
20.88,11310.3021,
20.98,11310.3021,
21.08,11310.3021,
21.18,11310.3021,
21.28,11310.3021,
21.39,11310.3021,
21.49,11310.3021,
21.59,11310.3021,
21.69,11310.3021,
21.79,11310.3021,
21.89,11310.3021,
21.99,11310.3021,
22.09,11310.3021,
22.19,11310.3021,
22.29,11310.3021,
22.39,11310.3021,
22.49,11310.3021,
22.59,11310.3021,
22.7,11310.3021,
22.8,11310.3021,
22.9,11310.3021,
23.0,11310.3021,
23.1,11310.3021,
23.2,11310.3021,
