elapsed_sec,best_cost,improvement_pct
0.1,11288.677,
0.21,11223.6578,
0.31,11224.0084,
0.41,11265.3046,
0.51,11257.197,
0.62,11227.9701,
0.72,11236.0863,
0.82,11213.8392,
0.92,11215.0784,
1.02,11204.1689,
1.12,11204.1689,
1.22,11204.1689,
1.32,11204.1689,
1.42,11204.372,
1.52,11204.372,
1.62,11171.376,
1.72,11171.376,
1.82,11171.376,
1.92,11171.376,
2.03,11171.376,
2.13,11171.376,
2.29,11900.376,
2.39,11891.0261,
2.49,11743.0365,
2.6,11620.7995,
2.7,11572.2915,
2.8,11528.5961,
2.9,11523.2161,
3.0,11512.5985,
3.1,11477.9559,
3.2,11468.0155,
3.3,11449.3524,
3.4,11449.3524,
3.51,11429.5971,
3.61,11429.5971,
3.71,11393.0223,
3.81,11393.0223,
3.96,11393.0223,
4.07,11393.0223,
4.17,11393.0223,
4.27,11393.0223,
4.41,11997.3145,
4.51,11961.5801,
4.61,11962.9297,
4.71,11900.8883,
4.81,11574.1534,
4.91,11574.1534,
5.01,11570.3575,
5.12,11570.3575,
5.22,11570.0272,
5.32,11562.5775,
5.42,11562.5775,
5.53,11562.5775,
5.63,11562.5775,
5.73,11562.5775,
5.83,11542.9158,
5.93,11542.6923,
6.03,11542.6923,
6.14,11532.1038,
6.24,11532.1038,
6.34,11532.1038,
6.55,11893.1255,
6.65,11664.4696,
6.75,11648.6849,
6.85,11533.6203,
6.95,11526.5556,
7.06,11526.5556,
7.16,11532.7501,
7.26,11497.9593,
7.36,11499.2346,
7.46,11493.7449,
7.56,11493.7449,
7.66,11493.7449,
7.76,11488.0006,
7.86,11486.5782,
7.96,11485.3029,
8.07,11485.3029,
8.17,11483.9225,
8.27,11483.9225,
8.37,11483.9225,
8.47,11476.7891,
8.57,11452.8709,
8.7,11705.6426,
8.81,11745.5028,
8.91,11315.786,
9.12,11328.8811,
9.22,11358.9952,
9.32,11360.5904,
9.42,11255.868,
9.52,11243.6933,
9.62,11225.8675,
9.73,11213.0596,
9.83,11197.7166,
9.93,11197.7166,
10.03,11197.7166,
10.13,11197.7166,
10.23,11197.6559,
10.33,11197.6559,
10.43,11197.6559,
10.54,11197.6559,
10.64,11197.6559,
10.74,11197.6559,
10.84,11197.6559,
10.95,11756.4006,
11.05,11682.8367,
11.15,11677.6904,
11.26,11627.8467,
11.36,11635.908,
11.46,11573.5027,
11.56,11558.9731,
11.67,11558.9731,
11.77,11558.9731,
11.87,11557.0624,
11.97,11557.0624,
12.07,11555.4218,
12.17,11555.4218,
12.28,11555.4218,
12.38,11555.4218,
