elapsed_sec,best_cost,improvement_pct
0.1,11202.1995,
0.21,11202.1995,
0.32,11215.0282,
0.42,11208.4214,
0.52,11178.6592,
0.62,11196.6977,
0.72,11185.9037,
0.83,11212.2842,
0.94,11147.5963,
1.04,11144.7942,
1.14,11170.3192,
1.25,11144.7942,
1.36,11168.7301,
1.46,11144.7942,
1.57,11143.6977,
1.67,11143.6977,
1.78,11143.6977,
1.89,11170.9679,
1.99,11166.4972,
2.09,11146.1694,
2.19,11143.6977,
2.3,11143.6977,
2.4,11146.5541,
2.51,11172.0791,
2.61,11146.5541,
2.72,11143.6977,
2.82,11143.6977,
2.93,11143.6977,
3.03,11162.8208,
3.14,11173.3712,
3.25,11143.6977,
3.35,11161.2805,
3.45,11143.6977,
3.55,11144.7942,
3.66,11174.0463,
3.77,11153.3034,
3.87,11147.5963,
3.98,11145.9663,
4.09,11150.35,
4.19,11145.9663,
4.3,11158.8507,
4.4,11155.7193,
4.51,11155.7193,
4.62,11155.7193,
4.72,11154.0187,
4.83,11186.8552,
4.94,11154.0187,
5.04,11154.0187,
5.14,11169.1298,
5.25,11183.5811,
5.35,11154.0187,
5.46,11155.7193,
5.57,11155.7193,
5.67,11155.7193,
5.77,11155.7193,
5.88,11179.0902,
5.99,11154.0187,
6.09,11154.0187,
6.19,11173.774,
6.29,11158.1993,
6.4,11154.0187,
6.51,11158.1993,
6.62,11154.0187,
6.72,11150.0654,
6.83,11149.6262,
6.93,11153.8068,
7.04,11152.0268,
7.15,11150.0654,
7.25,11146.5541,
7.35,11146.5541,
7.46,11146.5541,
7.57,11146.5541,
7.67,11146.5541,
7.77,11146.5541,
7.87,11143.6977,
7.98,11158.8088,
8.08,11147.8783,
8.19,11152.0268,
8.29,11150.0654,
8.39,11154.4917,
8.5,11147.8783,
8.6,11145.9663,
8.71,11150.0654,
8.81,11146.1694,
8.91,11146.1694,
9.01,11168.4145,
9.12,11148.4714,
9.22,11148.4714,
9.32,11143.6977,
9.42,11143.6977,
9.53,11170.5318,
9.64,11147.8783,
9.74,11145.9663,
9.84,11147.5963,
9.94,11161.2805,
10.04,11183.2708,
10.15,11154.0187,
10.25,11158.1993,
10.36,11154.0187,
10.47,11158.1993,
10.57,11154.0187,
10.67,11159.8999,
10.78,11170.8008,
10.88,11159.8999,
10.98,11154.0187,
11.09,11158.1993,
11.2,11170.8008,
11.3,11159.8999,
11.4,11166.5133,
11.5,11182.5534,
11.61,11180.7908,
11.71,11161.0774,
11.81,11150.1469,
11.91,11146.1694,
12.01,11150.1469,
12.11,11162.6778,
12.22,11143.6977,
12.32,11160.8594,
12.43,11150.0654,
12.54,11145.9663,
12.65,11147.5963,
12.75,11143.6977,
12.85,11147.5963,
12.95,11167.6336,
13.05,11162.9598,
13.16,11147.8783,
13.26,11150.0654,
13.36,11167.1781,
13.46,11147.8783,
13.56,11162.6778,
13.67,11150.0654,
13.77,11150.0654,
13.87,11145.9663,
13.98,11158.3903,
14.09,11143.6977,
14.19,11150.0654,
14.3,11147.8783,
14.4,11147.8783,
