elapsed_sec,best_cost,improvement_pct
0.14,11628.8357,
0.31,11623.9051,
0.41,12005.0724,
0.51,11792.4743,
0.62,11854.6547,
0.72,11848.0828,
0.82,11539.7596,
0.92,11697.9328,
1.02,11693.1726,
1.12,11687.5265,
1.22,11760.4919,
1.32,11892.4177,
1.42,11398.9733,
1.52,11386.6733,
1.62,11394.8145,
1.72,11393.467,
1.82,11352.1812,
1.92,11361.6432,
2.02,11445.9415,
2.13,11430.8416,
2.23,11493.3032,
2.33,11861.4236,
2.43,11753.3994,
2.53,10941.9061,
2.63,10729.5225,
2.74,10702.4087,
2.84,10653.5419,
2.94,10637.739,
3.04,10693.2598,
3.14,10708.7993,
3.24,10667.8106,
3.34,10623.1067,
3.44,10734.3929,
3.54,10739.023,
3.64,10693.1238,
3.74,10676.7963,
3.84,10730.0552,
3.94,10695.2554,
4.05,10713.7927,
4.15,10612.9997,
4.25,10697.8751,
4.35,10577.9529,
4.45,10700.0165,
4.55,10781.0548,
4.65,10664.1796,
4.75,10645.5623,
4.93,10950.4968,
5.03,11062.6475,
5.13,11063.1837,
5.23,11334.5978,
5.33,11691.6245,
5.43,11566.6726,
5.53,11514.8276,
5.65,11384.6861,
5.75,11465.5767,
5.85,11385.8286,
5.95,11357.6995,
6.05,11434.0604,
6.16,11152.8912,
6.26,11282.2703,
6.36,11600.3432,
6.46,11441.823,
6.56,11349.2467,
6.67,11217.2045,
6.77,10781.1192,
6.87,10781.1192,
6.97,10406.8829,
7.07,10422.3794,
7.18,10429.5697,
7.28,10459.724,
7.38,10462.2961,
7.48,10473.524,
7.58,10559.0895,
7.68,10524.9715,
7.78,10533.9862,
7.88,10523.533,
7.98,10559.2706,
8.09,10545.7528,
8.19,10571.5493,
8.39,10554.7688,
8.49,10521.5008,
8.59,10553.2908,
8.69,10395.7919,
8.8,10477.9169,
8.9,10482.8023,
9.0,10481.2482,
9.1,10503.7435,
9.2,10397.8445,
9.3,10428.69,
9.4,10575.0479,
9.5,10580.0286,
9.72,10467.7268,
9.82,10812.1351,
9.92,10496.5182,
10.02,10534.3603,
10.12,10801.676,
10.22,10844.166,
10.32,11124.0114,
10.42,11502.3426,
10.53,11161.9352,
10.63,10953.0594,
10.74,10774.3546,
10.84,10741.0641,
10.94,11410.6648,
11.04,10734.4037,
11.14,10797.2937,
11.24,10914.5946,
11.34,10852.7903,
11.45,10785.6301,
11.55,10775.6229,
11.65,10558.2856,
11.75,10607.927,
11.86,10667.3193,
11.96,10518.7911,
12.06,10494.7017,
12.16,10491.9412,
12.26,10443.5175,
12.36,10494.7484,
12.46,10268.6827,
12.56,10322.0404,
12.66,10227.8288,
12.76,10212.9236,
12.86,10212.489,
12.96,10233.8567,
13.07,10234.6914,
13.17,10217.7271,
13.27,10225.8392,
13.37,10236.1272,
13.47,10178.6659,
13.57,10185.5033,
13.67,10170.5257,
13.77,10192.2324,
13.87,10198.8568,
13.97,10195.4643,
14.07,10242.738,
14.23,10276.1016,
14.33,10438.484,
14.43,10694.9484,
14.53,10657.8036,
14.63,10701.9661,
14.73,10423.1291,
14.84,10660.6169,
14.94,10900.083,
15.04,10814.2088,
15.14,10794.3816,
15.24,10885.5856,
15.34,10714.7855,
15.44,10717.4325,
15.54,11100.0233,
15.65,10935.786,
15.75,10993.3815,
15.85,10882.7968,
15.95,10790.0522,
16.05,11286.6569,
16.15,10934.1737,
16.25,10950.9387,
16.35,10925.2381,
16.46,11017.1374,
16.56,10793.7342,
16.66,10894.2648,
16.76,10811.2081,
16.86,10894.2452,
16.96,11081.4564,
17.06,11205.2353,
17.16,11001.3568,
17.26,10921.6375,
17.37,10968.3749,
17.47,11025.6656,
17.57,11076.317,
17.67,11160.0831,
17.77,11030.2176,
17.87,11020.7338,
18.08,11055.3704,
18.19,11070.1767,
18.29,10979.9623,
18.39,10916.0327,
18.49,10961.4169,
18.59,10963.0196,
18.69,11003.6348,
18.8,11030.7512,
18.9,11152.9546,
19.0,10950.5441,
19.1,10914.9824,
19.2,10919.7276,
19.3,10940.1083,
19.39,10126.6838,
