elapsed_sec,best_cost,improvement_pct
0.1,9953.852,
0.2,9938.1501,
0.3,9925.7589,
0.4,9925.7589,
0.51,9925.7589,
0.61,9925.7589,
0.71,9925.7589,
0.81,9925.7589,
0.91,9925.7589,
1.01,9925.7589,
1.11,9925.7589,
1.21,9925.7589,
1.32,9925.7589,
1.42,9925.7589,
1.52,9925.7589,
1.62,9925.7589,
1.72,9925.7589,
1.82,9925.7589,
1.92,9925.7589,
2.02,9925.7589,
2.13,9925.7589,
2.23,9925.7589,
2.33,9925.7589,
2.43,9925.7589,
2.53,9925.7589,
2.63,9925.7589,
2.73,9925.7589,
2.84,9925.7589,
2.94,9925.7589,
3.04,9925.7589,
3.14,9925.7589,
3.24,9925.7589,
3.34,9925.7589,
3.57,9925.7589,
3.67,9925.7589,
3.77,9925.7589,
3.87,9925.7589,
3.97,9925.7589,
4.08,9925.7589,
4.18,9925.7589,
4.28,9925.7589,
4.38,9925.7589,
4.48,9925.7589,
4.58,9925.7589,
4.68,9925.7589,
4.78,9925.7589,
4.88,9925.7589,
4.98,9925.7589,
5.08,9925.7589,
5.18,9925.7589,
5.28,9925.7589,
5.38,9925.7589,
5.49,9925.7589,
5.59,9925.7589,
5.69,9925.7589,
5.79,9925.7589,
5.89,9921.9355,
5.99,9920.0455,
6.09,9920.0455,
6.19,9920.0455,
6.29,9920.0455,
6.39,9920.0455,
6.5,9920.0455,
6.6,9920.0455,
6.7,9920.0455,
6.8,9920.0455,
6.9,9920.0455,
7.0,9920.0455,
7.1,9920.0455,
7.2,9920.0455,
7.31,9920.0455,
7.41,9920.0455,
7.51,9920.0455,
7.61,9920.0455,
7.71,9920.0455,
7.81,9920.0455,
7.91,9920.0455,
8.01,9920.0455,
8.11,9920.0455,
8.22,9920.0455,
8.32,9920.0455,
8.42,9920.0455,
8.52,9920.0455,
8.62,9920.0455,
8.72,9920.0455,
8.82,9920.0455,
8.93,9920.0455,
9.03,9920.0455,
9.13,9920.0455,
9.23,9920.0455,
9.33,9920.0455,
9.43,9920.0455,
9.53,9920.0455,
9.63,9920.0455,
9.73,9920.0455,
9.83,9920.0455,
9.94,9920.0455,
10.04,9920.0455,
10.14,9920.0455,
10.24,9920.0455,
10.34,9920.0455,
10.44,9920.0455,
10.54,9920.0455,
10.65,9920.0455,
10.75,9920.0455,
10.85,9920.0455,
10.95,9920.0455,
11.05,9920.0455,
11.15,9920.0455,
11.25,9920.0455,
11.35,9920.0455,
11.45,9920.0455,
11.56,9920.0455,
11.66,9920.0455,
11.76,9920.0455,
