elapsed_sec,best_cost,improvement_pct
0.11,10234.0903,
0.21,10248.2236,
0.34,10429.6527,
0.44,10429.6527,
0.55,10542.2085,
0.66,10666.4516,
0.76,10678.5048,
0.86,10543.6367,
0.96,10497.4359,
1.07,10568.8973,
1.17,10582.0377,
1.27,10554.1928,
1.38,10534.1167,
1.49,10541.2133,
1.59,10564.8388,
1.69,10519.4584,
1.79,10530.6522,
1.89,10570.3828,
1.99,10565.5301,
2.1,10566.2592,
2.21,10584.8964,
2.31,10574.7026,
2.42,10574.2038,
2.52,10521.4571,
2.65,10499.21,
2.75,10497.61,
2.86,10425.5191,
2.96,10414.107,
3.07,10414.107,
3.17,10417.1748,
3.27,10365.9539,
3.37,10358.465,
3.49,10334.2224,
3.59,10334.2224,
3.7,10334.2224,
3.8,10334.2224,
3.9,10337.6764,
4.0,10337.6764,
4.1,10337.6764,
4.21,10335.224,
4.31,10335.224,
4.41,10289.1377,
4.51,10289.1377,
4.62,10288.1656,
4.72,10288.1656,
4.82,10289.1377,
4.92,10289.1377,
5.02,10289.1377,
5.12,10289.1377,
5.23,10289.1377,
5.33,10289.1377,
5.43,10289.1377,
5.53,10289.1377,
5.63,10288.1656,
5.74,10288.1656,
5.84,10288.1656,
5.94,10288.1656,
6.06,10288.1656,
6.16,10288.1656,
6.26,10289.1377,
6.38,10288.1656,
6.48,10288.1656,
6.59,10285.489,
6.7,10248.391,
6.81,10248.391,
7.02,10248.391,
7.13,10248.391,
7.23,10245.874,
7.33,10245.874,
7.43,10245.874,
7.54,10245.874,
7.64,10245.874,
7.74,10245.874,
7.85,10245.874,
7.95,10245.874,
8.05,10245.874,
8.15,10245.874,
8.26,10245.874,
8.36,10245.874,
8.46,10245.874,
8.56,10245.874,
8.66,10245.874,
8.77,10245.874,
8.87,9974.6909,
8.97,9974.6909,
9.07,9974.6909,
9.17,9974.6909,
9.28,9974.6909,
9.38,9974.6909,
9.48,9974.6909,
9.58,9966.555,
9.68,9966.555,
9.79,9966.555,
9.89,9966.555,
9.99,9966.555,
10.09,9966.555,
10.19,9966.555,
10.29,9966.555,
10.39,9966.555,
10.49,9966.555,
10.59,9966.555,
10.7,9966.555,
10.8,9966.555,
10.9,9966.555,
11.01,9966.555,
11.11,9966.555,
11.21,9966.555,
11.31,9966.555,
11.41,9966.555,
11.53,9966.555,
11.63,9966.555,
11.73,9966.555,
11.83,9966.555,
11.93,9966.555,
12.1,10362.0344,
12.21,10378.8125,
12.31,10441.6913,
12.41,10523.1993,
12.51,10532.9845,
12.61,10532.8309,
12.71,10486.396,
12.82,10436.3919,
12.92,10425.4711,
13.03,10443.7061,
13.13,10363.9285,
13.23,10363.9285,
13.35,10450.1755,
13.45,10139.2951,
13.55,10151.8183,
13.66,10148.3349,
13.76,10136.5936,
13.87,10152.548,
13.97,10152.548,
14.07,10139.2656,
14.17,10139.2656,
14.27,10129.1682,
14.37,10131.4342,
14.49,10140.0846,
14.59,10060.0539,
14.69,10140.9732,
14.8,10042.4064,
14.91,10041.2233,
15.01,10042.7678,
15.11,10041.5131,
15.22,10044.0986,
15.32,10049.8304,
15.42,10044.4081,
15.52,10045.844,
15.62,10045.844,
15.72,10049.0002,
15.83,10048.356,
15.93,10044.8403,
16.03,10044.8403,
16.13,10044.8403,
16.23,10035.1015,
16.33,10035.1015,
16.43,10033.2158,
16.53,10039.2731,
16.64,10039.2731,
16.74,10039.2731,
16.84,10039.2731,
16.94,10039.2731,
17.04,10039.2731,
17.15,10039.2731,
17.25,10039.2731,
17.35,10039.2731,
17.45,10039.2731,
17.55,10039.2731,
17.66,10039.2731,
17.76,10035.4171,
17.86,10035.4171,
17.98,10035.4171,
18.08,10035.4171,
18.18,10035.4171,
18.28,10035.4171,
18.38,10029.3598,
18.49,10029.3598,
18.6,10029.3598,
18.7,10029.3598,
18.81,10029.3598,
18.91,10029.3598,
19.01,10029.3598,
19.12,10029.3598,
19.22,10029.3598,
19.33,10029.3598,
19.43,10029.3598,
19.54,10029.3598,
19.64,10029.3598,
19.74,10029.3598,
19.84,10029.3598,
19.94,10029.3598,
20.04,10029.3598,
20.15,10029.3598,
20.25,10029.3598,
20.35,10029.3598,
20.46,10029.3598,
20.57,10029.3598,
20.67,10029.3598,
20.77,10029.3598,
20.87,10029.3598,
20.97,10029.3598,
21.07,10029.3598,
21.18,10029.3598,
21.28,10029.3598,
21.38,10029.3598,
21.48,10029.3598,
21.58,10029.3598,
21.68,10029.3598,
21.79,10029.3598,
21.9,10029.3598,
22.0,10029.3598,
22.11,10029.3598,
22.21,10029.3598,
22.31,10029.3598,
22.41,10029.3598,
22.51,10029.3598,
22.62,10029.3598,
22.72,10029.3598,
22.95,10819.8652,
23.05,10784.4184,
23.16,10771.4401,
23.26,10980.2741,
23.36,10873.7623,
23.46,10800.5515,
23.59,10540.4884,
23.69,10565.6961,
23.79,10469.36,
23.89,10454.9682,
23.99,10515.4287,
24.09,10515.4287,
24.19,10515.4287,
24.3,10525.8895,
24.4,10525.5132,
24.5,10525.5132,
24.61,10532.33,
24.71,10491.6736,
24.82,10488.3236,
24.92,10501.8731,
25.02,10433.1792,
25.13,10433.1792,
25.24,10377.9562,
25.34,10332.4014,
25.44,10328.2845,
25.55,10328.2845,
25.65,10336.6486,
25.75,10332.1317,
25.88,10325.081,
