elapsed_sec,best_cost,improvement_pct
0.1,9959.2082,
0.21,9936.4524,
0.36,9939.1527,
0.47,9939.1527,
0.62,9945.843,
0.72,9952.6033,
0.82,9956.8992,
0.92,9945.1107,
1.02,9945.1107,
1.13,9945.1107,
1.23,9945.1107,
1.33,9945.1107,
1.43,9945.1107,
1.54,9945.009,
1.64,9934.8741,
1.79,9922.4305,
1.89,9923.0607,
1.99,9929.821,
2.09,9934.1169,
2.19,9940.6476,
2.29,9948.0015,
2.4,9947.615,
2.5,9917.2302,
2.6,9948.3526,
2.71,9950.2005,
2.81,9917.062,
2.91,9917.062,
3.01,9917.062,
3.11,9928.7149,
3.22,9928.7149,
3.32,9928.7149,
3.42,9928.7149,
3.52,9928.7149,
3.63,9917.6786,
3.73,9919.5876,
3.84,9877.9077,
3.94,9877.9077,
4.04,9877.9077,
4.14,9877.9077,
4.25,9877.9077,
4.35,9863.3944,
4.46,9863.3944,
4.56,9863.3944,
4.67,9877.9077,
4.77,9877.9077,
4.87,9879.7491,
4.98,9879.7491,
5.08,9879.7491,
5.18,9879.7491,
5.28,9879.7491,
5.39,9877.9077,
5.49,9877.9077,
5.59,9863.3944,
5.7,9863.3944,
5.8,9863.3944,
5.9,9877.9077,
6.01,9877.9077,
6.11,9877.9077,
6.21,9877.9077,
6.31,9877.9077,
6.47,9880.6089,
6.57,9885.8092,
6.67,9891.2827,
6.82,9865.2358,
6.92,9865.2358,
7.02,9879.7491,
7.13,9879.7491,
7.23,9879.7491,
7.33,9877.9077,
7.43,9877.9077,
7.54,9877.9077,
7.64,9877.9077,
7.74,9877.9077,
7.85,9863.3944,
7.95,9863.3944,
8.06,9863.3944,
8.16,9877.9077,
8.26,9877.9077,
8.37,9877.9077,
8.47,9877.9077,
8.57,9877.9077,
8.68,9877.9077,
8.78,9877.9077,
8.88,9877.9077,
8.99,9863.3944,
9.09,9863.3944,
9.19,9863.3944,
9.29,9877.9077,
9.4,9877.9077,
9.5,9877.9077,
9.6,9877.9077,
9.7,9877.9077,
9.8,9877.9077,
9.91,9877.9077,
10.01,9877.9077,
10.11,9863.3944,
10.22,9863.3944,
10.32,9863.3944,
10.42,9877.9077,
10.52,9877.9077,
10.63,9877.9077,
10.73,9877.9077,
10.83,9877.9077,
10.94,9877.9077,
11.04,9877.9077,
11.14,9877.9077,
11.25,9863.3944,
11.35,9863.3944,
11.45,9863.3944,
11.55,9877.9077,
11.66,9877.9077,
11.76,9877.9077,
11.87,9877.9077,
11.97,9877.9077,
12.07,9877.9077,
12.18,9877.9077,
12.28,9877.9077,
12.38,9863.3944,
12.48,9863.3944,
12.59,9863.3944,
12.69,9877.9077,
12.79,9877.9077,
12.9,9877.9077,
13.0,9877.9077,
13.1,9877.9077,
13.2,9877.9077,
13.3,9877.9077,
13.41,9877.9077,
13.51,9863.3944,
13.61,9863.3944,
13.72,9863.3944,
13.82,9877.9077,
13.92,9877.9077,
14.02,9877.9077,
14.12,9877.9077,
14.23,9877.9077,
14.33,9877.9077,
14.43,9877.9077,
14.53,9877.9077,
14.64,9863.3944,
14.74,9863.3944,
14.84,9863.3944,
14.95,9877.9077,
15.05,9877.9077,
15.15,9877.9077,
15.26,9877.9077,
15.36,9877.9077,
15.46,9877.9077,
15.57,9877.9077,
15.67,9877.9077,
15.77,9863.3944,
15.88,9863.3944,
15.98,9863.3944,
16.09,9877.9077,
16.19,9877.9077,
16.29,9877.9077,
16.44,9884.598,
16.55,9889.6523,
16.65,9895.6542,
16.75,9912.0191,
16.86,9889.4413,
16.96,9876.7414,
17.06,9893.069,
17.16,9889.4413,
17.27,9891.3583,
17.37,9912.5347,
17.47,9913.2061,
17.57,9884.598,
17.68,9889.6523,
17.78,9895.6542,
17.89,9912.0191,
17.99,9889.4413,
18.09,9876.7414,
18.2,9893.069,
18.3,9889.4413,
18.41,9891.3583,
18.51,9912.5347,
18.62,9913.2061,
18.72,9884.598,
18.82,9889.6523,
18.93,9895.6542,
19.03,9912.0191,
19.13,9889.4413,
19.23,9876.7414,
19.34,9893.069,
19.44,9889.4413,
19.54,9891.3583,
19.65,9912.5347,
19.75,9913.2061,
19.86,9884.598,
19.96,9889.6523,
20.06,9895.6542,
20.17,9912.0191,
20.27,9889.4413,
20.38,9876.7414,
20.48,9893.069,
20.58,9889.4413,
20.69,9891.3583,
20.8,9912.5347,
20.9,9913.2061,
21.01,9884.598,
21.11,9889.6523,
21.22,9895.6542,
21.32,9912.0191,
21.43,9889.4413,
21.53,9876.7414,
21.63,9893.069,
21.75,9889.4413,
21.86,9891.3583,
21.96,9912.5347,
22.06,9913.2061,
22.17,9884.598,
22.27,9889.6523,
22.38,9895.6542,
22.48,9912.0191,
22.58,9889.4413,
22.68,9876.7414,
22.79,9893.069,
22.89,9889.4413,
22.99,9891.3583,
23.1,9912.5347,
23.2,9913.2061,
23.31,9884.598,
23.41,9889.6523,
23.51,9895.6542,
23.62,9912.0191,
23.72,9889.4413,
23.83,9876.7414,
23.93,9893.069,
24.03,9889.4413,
24.13,9891.3583,
24.24,9912.5347,
24.34,9913.2061,
24.45,9884.598,
24.55,9889.6523,
24.66,9895.6542,
24.76,9912.0191,
24.86,9889.4413,
24.96,9876.7414,
25.12,9863.3944,
25.22,9877.9077,
25.32,9877.9077,
25.43,9877.9077,
25.53,9877.9077,
25.63,9877.9077,
25.74,9877.9077,
25.84,9877.9077,
25.95,9877.9077,
26.05,9863.3944,
26.15,9863.3944,
26.25,9863.3944,
26.36,9877.9077,
26.46,9877.9077,
26.57,9877.9077,
26.67,9877.9077,
26.77,9877.9077,
26.87,9877.9077,
26.97,9877.9077,
27.08,9877.9077,
27.18,9863.3944,
27.28,9863.3944,
27.39,9863.3944,
27.49,9877.9077,
27.59,9877.9077,
27.69,9877.9077,
27.8,9877.9077,
27.9,9877.9077,
28.0,9877.9077,
28.1,9877.9077,
28.2,9877.9077,
28.3,9863.3944,
28.41,9863.3944,
28.51,9863.3944,
28.62,9877.9077,
28.72,9877.9077,
28.83,9877.9077,
28.93,9877.9077,
29.03,9877.9077,
