elapsed_sec,best_cost,improvement_pct
0.13,10772.9127,
0.25,10709.6554,
0.44,10788.7638,
0.55,10871.2747,
0.65,10965.226,
0.76,10938.3942,
0.86,11009.8673,
0.97,11077.3769,
1.07,11109.945,
1.17,11177.1593,
1.28,10982.4133,
1.38,11481.5837,
1.48,11064.643,
1.59,11086.4235,
1.69,10959.2526,
1.8,10889.8872,
1.9,10957.1058,
2.0,10956.2331,
2.11,11033.2698,
2.21,11043.3632,
2.31,10923.2831,
2.42,10992.6847,
2.53,10992.6155,
2.63,11001.8949,
2.73,11028.9519,
2.83,11033.3295,
2.93,10959.8833,
3.04,10934.7579,
3.14,10941.123,
3.24,10974.2887,
3.34,10960.5214,
3.44,11014.4023,
3.55,11069.3556,
3.65,11119.048,
3.75,11120.8476,
3.85,11232.1395,
3.96,11232.7153,
4.07,11286.6342,
4.17,11218.0615,
4.27,11185.6215,
4.37,11149.6405,
4.47,11069.8881,
4.58,11046.0727,
4.68,11051.5981,
4.79,11093.8734,
4.89,11204.7586,
5.0,11124.4581,
5.11,11120.0472,
5.21,11187.1434,
5.31,10880.3407,
5.43,10934.9393,
5.54,10948.3588,
5.65,10864.1157,
5.75,10793.3771,
5.85,10798.098,
5.95,10782.2448,
6.06,10757.5255,
6.16,10819.1373,
6.26,10761.7728,
6.37,10746.3043,
6.48,10788.0948,
6.58,10860.5587,
6.68,10921.5734,
6.78,10841.3458,
6.9,10919.642,
7.0,10953.6991,
7.1,10893.6455,
7.2,10824.9011,
7.3,10892.2895,
7.4,10898.0892,
7.51,11032.4548,
7.62,10979.943,
7.72,10936.4614,
7.82,10947.1434,
7.92,10927.1157,
8.04,10863.0277,
8.15,10855.8623,
8.25,10790.7421,
8.35,10754.0753,
8.48,10757.9108,
8.58,10791.549,
8.68,10801.1044,
8.79,10798.4978,
8.9,10785.6845,
9.0,10714.6929,
9.1,10715.2553,
9.21,10761.041,
9.32,10597.0324,
9.42,10637.2073,
9.52,10696.1838,
9.62,10692.1715,
9.72,10686.1457,
9.83,10673.4214,
9.95,10660.2565,
10.05,10657.545,
10.15,10658.8135,
10.25,10664.8054,
10.36,10649.1651,
10.46,10780.4739,
10.57,10778.2812,
10.67,10826.8422,
10.77,10739.2148,
10.87,10751.9516,
10.99,10768.5387,
11.09,10848.9592,
11.2,10997.7134,
11.31,10798.0668,
11.41,10803.546,
11.52,10867.859,
11.62,10849.6275,
11.72,10722.9426,
11.82,10731.102,
11.92,10647.0305,
12.03,10679.3806,
12.13,10690.0309,
12.23,10801.3189,
12.33,10764.1962,
12.43,10722.9361,
12.54,10701.9731,
12.64,10694.4785,
12.75,10763.3534,
12.85,10714.0703,
12.95,10697.2152,
13.05,10693.5746,
13.16,10719.6258,
13.26,10802.89,
13.37,10779.8512,
13.48,10676.0044,
13.58,10688.0857,
13.68,10397.384,
13.79,10456.3981,
13.89,10345.4842,
13.99,10418.3179,
14.1,10381.3702,
14.2,10362.0003,
14.31,10525.935,
14.41,10638.359,
14.52,10651.9304,
14.62,10562.1048,
14.73,10566.6006,
14.83,10452.1952,
14.93,10446.042,
15.03,10448.8133,
15.14,10444.6208,
15.24,10468.4343,
15.35,10473.4674,
15.45,10476.9959,
15.55,10478.2122,
15.65,10428.0094,
15.75,10414.2108,
15.85,10513.1295,
15.96,10525.2314,
16.07,10460.37,
16.17,10451.6874,
16.28,10449.873,
16.42,10573.782,
16.52,10578.685,
16.63,10578.685,
16.73,10629.6095,
16.85,10611.0662,
16.95,10521.7378,
17.07,10537.451,
17.17,10453.3819,
17.28,10508.5779,
17.38,10478.3048,
17.49,10592.0653,
17.6,10591.6675,
17.7,10584.7722,
17.81,10505.4387,
17.92,10552.879,
18.04,10552.879,
18.14,10538.4256,
18.25,10571.6877,
18.35,10609.0358,
18.45,10296.9404,
18.55,10222.5317,
18.66,10295.8303,
18.76,10306.1177,
18.87,10289.3585,
18.97,10297.9231,
19.07,10251.6415,
19.17,10261.3573,
19.27,10259.7672,
19.37,10264.1417,
19.47,10274.7234,
19.57,10340.0597,
19.68,10295.9864,
19.79,10367.5193,
19.9,10472.609,
20.01,10434.1944,
20.11,10384.3459,
20.21,10384.3459,
20.31,10327.9916,
20.43,10266.4796,
20.53,10270.8766,
20.64,10292.2091,
20.74,10235.6444,
20.86,10286.6776,
20.96,10298.2819,
21.06,10268.4275,
21.16,10256.4915,
21.27,10242.9621,
21.37,10251.8987,
21.47,10238.9267,
21.57,10138.0728,
21.69,10238.4674,
21.79,10220.2586,
21.9,10211.9793,
22.0,10217.8211,
22.1,10166.6822,
22.2,10159.0541,
22.31,10175.2782,
22.41,10171.0743,
22.52,10177.0255,
22.62,10207.8168,
22.72,10119.243,
22.83,10174.3779,
22.93,10162.4216,
23.04,10235.6853,
23.14,10235.6853,
23.24,10295.751,
23.34,10248.0728,
23.44,10253.8526,
23.55,10258.8483,
23.65,10275.1035,
23.75,10328.3954,
23.86,10275.4064,
23.96,10262.6744,
24.06,10253.1966,
24.16,10303.0917,
24.29,10308.697,
24.4,10315.5191,
24.5,10315.5191,
24.6,10248.5242,
24.7,10307.769,
24.81,10280.9666,
24.91,10280.9666,
25.02,10280.9666,
25.22,10280.9666,
25.32,10264.1829,
25.42,10274.9084,
25.52,10365.3724,
25.63,10388.6746,
