elapsed_sec,best_cost,improvement_pct
0.1,10211.7619,
0.2,10211.7619,
0.3,10211.7619,
0.4,10211.7619,
0.51,10211.7619,
0.61,10211.7619,
0.71,10211.7619,
0.81,10211.7619,
0.91,10211.7619,
1.01,10211.7619,
1.12,10211.7619,
1.22,10211.7619,
1.32,10211.7619,
1.42,10211.7619,
1.52,10211.7619,
1.62,10211.7619,
1.73,10211.7619,
1.83,10211.7619,
1.93,10211.7619,
2.03,10211.7619,
2.13,10211.7619,
2.23,10211.7619,
2.33,10211.7619,
2.43,10211.7619,
2.53,10211.7619,
2.64,10211.7619,
2.74,10211.7619,
2.84,10211.7619,
2.94,10211.7619,
3.18,10211.7619,
3.28,10211.7619,
3.38,10211.7619,
3.48,10211.7619,
3.58,10211.7619,
3.68,10211.7619,
3.78,10211.7619,
3.89,10211.7619,
3.99,10211.7619,
4.09,10211.7619,
4.19,10211.7619,
4.29,10211.7619,
4.39,10211.7619,
4.49,10211.7619,
4.6,10211.7619,
4.7,10211.7619,
4.8,10211.7619,
4.9,10211.7619,
5.0,10211.7619,
5.11,10211.7619,
5.21,10211.7619,
5.31,10211.7619,
5.41,10211.7619,
5.51,10211.7619,
5.61,10211.7619,
5.71,10211.7619,
5.81,10211.7619,
5.91,10211.7619,
6.01,10211.7619,
6.12,10211.7619,
6.22,10211.7619,
6.32,10211.7619,
6.42,10211.7619,
6.52,10211.7619,
6.63,10211.7619,
6.73,10211.7619,
6.83,10211.7619,
6.93,10211.7619,
7.03,10211.7619,
7.13,10211.7619,
7.23,10211.7619,
7.33,10211.7619,
7.43,10211.7619,
7.53,10211.7619,
7.63,10211.7619,
7.73,10211.7619,
7.83,10211.7619,
7.94,10211.7619,
8.04,10211.7619,
8.14,10211.7619,
8.24,10211.7619,
8.41,10211.7619,
8.51,10211.7619,
8.61,10211.7619,
8.72,10211.7619,
8.82,10211.7619,
8.92,10211.7619,
9.02,10211.7619,
9.12,10211.7619,
9.23,10211.7619,
9.33,10211.7619,
9.43,10211.7619,
9.53,10211.7619,
9.63,10211.7619,
9.74,10211.7619,
9.84,10211.7619,
9.94,10211.7619,
10.04,10211.7619,
10.14,10211.7619,
10.24,10211.7619,
10.34,10211.7619,
10.44,10211.7619,
10.54,10211.7619,
10.64,10211.7619,
10.74,10211.7619,
10.85,10211.7619,
10.95,10211.7619,
11.05,10211.7619,
11.15,10211.7619,
11.25,10211.7619,
11.35,10211.7619,
11.46,10211.7619,
11.56,10211.7619,
11.66,10211.7619,
11.76,10211.7619,
11.86,10211.7619,
11.96,10211.7619,
12.06,10211.7619,
12.16,10211.7619,
12.26,10211.7619,
12.37,10211.7619,
12.47,10211.7619,
12.57,10211.7619,
12.67,10211.7619,
12.77,10211.7619,
12.87,10211.7619,
12.97,10211.7619,
13.08,10211.7619,
13.18,10211.7619,
13.28,10211.7619,
13.38,10211.7619,
13.55,10211.7619,
13.66,10211.7619,
13.76,10211.7619,
13.86,10211.7619,
13.97,10211.7619,
14.07,10211.7619,
14.17,10211.7619,
14.27,10211.7619,
14.37,10211.7619,
14.47,10211.7619,
14.57,10211.7619,
14.67,10211.7619,
14.78,10211.7619,
14.88,10211.7619,
14.98,10211.7619,
15.08,10211.7619,
15.18,10211.7619,
15.28,10211.7619,
15.38,10211.7619,
15.49,10211.7619,
15.59,10211.7619,
15.69,10211.7619,
15.79,10211.7619,
15.89,10211.7619,
15.99,10211.7619,
16.09,10211.7619,
16.2,10211.7619,
16.3,10211.7619,
16.4,10211.7619,
16.5,10211.7619,
16.6,10211.7619,
16.7,10211.7619,
16.8,10211.7619,
16.91,10211.7619,
17.01,10211.7619,
17.11,10211.7619,
17.21,10211.7619,
17.31,10211.7619,
17.41,10211.7619,
17.52,10211.7619,
17.62,10211.7619,
17.72,10211.7619,
17.82,10211.7619,
17.92,10211.7619,
18.03,10211.7619,
18.13,10211.7619,
18.23,10211.7619,
18.33,10211.7619,
18.43,10211.7619,
18.59,10211.7619,
18.7,10211.7619,
18.8,10211.7619,
18.9,10211.7619,
19.0,10211.7619,
19.1,10211.7619,
19.21,10211.7619,
19.31,10211.7619,
19.41,10211.7619,
19.51,10211.7619,
19.62,10211.7619,
19.72,10211.7619,
19.82,10211.7619,
19.92,10211.7619,
20.02,10211.7619,
20.12,10211.7619,
20.23,10211.7619,
20.33,10211.7619,
20.43,10211.7619,
20.53,10211.7619,
20.63,10211.7619,
20.74,10211.7619,
20.84,10211.7619,
20.94,10211.7619,
21.04,10211.7619,
21.14,10211.7619,
21.24,10211.7619,
21.34,10211.7619,
21.44,10211.7619,
21.54,10211.7619,
21.64,10211.7619,
21.75,10211.7619,
21.85,10211.7619,
21.95,10211.7619,
22.05,10211.7619,
22.15,10211.7619,
22.26,10211.7619,
22.36,10211.7619,
22.46,10211.7619,
22.56,10211.7619,
22.66,10211.7619,
22.77,10211.7619,
22.87,10211.7619,
22.98,10211.7619,
23.08,10211.7619,
23.18,10211.7619,
23.28,10211.7619,
23.38,10211.7619,
23.48,10211.7619,
23.58,10211.7619,
23.74,10211.7619,
23.84,10211.7619,
23.94,10211.7619,
24.05,10211.7619,
24.15,10211.7619,
24.25,10211.7619,
24.35,10211.7619,
24.46,10211.7619,
24.56,10211.7619,
24.66,10211.7619,
24.76,10211.7619,
24.86,10211.7619,
24.96,10211.7619,
25.07,10211.7619,
25.17,10211.7619,
25.27,10211.7619,
25.37,10211.7619,
25.47,10211.7619,
25.57,10211.7619,
25.67,10211.7619,
25.77,10211.7619,
25.87,10211.7619,
25.97,10211.7619,
26.07,10211.7619,
26.17,10211.7619,
26.28,10211.7619,
26.38,10211.7619,
26.48,10211.7619,
26.58,10211.7619,
26.68,10211.7619,
26.78,10211.7619,
26.88,10211.7619,
26.98,10211.7619,
27.08,10211.7619,
27.19,10211.7619,
27.29,10211.7619,
27.39,10211.7619,
27.49,10211.7619,
27.6,10211.7619,
27.7,10211.7619,
27.8,10211.7619,
27.9,10211.7619,
28.0,10211.7619,
28.1,10211.7619,
28.2,10211.7619,
28.3,10211.7619,
28.41,10211.7619,
28.51,10211.7619,
28.61,10211.7619,
28.78,10211.7619,
28.88,10211.7619,
28.99,10211.7619,
29.09,10211.7619,
29.19,10211.7619,
29.29,10211.7619,
29.39,10211.7619,
29.49,10211.7619,
29.59,10211.7619,
29.69,10211.7619,
29.8,10211.7619,
29.9,10211.7619,
30.0,10211.7619,
30.1,10211.7619,
30.2,10211.7619,
30.3,10211.7619,
30.41,10211.7619,
30.51,10211.7619,
30.61,10211.7619,
30.71,10211.7619,
30.81,10211.7619,
30.91,10211.7619,
31.02,10211.7619,
31.12,10211.7619,
31.22,10211.7619,
31.33,10211.7619,
31.43,10211.7619,
31.53,10211.7619,
31.63,10211.7619,
31.74,10211.7619,
31.84,10211.7619,
31.94,10211.7619,
32.04,10211.7619,
32.14,10211.7619,
32.24,10211.7619,
32.34,10211.7619,
32.44,10211.7619,
32.54,10211.7619,
32.64,10211.7619,
32.75,10211.7619,
32.85,10211.7619,
32.95,10211.7619,
33.06,10211.7619,
33.16,10211.7619,
33.26,10211.7619,
33.36,10211.7619,
33.46,10211.7619,
33.56,10211.7619,
33.66,10211.7619,
33.76,10211.7619,
33.94,10211.7619,
34.04,10211.7619,
34.14,10211.7619,
34.24,10211.7619,
34.34,10211.7619,
34.44,10211.7619,
34.54,10211.7619,
34.64,10211.7619,
34.74,10211.7619,
34.84,10211.7619,
34.94,10211.7619,
35.04,10211.7619,
35.15,10211.7619,
35.25,10211.7619,
35.35,10211.7619,
35.45,10211.7619,
35.55,10211.7619,
35.65,10211.7619,
35.75,10211.7619,
35.86,10211.7619,
35.96,10211.7619,
36.06,10211.7619,
36.16,10211.7619,
36.26,10211.7619,
36.36,10211.7619,
36.46,10211.7619,
36.56,10211.7619,
36.66,10211.7619,
36.76,10211.7619,
36.87,10211.7619,
36.97,10211.7619,
37.07,10211.7619,
37.17,10211.7619,
37.27,10211.7619,
37.37,10211.7619,
37.47,10211.7619,
37.57,10211.7619,
37.67,10211.7619,
37.78,10211.7619,
37.88,10211.7619,
37.98,10211.7619,
38.08,10211.7619,
38.18,10211.7619,
38.28,10211.7619,
38.38,10211.7619,
38.49,10211.7619,
38.59,10211.7619,
38.69,10211.7619,
38.79,10211.7619,
38.9,10211.7619,
39.08,10211.7619,
39.18,10211.7619,
39.28,10211.7619,
39.38,10211.7619,
39.48,10211.7619,
39.58,10211.7619,
39.69,10211.7619,
39.79,10211.7619,
39.89,10211.7619,
39.99,10211.7619,
40.1,10211.7619,
40.2,10211.7619,
40.3,10211.7619,
40.4,10211.7619,
40.5,10211.7619,
40.6,10211.7619,
40.7,10211.7619,
40.81,10211.7619,
40.91,10211.7619,
41.01,10211.7619,
41.11,10211.7619,
41.21,10211.7619,
41.31,10211.7619,
41.41,10211.7619,
41.51,10211.7619,
41.62,10211.7619,
41.72,10211.7619,
41.82,10211.7619,
41.92,10211.7619,
42.02,10211.7619,
42.13,10211.7619,
42.23,10211.7619,
42.33,10211.7619,
42.43,10211.7619,
42.53,10211.7619,
42.64,10211.7619,
42.74,10211.7619,
42.84,10211.7619,
42.95,10211.7619,
43.05,10211.7619,
43.15,10211.7619,
43.25,10211.7619,
43.35,10211.7619,
43.45,10211.7619,
43.55,10211.7619,
43.65,10211.7619,
43.76,10211.7619,
43.86,10211.7619,
43.96,10211.7619,
44.18,10211.7619,
44.28,10211.7619,
44.38,10211.7619,
44.48,10211.7619,
44.59,10211.7619,
44.69,10211.7619,
44.79,10211.7619,
44.89,10211.7619,
44.99,10211.7619,
45.09,10211.7619,
45.19,10211.7619,
45.3,10211.7619,
45.4,10211.7619,
45.5,10211.7619,
45.6,10211.7619,
45.7,10211.7619,
45.8,10211.7619,
45.9,10211.7619,
46.01,10211.7619,
46.11,10211.7619,
46.21,10211.7619,
46.32,10211.7619,
46.42,10211.7619,
46.52,10211.7619,
46.62,10211.7619,
46.72,10211.7619,
46.83,10211.7619,
46.93,10211.7619,
47.03,10211.7619,
47.13,10211.7619,
47.23,10211.7619,
47.34,10211.7619,
47.44,10211.7619,
47.54,10211.7619,
47.64,10211.7619,
47.74,10211.7619,
47.84,10211.7619,
47.94,10211.7619,
48.05,10211.7619,
48.15,10211.7619,
48.25,10211.7619,
48.35,10211.7619,
48.45,10211.7619,
48.56,10211.7619,
48.66,10211.7619,
48.76,10211.7619,
48.86,10211.7619,
48.96,10211.7619,
49.06,10211.7619,
49.16,10211.7619,
49.33,10211.7619,
49.43,10211.7619,
49.54,10211.7619,
49.64,10211.7619,
49.74,10211.7619,
49.84,10211.7619,
49.94,10211.7619,
50.04,10211.7619,
50.14,10211.7619,
50.25,10211.7619,
50.35,10211.7619,
50.45,10211.7619,
50.55,10211.7619,
50.65,10211.7619,
50.75,10211.7619,
50.85,10211.7619,
50.96,10211.7619,
51.06,10211.7619,
51.16,10211.7619,
51.26,10211.7619,
51.37,10211.7619,
51.47,10211.7619,
51.57,10211.7619,
51.67,10211.7619,
51.77,10211.7619,
51.87,10211.7619,
51.97,10211.7619,
52.07,10211.7619,
52.17,10211.7619,
52.27,10211.7619,
52.38,10211.7619,
52.48,10211.7619,
52.58,10211.7619,
52.68,10211.7619,
52.78,10211.7619,
52.88,10211.7619,
52.98,10211.7619,
53.09,10211.7619,
53.19,10211.7619,
53.29,10211.7619,
53.39,10211.7619,
53.49,10211.7619,
53.59,10211.7619,
53.69,10211.7619,
53.8,10211.7619,
53.9,10211.7619,
54.0,10211.7619,
54.1,10211.7619,
54.2,10211.7619,
54.3,10211.7619,
54.4,10211.7619,
54.57,10211.7619,
54.67,10211.7619,
54.77,10211.7619,
54.88,10211.7619,
54.98,10211.7619,
55.08,10211.7619,
55.18,10211.7619,
55.28,10211.7619,
55.38,10211.7619,
55.49,10211.7619,
55.59,10211.7619,
55.69,10211.7619,
55.79,10211.7619,
55.89,10211.7619,
56.0,10211.7619,
56.1,10211.7619,
56.2,10211.7619,
56.3,10211.7619,
56.41,10211.7619,
56.51,10211.7619,
56.61,10211.7619,
56.71,10211.7619,
56.81,10211.7619,
56.91,10211.7619,
57.02,10211.7619,
57.12,10211.7619,
57.23,10211.7619,
57.33,10211.7619,
57.43,10211.7619,
57.53,10211.7619,
57.63,10211.7619,
57.73,10211.7619,
57.83,10211.7619,
57.94,10211.7619,
58.04,10211.7619,
58.14,10211.7619,
58.24,10211.7619,
58.34,10211.7619,
58.44,10211.7619,
58.54,10211.7619,
58.65,10211.7619,
58.75,10211.7619,
58.86,10211.7619,
58.96,10211.7619,
59.06,10211.7619,
59.16,10211.7619,
59.27,10211.7619,
59.37,10211.7619,
59.58,10211.7619,
59.68,10211.7619,
60.01,10211.7619,
