elapsed_sec,best_cost,improvement_pct
0.14,10203.8684,
0.25,10196.3774,
0.4,10196.3774,
0.52,10200.3344,
0.64,10200.3344,
0.75,10200.3344,
0.86,10200.3344,
0.97,9922.1735,
1.08,9909.5239,
1.18,9935.604,
1.3,9937.8594,
1.41,9920.9305,
1.52,9909.4305,
1.63,9911.2853,
1.74,9921.572,
1.85,9930.9681,
1.96,9933.1345,
2.08,9933.1532,
2.19,9924.8359,
2.3,9917.9426,
2.41,9934.4811,
2.52,9929.09,
2.63,9929.09,
2.74,9932.8753,
2.85,9919.4448,
2.96,9924.6561,
3.07,9930.8943,
3.18,9924.4566,
3.3,9917.0149,
3.42,9916.4172,
3.53,9909.5239,
3.64,9926.0624,
3.75,9920.6713,
3.86,9926.0624,
3.97,9929.3921,
4.08,9916.4172,
4.19,9911.0261,
4.3,9916.4172,
4.41,9914.915,
4.52,9916.4172,
4.63,9917.0149,
4.75,9909.5239,
4.86,9909.5239,
4.97,9929.09,
5.09,9929.09,
5.2,9931.232,
5.32,9919.4448,
5.43,9919.4448,
5.54,9919.4448,
5.65,9917.9426,
5.77,9919.4448,
5.88,9919.4448,
5.99,9923.3337,
6.1,9909.5239,
6.22,9918.6919,
6.33,9926.6601,
6.44,9927.9955,
6.55,9917.0149,
6.66,9917.0149,
6.77,9917.0149,
6.89,9915.5127,
7.0,9915.5127,
7.11,9917.0149,
7.23,9934.9214,
7.34,9909.5239,
7.45,9909.5239,
7.57,9929.09,
7.68,9929.2067,
7.79,9919.4448,
7.9,9919.4448,
8.02,9919.4448,
8.13,9917.9426,
8.24,9917.9426,
8.35,9919.4448,
8.47,9935.1307,
8.58,9923.3337,
8.7,9909.5239,
8.81,9909.4305,
8.92,9920.9305,
9.04,9911.2853,
9.15,9910.9327,
9.27,9911.2853,
9.38,9909.7831,
9.49,9909.4305,
9.6,9915.5127,
9.72,9927.9955,
9.83,9927.9955,
9.94,9927.1106,
10.06,9923.9314,
10.17,9923.9314,
10.28,9925.4336,
10.39,9935.1955,
10.5,9937.2208,
10.61,9937.6016,
10.72,9923.3337,
10.83,9923.3337,
10.95,9917.9426,
11.06,9917.9426,
11.17,9923.3337,
11.28,9926.0624,
11.39,9929.3921,
11.5,9911.0261,
11.61,9929.3921,
11.72,9936.5305,
11.83,9909.7831,
11.94,9909.7831,
12.05,9909.4305,
12.16,9909.7831,
12.27,9909.7831,
12.39,9909.4305,
12.5,9909.5239,
12.61,9926.0624,
12.72,9916.4172,
12.83,9923.3337,
12.94,9923.3337,
13.06,9917.9426,
13.17,9917.8492,
13.28,9931.4912,
13.39,9931.651,
13.51,9931.651,
13.62,9933.1345,
13.73,9936.4012,
13.85,9923.3337,
13.95,9919.4448,
14.07,9909.5239,
14.18,9926.0624,
14.3,9926.712,
14.41,9915.5127,
14.52,9915.5127,
14.63,9915.5127,
14.74,9915.5127,
14.85,9915.5127,
14.97,9915.5127,
15.08,9915.5127,
15.19,9924.037,
15.31,9915.5127,
15.42,9915.5127,
15.53,9915.5127,
15.64,9914.915,
15.75,9909.7831,
15.86,9917.8492,
15.98,9917.8492,
16.09,9917.8492,
16.2,9917.8492,
16.32,9917.8492,
16.43,9921.2194,
16.54,9917.8492,
16.65,9917.8492,
16.77,9917.8492,
16.88,9917.8492,
16.99,9917.8492,
17.1,9932.7233,
17.21,9918.6919,
17.32,9915.5127,
17.44,9927.9955,
17.55,9917.0149,
17.66,9917.0149,
17.77,9926.6601,
17.88,9927.9955,
18.0,9929.1829,
18.11,9929.1829,
18.23,9930.0226,
18.34,9930.0226,
18.45,9914.915,
18.56,9909.7831,
18.67,9909.7831,
18.78,9924.7158,
18.89,9923.2323,
19.0,9917.8492,
19.12,9917.8492,
19.23,9917.8492,
19.34,9917.8492,
19.46,9918.2018,
19.57,9919.704,
19.69,9936.4012,
19.8,9923.3337,
19.91,9918.2018,
20.02,9918.2018,
20.14,9921.572,
20.26,9930.8514,
20.37,9930.9681,
20.48,9911.2853,
20.6,9909.7831,
20.71,9909.4305,
20.83,9909.7831,
20.94,9911.2853,
21.06,9927.9825,
21.17,9914.915,
21.29,9909.7831,
21.4,9909.7831,
21.51,9922.4327,
