elapsed_sec,best_cost,improvement_pct
0.1,9719.7472,
0.21,10365.4851,
0.31,10263.5488,
0.41,10374.177,
0.51,10092.0102,
0.62,10158.1127,
0.72,10094.0397,
0.82,9909.6192,
0.92,9923.5113,
1.03,9874.009,
1.13,9971.169,
1.23,10034.471,
1.34,9876.2176,
1.44,10243.7609,
1.54,10060.811,
1.64,9869.4022,
1.75,9973.2447,
1.85,9984.238,
1.95,10085.7442,
2.05,9809.1096,
2.15,9700.7733,
2.26,9680.7662,
2.36,9588.2367,
2.47,10023.5929,
2.57,9770.6216,
2.67,9838.3942,
2.77,9869.6499,
2.88,10119.5482,
2.98,10279.2925,
3.08,10050.1268,
3.18,9999.6647,
3.29,9934.4458,
3.39,9847.928,
3.49,10038.8032,
3.59,9923.8513,
3.69,10140.9463,
3.79,10125.6959,
3.9,10244.4055,
4.0,10321.9848,
4.11,10231.4537,
4.21,10099.8589,
4.31,10033.9916,
4.41,10046.4853,
4.51,10127.8538,
4.62,10259.7281,
4.72,10210.0972,
4.82,10208.933,
4.92,10400.5511,
5.02,10266.9774,
5.13,10287.6947,
5.23,10193.1051,
5.33,10202.8816,
5.43,10217.7225,
5.53,10083.2044,
5.63,10016.8228,
5.74,10152.7568,
5.84,10147.6515,
5.95,9878.6418,
6.05,9883.7929,
6.15,10226.599,
6.25,10157.1782,
6.36,10143.3459,
6.46,10100.1227,
6.56,10042.5289,
6.66,9885.9767,
6.76,9874.9227,
6.86,9986.1347,
6.96,9743.331,
7.07,9771.7678,
7.17,9861.3803,
7.27,9865.9214,
7.37,9820.9624,
7.49,9935.8107,
7.59,9884.4832,
7.69,9834.3445,
7.79,9846.2525,
7.9,9858.6357,
8.01,9888.4353,
8.11,10146.2469,
8.21,10128.4164,
8.31,10206.3223,
8.41,10039.174,
8.51,10112.9299,
8.61,10030.5179,
8.71,10109.5133,
8.82,10093.1885,
8.92,9793.069,
9.02,9748.7858,
9.27,9596.7978,
9.38,9559.7925,
9.48,9618.4259,
9.58,9666.142,
9.69,9625.6145,
9.79,9647.4073,
9.9,9656.4749,
10.0,9560.0717,
10.1,9577.6874,
10.21,9567.2311,
10.32,9559.7149,
10.43,9577.1707,
10.53,9623.6973,
10.63,9684.1642,
10.74,9676.0586,
10.84,9706.8188,
10.94,9651.3966,
11.05,9664.6688,
11.15,9594.907,
11.25,9599.8304,
11.35,9626.5369,
11.46,9624.4163,
11.56,9606.3502,
11.66,9485.7506,
11.76,9449.3257,
11.88,9528.1975,
11.98,9574.2011,
12.08,9574.2011,
12.18,9493.4224,
12.28,9215.4616,
12.39,9209.9169,
12.49,9217.4151,
12.59,9252.376,
12.7,9254.5062,
12.8,9239.7961,
12.9,9281.2468,
13.0,9296.7452,
13.1,9254.9938,
13.21,9257.6305,
13.31,9297.5067,
13.42,9313.0282,
13.52,9281.4622,
13.62,9288.9563,
13.72,9287.3589,
13.84,9286.9961,
13.94,9280.4287,
14.04,9270.9373,
14.14,9274.1349,
14.24,9400.3557,
14.34,9366.4044,
14.44,9371.3064,
14.54,9371.3064,
14.64,9399.3955,
14.74,9414.2776,
14.86,9400.1862,
14.96,9351.8711,
15.06,9334.9899,
15.17,9357.4552,
15.27,9363.2253,
15.38,9363.4648,
15.49,9339.932,
15.59,9251.7679,
15.69,9251.7679,
15.81,9254.4624,
15.91,9318.5098,
16.01,9185.7165,
16.11,9172.4513,
16.22,9184.8331,
16.32,9180.7637,
16.42,9180.7637,
16.52,9112.7766,
16.64,9112.9093,
16.74,9134.4283,
16.85,9201.4189,
16.96,9245.1772,
17.06,9236.579,
17.16,9240.4493,
17.27,9226.2586,
17.37,9121.5619,
17.47,9107.9294,
17.58,9118.3892,
17.68,9111.2716,
17.78,9111.8814,
17.88,9162.7661,
17.98,9107.9617,
18.08,9123.3404,
18.19,9144.3382,
18.3,9135.1757,
18.4,9123.706,
18.5,9100.8463,
18.6,9089.7462,
18.7,9100.912,
18.81,9186.7196,
18.91,9147.0988,
19.01,9149.4503,
19.13,9175.3028,
19.23,9167.6255,
19.33,9224.0406,
19.44,9217.6344,
19.54,9234.2892,
19.64,9182.2332,
19.75,9246.58,
19.85,9223.3718,
19.95,9218.7881,
20.05,9207.1024,
20.15,9198.4237,
20.27,9214.2675,
20.37,9251.1987,
20.48,9261.4262,
20.58,9235.1101,
20.68,9249.585,
20.79,9310.8433,
20.89,9340.8905,
20.99,9351.0175,
21.09,9336.648,
21.19,9258.4459,
21.29,9193.3291,
21.4,9170.7108,
21.5,9183.0311,
21.6,8976.9874,
21.71,8968.2067,
21.83,8963.542,
21.93,9005.7129,
22.03,9107.4793,
22.14,9044.9373,
22.24,9018.1568,
22.34,9007.048,
22.44,9032.4343,
22.54,9052.2524,
22.66,9054.8183,
22.76,8829.5849,
22.86,8818.4051,
22.96,8816.2373,
23.06,8801.3762,
23.16,8813.0947,
23.26,8809.7909,
23.38,8805.1656,
23.48,8821.2968,
23.59,8891.6293,
23.69,8825.3133,
23.79,8814.1316,
23.9,8801.9243,
24.02,8806.7453,
24.12,8816.3205,
24.23,8812.1689,
24.33,8819.5839,
24.43,8820.4462,
24.53,8786.234,
24.63,8786.234,
24.73,8829.9385,
24.83,8828.1639,
24.93,8830.4815,
25.04,8796.6801,
25.14,8791.8653,
25.25,8801.2104,
25.35,8824.1286,
25.45,8819.2369,
25.55,8819.2369,
25.66,8821.7786,
25.76,8827.8104,
25.86,8798.3579,
25.97,8800.7931,
26.07,8806.0692,
26.19,8839.7584,
26.29,8818.0514,
26.41,8838.8033,
26.51,8813.0806,
26.61,8814.757,
26.72,8815.3103,
26.82,8810.9175,
26.93,8807.3639,
27.04,8796.3758,
27.14,8810.0917,
27.25,8806.6775,
27.35,8792.2436,
27.46,8795.2703,
27.56,8815.1988,
27.66,8812.073,
27.77,8800.126,
27.87,8804.13,
27.98,8804.13,
28.08,8799.3609,
28.18,8806.9376,
28.29,8829.9888,
28.48,8829.9888,
28.58,8813.8444,
28.69,8812.0465,
28.79,8805.9673,
28.89,8806.3171,
28.99,8844.2143,
29.09,8848.3418,
29.19,8813.9645,
29.3,8756.2957,
29.4,8751.3217,
29.5,8747.9603,
29.6,8749.8768,
29.7,8744.6059,
29.8,8751.4129,
29.9,8741.935,
30.0,8741.935,
30.1,8747.657,
30.21,8748.6067,
30.32,8751.7049,
30.42,8746.1005,
30.52,8746.1005,
30.63,8745.1361,
30.73,8742.3009,
30.84,8760.0551,
30.95,8752.9049,
31.05,8748.3458,
31.15,8749.5647,
31.25,8743.8427,
31.35,8739.2836,
31.46,8749.9269,
31.56,8754.0572,
31.66,8756.0619,
31.76,8753.1363,
31.86,8748.723,
31.96,8748.723,
32.07,8748.723,
32.17,8748.723,
32.28,8739.3357,
32.38,8743.5961,
32.48,8744.1567,
32.58,8737.003,
32.68,8741.2207,
32.8,8765.1352,
32.9,8765.1352,
33.01,8752.7549,
33.11,8752.7549,
33.21,8767.8411,
33.31,8759.4972,
33.41,8741.6071,
33.52,8741.51,
33.62,8741.51,
33.72,8713.5666,
33.83,8713.5666,
33.94,8709.0658,
34.04,8721.37,
34.14,8716.4251,
34.25,8705.78,
34.35,8715.6722,
34.45,8714.9694,
34.55,8714.9694,
34.65,8717.3539,
34.76,8710.5001,
34.86,8726.0529,
34.96,8717.7063,
35.09,8707.313,
35.19,8721.522,
35.3,8720.4787,
35.4,8729.2137,
35.51,8721.2686,
35.61,8721.2686,
35.71,8739.2218,
35.81,8730.3161,
35.91,8714.7438,
36.01,8714.7438,
36.11,8714.7438,
36.22,8709.9228,
36.34,8709.9228,
36.44,8706.3027,
36.54,8695.2446,
36.64,8695.2446,
36.75,8698.6152,
36.85,8698.409,
36.95,8694.7889,
37.06,8691.1582,
37.16,8691.1582,
37.27,8686.5312,
37.37,8678.9696,
37.47,8678.9696,
37.57,8678.9696,
37.67,8678.9696,
37.77,8691.1157,
37.87,8686.5312,
37.98,8686.5312,
38.09,8690.598,
38.19,8697.5436,
38.29,8701.9821,
38.39,8697.1611,
38.49,8716.7369,
38.59,8721.5579,
38.7,8721.5579,
38.8,8698.8468,
38.91,8698.8468,
39.01,8708.1856,
39.11,8705.4844,
39.21,8699.1052,
39.32,8699.1052,
39.43,8707.3601,
39.53,8701.0694,
39.63,8704.2532,
39.73,8706.7388,
39.84,8701.6053,
39.94,8697.7223,
40.04,8697.7223,
40.14,8665.2615,
40.24,8666.1538,
40.34,8660.1955,
40.44,8660.1955,
40.55,8659.8621,
40.66,8659.6343,
40.76,8659.6343,
40.86,8659.6343,
40.96,8662.7735,
41.06,8665.5152,
41.16,8665.5152,
41.27,8670.6966,
41.37,8665.601,
41.47,8686.0339,
41.57,8686.0339,
41.69,8684.235,
41.79,8658.8987,
41.89,8659.1252,
41.99,8659.8877,
42.1,8661.5538,
42.2,8661.5538,
42.3,8649.9991,
42.4,8653.6192,
42.5,8653.6192,
42.62,8653.6192,
42.72,8656.5289,
42.83,8656.5289,
42.93,8658.8641,
43.03,8664.0888,
43.13,8665.7082,
43.23,8664.5087,
43.33,8664.5087,
43.44,8664.5087,
43.55,8658.6391,
43.65,8656.6938,
43.75,8654.0545,
43.85,8654.0545,
43.96,8654.0545,
44.06,8645.3349,
44.17,8645.3349,
44.27,8645.3349,
44.37,8645.3349,
44.47,8645.3349,
44.57,8645.3349,
44.67,8645.3349,
44.78,8644.3349,
44.88,8644.3349,
44.98,8644.3349,
45.09,8644.3349,
45.19,8645.3349,
45.3,8652.9206,
45.4,8660.8945,
45.5,8660.8945,
45.6,8660.8945,
45.7,8660.8945,
45.8,8660.8945,
45.91,8660.8945,
46.02,8660.8945,
46.12,8660.8945,
46.22,8660.8945,
46.32,8654.0545,
46.42,8654.0545,
46.53,8654.0545,
46.63,8668.1159,
46.73,8656.8968,
46.84,8656.8968,
46.94,8656.8968,
47.05,8656.8968,
47.15,8662.4878,
47.25,8662.4878,
47.35,8662.4878,
47.45,8664.23,
47.55,8654.9516,
47.65,8654.9516,
47.75,8654.9516,
47.86,8654.9516,
47.96,8654.9516,
48.06,8654.9516,
48.16,8654.9516,
48.26,8658.2184,
48.37,8659.3138,
48.47,8659.3138,
48.57,8656.9282,
48.67,8659.1108,
48.77,8658.204,
48.87,8655.2502,
48.97,8650.3543,
49.17,8650.3543,
49.27,8650.3543,
49.37,8650.3543,
49.47,8650.8788,
49.57,8650.8788,
49.68,8650.8788,
49.78,8649.8187,
49.88,8649.8187,
49.98,8649.8187,
50.09,8649.8187,
50.19,8649.8187,
50.29,8649.8187,
50.39,8657.4086,
50.5,8650.8788,
50.6,8650.8788,
50.7,8650.8788,
50.8,8651.3146,
50.9,8652.7931,
51.01,8653.0348,
51.11,8652.908,
51.21,8651.9601,
51.31,8651.9601,
51.42,8650.0598,
51.52,8650.0598,
51.62,8651.7689,
51.73,8651.7689,
51.83,8651.7689,
51.93,8658.9299,
52.03,8657.0703,
52.13,8657.0703,
52.24,8657.0703,
52.35,8657.2471,
52.46,8657.2471,
52.56,8657.2471,
52.66,8652.8341,
52.77,8647.9718,
52.87,8647.9718,
52.97,8647.9718,
53.08,8647.9718,
