elapsed_sec,best_cost,improvement_pct
0.1,9069.2623,
0.2,9561.9385,
0.31,9614.9954,
0.41,10314.7441,
0.51,10145.0025,
0.61,9863.224,
0.72,9849.326,
0.82,10004.2107,
0.92,9730.859,
1.02,9672.2945,
1.12,9689.0568,
1.22,10086.3758,
1.32,10039.8691,
1.42,10001.6063,
1.59,10075.8602,
1.69,10107.6198,
1.79,10047.4062,
1.89,10376.9141,
2.0,10538.4828,
2.1,10604.0994,
2.21,10576.9391,
2.31,10785.7809,
2.41,10756.8933,
2.51,10446.6,
2.61,11081.7651,
2.72,10830.0971,
2.82,10440.2224,
2.92,10728.5414,
3.04,10400.3373,
3.14,10163.5378,
3.24,10078.6508,
3.34,10390.5649,
3.44,10152.292,
3.55,10167.464,
3.67,10179.3304,
3.77,9891.9029,
3.88,9896.4672,
3.99,9733.4802,
4.12,9796.0353,
4.22,10122.9357,
4.32,10308.1207,
4.44,10385.4268,
4.55,10193.8613,
4.65,10363.5559,
4.76,9953.7261,
4.86,10300.7082,
4.96,10081.6611,
5.07,9765.5869,
5.18,9865.7123,
5.29,9829.2384,
5.39,9516.083,
5.5,9786.4773,
5.6,9803.2452,
5.7,9895.7701,
5.8,9758.9224,
5.91,9836.9357,
6.02,10025.0199,
6.12,10152.8089,
6.23,10059.5107,
6.33,10045.9198,
6.43,10304.8732,
6.53,10338.8676,
6.63,9998.7291,
6.74,9996.2313,
6.84,9932.1476,
6.96,9932.0546,
7.06,9926.003,
7.16,9977.7868,
7.26,10049.309,
7.36,10005.7219,
7.47,9987.4757,
7.57,10032.3244,
7.67,9916.5349,
7.77,10388.0494,
7.88,10419.4697,
7.98,10344.6066,
8.08,10196.5287,
8.18,9749.08,
8.28,9953.7954,
8.39,9833.3331,
8.49,9932.1945,
8.6,10000.1982,
8.7,10222.7622,
8.8,10150.024,
8.9,10022.1535,
9.0,10005.5143,
9.1,9754.5224,
9.2,10240.8525,
9.3,10040.801,
9.41,9976.129,
9.51,9889.2958,
9.61,9824.1121,
9.72,9543.9592,
9.82,9787.3946,
9.92,9736.5869,
10.02,9834.2839,
10.13,9596.5596,
10.23,9640.7132,
10.34,9642.2577,
10.44,9600.8214,
10.55,9664.6255,
10.65,9577.6584,
10.76,9668.5783,
10.86,9603.5322,
10.98,9599.2497,
11.08,10279.8172,
11.18,9602.5589,
11.28,9612.9557,
11.38,9736.3309,
11.49,9721.5674,
11.59,9643.8054,
11.71,9577.9761,
11.82,9555.1911,
11.93,9878.4184,
12.03,9972.8479,
12.13,9701.417,
12.23,9177.1333,
12.33,9231.9356,
12.46,9169.1911,
12.57,9262.1443,
12.67,9187.6162,
12.77,9432.3363,
12.87,9511.5192,
12.97,9476.8618,
13.08,9461.8192,
13.18,9484.7221,
13.28,9331.4611,
13.38,9390.5074,
13.48,9373.5545,
13.58,9345.5401,
13.68,9440.1816,
13.79,9734.2281,
13.9,9990.6753,
14.0,9924.4696,
14.1,9788.5,
14.2,9876.8845,
14.31,9932.1578,
14.41,10015.4362,
14.51,10074.7933,
14.61,9988.2726,
14.72,9454.7092,
14.82,9389.8084,
