elapsed_sec,best_cost,improvement_pct
0.11,8750.8205,
0.3,9135.3107,
0.4,9226.9487,
0.5,9223.1353,
0.61,9289.5502,
0.71,9393.1193,
0.81,9362.9652,
0.91,9624.701,
1.04,9601.7881,
1.14,9601.3551,
1.24,9643.3833,
1.34,9649.3947,
1.45,9647.7901,
1.55,9713.3219,
1.65,9859.258,
1.75,9783.9486,
1.85,9657.3758,
1.96,9641.8303,
2.06,9653.7962,
2.16,9768.6538,
2.26,9734.4206,
2.37,9714.1945,
2.47,9457.0584,
2.58,9797.7967,
2.68,9816.1342,
2.78,9469.3959,
2.89,9449.9846,
2.99,9509.0332,
3.1,9517.8168,
3.2,9524.0702,
3.3,9514.7022,
3.41,9486.5562,
3.51,9678.7137,
3.63,9636.2155,
3.73,9616.8556,
3.83,9620.591,
3.94,9602.1356,
4.04,9478.6053,
4.15,9404.6939,
4.25,9411.5872,
4.35,9675.4111,
4.45,9603.9558,
4.55,9563.1342,
4.65,9726.4427,
4.76,9743.8488,
4.86,9691.4648,
4.97,9708.2556,
5.08,9618.9009,
5.18,9627.3567,
5.28,9639.8825,
5.38,9643.2459,
5.5,9821.7686,
5.6,9952.5422,
5.7,10008.4467,
5.8,9882.5495,
5.9,9995.4092,
6.02,9993.1906,
6.12,10318.7411,
6.23,10093.1125,
6.33,10157.429,
6.43,10136.4875,
6.53,10199.8,
6.64,10102.15,
6.74,10143.1259,
6.84,9846.0257,
6.95,9798.0687,
7.05,9762.4666,
7.16,9752.8261,
7.26,9799.3131,
7.37,9824.0411,
7.47,9894.1495,
7.58,9838.8189,
7.68,9941.1596,
7.78,9996.7926,
7.88,10003.9295,
7.99,10013.1858,
8.1,9990.4914,
8.2,10194.6323,
8.3,10172.0319,
8.4,10211.9346,
8.51,10211.9346,
8.61,9671.5153,
8.71,9749.2866,
8.82,9740.3538,
8.92,9762.1356,
9.03,9752.0016,
9.14,9824.8516,
9.24,9792.8663,
9.34,9703.0516,
9.46,9874.3477,
9.56,9788.8926,
9.66,9772.067,
9.77,9689.1343,
9.87,9705.7252,
9.97,9683.1338,
10.07,9696.905,
10.17,9704.0233,
10.28,9404.4353,
10.39,9426.1051,
10.49,9364.5773,
10.59,9366.8928,
10.7,9359.9428,
10.8,9359.9428,
10.9,9359.7673,
11.0,9361.9305,
11.11,9346.3707,
11.21,9494.6084,
11.31,9495.8818,
11.41,9557.7247,
11.51,9564.9876,
11.62,9623.8266,
11.72,9731.8096,
11.83,9626.046,
11.93,9703.993,
12.04,9690.1751,
12.14,9661.3998,
12.25,9661.3998,
12.35,9685.485,
12.46,9596.4062,
12.56,9498.6225,
12.66,9553.8866,
12.77,9465.4962,
12.87,9475.5399,
12.99,9237.0948,
13.09,9276.1722,
13.19,9245.8341,
13.3,9315.0961,
13.4,9350.4449,
13.5,9431.6032,
13.6,9419.2514,
13.7,9420.9982,
13.81,9349.7561,
13.92,9345.8907,
14.02,9349.4658,
14.12,9309.6832,
14.23,9310.8672,
14.39,9310.8672,
14.5,9308.1512,
14.61,9292.9906,
14.72,9350.5139,
14.82,9350.5139,
14.93,9326.8664,
15.03,9320.8361,
15.14,9239.8506,
15.24,9224.7189,
15.34,9248.937,
15.44,9252.3058,
15.54,9244.8873,
15.65,9250.8823,
15.75,9270.4048,
15.85,9345.276,
15.96,9336.6634,
16.06,9323.7867,
16.16,9302.35,
16.26,9297.4101,
16.37,9293.7442,
16.47,9311.1816,
16.57,9311.5991,
16.67,9277.7459,
16.78,9286.7499,
16.88,9321.3942,
16.98,9236.5492,
17.09,9176.5066,
17.19,9188.1962,
17.29,9181.8206,
17.39,9214.2502,
17.49,9390.1702,
17.6,9390.1702,
17.71,9375.0349,
17.81,9357.9611,
17.91,9357.9611,
18.01,9303.363,
18.11,9307.6615,
18.21,9010.1169,
18.32,9131.778,
18.43,9123.4895,
18.53,9064.1045,
18.63,8983.4966,
18.73,8978.6756,
18.83,8983.1846,
18.93,9030.6736,
19.03,9039.3058,
19.14,9020.0142,
19.24,9063.9088,
19.37,9116.4779,
19.47,9033.1057,
19.57,9087.6629,
19.67,9062.1502,
19.78,9053.109,
19.88,9044.6826,
19.98,9041.7283,
20.09,9048.0875,
20.19,8999.6703,
20.29,9051.4207,
20.39,9061.4693,
20.5,9056.8808,
20.6,9064.4749,
20.71,8985.5278,
20.81,8974.0088,
20.92,8974.0088,
21.03,8977.7287,
21.13,8982.1435,
21.23,8998.409,
21.34,8993.6155,
21.44,8980.1276,
21.54,9041.6244,
21.64,9021.7523,
21.74,9060.5823,
21.85,9070.8672,
33.47,8697.188,
