elapsed_sec,best_cost,improvement_pct
30.83,11528.7879,
30.94,11518.7401,
31.05,11576.5738,
31.15,11645.7653,
31.25,11625.8626,
31.35,11615.6649,
31.46,11704.4691,
31.56,12035.6073,
31.66,12021.1124,
31.76,12021.8491,
31.87,11984.0733,
31.99,11902.303,
32.09,11912.1846,
32.19,12024.2672,
32.29,11673.8148,
32.39,11573.7755,
32.5,11565.339,
32.61,11581.7632,
32.71,11591.8877,
32.82,11573.4769,
32.92,11660.6136,
33.02,11723.7229,
33.13,11809.7064,
33.23,11686.6633,
33.34,11652.6736,
33.44,11648.993,
33.55,11656.8041,
33.65,11658.1006,
33.76,11666.587,
33.86,11659.5401,
33.96,11621.0004,
34.07,11669.2128,
34.17,11727.4407,
34.28,11746.0067,
34.39,11781.4496,
34.49,11791.9567,
34.59,11724.7941,
34.69,11694.5179,
34.8,11747.422,
34.9,11746.0715,
35.0,11736.1211,
35.11,11688.0098,
35.22,11698.9115,
35.32,11728.7071,
35.43,11794.5286,
35.53,11782.1943,
35.63,11605.9011,
35.74,11589.1084,
35.84,11585.8361,
35.94,11631.7337,
36.04,11647.9294,
36.14,11583.3378,
36.25,11579.9966,
36.35,11583.3366,
36.45,11587.3631,
36.56,11592.8277,
36.67,11590.7623,
36.77,11602.2008,
36.87,11586.375,
36.98,11578.138,
37.08,11616.0106,
37.18,11647.1449,
37.29,11569.3812,
37.39,11561.103,
37.51,11557.8066,
37.61,11539.928,
37.71,11554.2585,
37.81,11530.512,
37.91,11526.0717,
38.01,11542.7018,
38.12,11540.3599,
38.22,11527.5555,
38.32,11463.3521,
38.43,11469.8181,
38.53,11472.6654,
38.63,11477.5695,
38.77,11413.1223,
38.87,11436.1325,
38.99,11442.542,
39.09,11442.7861,
39.2,11455.1904,
39.31,11468.1283,
39.42,11472.8797,
39.53,11477.0758,
39.63,11479.6638,
39.73,11484.4082,
39.83,11456.2506,
39.93,11488.2816,
40.04,11484.9342,
40.14,11474.2744,
40.24,11488.9603,
40.35,11496.8965,
40.46,11489.8475,
40.57,11475.6501,
40.68,11463.5402,
40.78,11453.9151,
40.89,11465.6626,
41.0,11436.7633,
41.1,11436.3437,
41.21,11443.071,
41.31,11442.2769,
41.41,11428.7857,
41.52,11433.2851,
41.62,11454.994,
41.73,11450.9424,
41.84,11523.7766,
41.94,11479.2501,
42.04,11206.0892,
42.14,11199.4316,
42.25,11199.7631,
42.36,11204.9586,
42.46,11209.902,
42.56,11202.4683,
42.66,11205.6146,
42.77,11219.7747,
42.87,11185.6771,
42.98,11186.7436,
43.08,11175.3916,
43.18,11183.5878,
43.29,11175.3193,
43.39,11165.1041,
43.49,11156.7393,
43.59,11142.0684,
43.7,11146.8659,
43.8,11146.8659,
43.9,11146.8659,
44.0,11146.5344,
44.11,11173.9149,
44.21,11177.1198,
44.31,11171.0872,
44.41,11177.4487,
44.51,11174.4409,
44.63,11201.1489,
44.73,11199.7907,
44.84,11199.7907,
44.95,11198.6944,
45.05,11196.3509,
45.16,11188.079,
45.26,11198.9804,
45.36,11198.5547,
45.46,11199.9508,
45.56,11185.6497,
45.67,11172.5552,
45.91,11175.0082,
46.01,11179.3771,
46.11,11179.3771,
46.21,11181.0579,
46.31,11175.8821,
46.41,11181.8965,
46.51,11183.3129,
46.62,11177.845,
46.72,11177.845,
46.84,11189.0307,
46.94,11183.8779,
47.06,11178.9542,
47.16,11145.7437,
47.27,11155.2162,
47.37,11150.7621,
47.47,11150.1636,
47.59,11162.8896,
47.7,11172.8283,
47.8,11175.446,
47.91,11158.8567,
48.01,11156.2652,
48.11,11159.6519,
48.22,11169.9169,
48.32,11155.5261,
48.42,11155.5091,
48.52,11158.4299,
48.62,11176.6557,
48.73,11153.1271,
48.83,11147.8183,
48.95,11139.2148,
49.05,11123.5142,
49.15,11123.5142,
49.25,11126.3237,
49.36,11138.39,
49.46,11131.1891,
49.56,11131.1891,
49.66,11133.5284,
49.76,11122.9655,
49.87,11113.0607,
49.97,11113.0607,
50.07,11120.8637,
50.18,11122.2519,
50.28,11116.5795,
50.38,11116.5795,
50.49,11131.0262,
50.6,11128.2695,
50.7,11115.9889,
50.8,11128.3419,
